CPT_PERIODENDING	ZONEID	MW
2007-01-02 00:00:00	242	13062
2007-01-02 00:00:00	244	8546
2007-01-02 00:00:00	246	1902
2007-01-02 00:15:00	240	6062
2007-01-02 00:15:00	242	13579
2007-01-02 00:15:00	244	8675
2007-01-02 00:15:00	246	1916
2007-01-02 00:30:00	240	5987
2007-01-02 00:30:00	242	13612
2007-01-02 00:30:00	244	8672
2007-01-02 00:30:00	246	1960
2007-01-02 00:45:00	240	5920
2007-01-02 00:45:00	242	13641
2007-01-02 00:45:00	244	8669
2007-01-02 00:45:00	246	2039
2007-01-02 01:00:00	240	5859
2007-01-02 01:00:00	242	13672
2007-01-02 01:00:00	244	8664
2007-01-02 01:00:00	246	2081
2007-01-02 01:15:00	240	5576
2007-01-02 01:15:00	242	13641
2007-01-02 01:15:00	244	8594
2007-01-02 01:15:00	246	2044
2007-01-02 01:30:00	240	5553
2007-01-02 01:30:00	242	13646
2007-01-02 01:30:00	244	8585
2007-01-02 01:30:00	246	2085
2007-01-02 01:45:00	240	5530
2007-01-02 01:45:00	242	13656
2007-01-02 01:45:00	244	8585
2007-01-02 01:45:00	246	2112
2007-01-02 02:00:00	240	5509
2007-01-02 02:00:00	242	13671
2007-01-02 02:00:00	244	8584
2007-01-02 02:00:00	246	2156
2007-01-02 02:15:00	240	5585
2007-01-02 02:15:00	242	13574
2007-01-02 02:15:00	244	8612
2007-01-02 02:15:00	246	2134
2007-01-02 02:30:00	240	5585
2007-01-02 02:30:00	242	13547
2007-01-02 02:30:00	244	8611
2007-01-02 02:30:00	246	2058
2007-01-02 02:45:00	240	5589
2007-01-02 02:45:00	242	13575
2007-01-02 02:45:00	244	8615
2007-01-02 02:45:00	246	1988
2007-01-02 03:00:00	240	5611
2007-01-02 03:00:00	242	13576
2007-01-02 03:00:00	244	8622
2007-01-02 03:00:00	246	1982
2007-01-02 03:15:00	240	5641
2007-01-02 03:15:00	242	13874
2007-01-02 03:15:00	244	8720
2007-01-02 03:15:00	246	1893
2007-01-02 03:30:00	240	5641
2007-01-02 03:30:00	242	13899
2007-01-02 03:30:00	244	8743
2007-01-02 03:30:00	246	1903
2007-01-02 03:45:00	240	5647
2007-01-02 03:45:00	242	13983
2007-01-02 03:45:00	244	8768
2007-01-02 03:45:00	246	1922
2007-01-02 04:00:00	240	5661
2007-01-02 04:00:00	242	14044
2007-01-02 04:00:00	244	8801
2007-01-02 04:00:00	246	1947
2007-01-02 04:15:00	240	6034
2007-01-02 04:15:00	242	14319
2007-01-02 04:15:00	244	9032
2007-01-02 04:15:00	246	2005
2007-01-02 04:30:00	240	6094
2007-01-02 04:30:00	242	14383
2007-01-02 04:30:00	244	9060
2007-01-02 04:30:00	246	2076
2007-01-02 04:45:00	240	6154
2007-01-02 04:45:00	242	14391
2007-01-02 04:45:00	244	9084
2007-01-02 04:45:00	246	2141
2007-01-02 05:00:00	240	6224
2007-01-02 05:00:00	242	14444
2007-01-02 05:00:00	244	9100
2007-01-02 05:00:00	246	2227
2007-01-02 05:15:00	240	6540
2007-01-02 05:15:00	242	15329
2007-01-02 05:15:00	244	9664
2007-01-02 05:15:00	246	2321
2007-01-02 05:30:00	240	6540
2007-01-02 05:30:00	242	15500
2007-01-02 05:30:00	244	9763
2007-01-02 05:30:00	246	2412
2007-01-02 05:45:00	240	6540
2007-01-02 05:45:00	242	15844
2007-01-02 05:45:00	244	9917
2007-01-02 05:45:00	246	2465
2007-01-02 06:00:00	240	6540
2007-01-02 06:00:00	242	16454
2007-01-02 06:00:00	244	10564
2007-01-02 06:00:00	246	2542
2007-01-02 06:15:00	240	7706
2007-01-02 06:15:00	242	18641
2007-01-02 06:15:00	244	10684
2007-01-02 06:15:00	246	2578
2007-01-02 06:30:00	240	7706
2007-01-02 06:30:00	242	18730
