,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 9, 06:00 am",-1.502,0,0.965537,21,2.852
"Jan 9, 07:00 am",-1.184,0,0.966196,68,1.414
"Jan 9, 08:00 am",-0.938,0,0.966791,132,1.545
"Jan 9, 09:00 am",-1.084,0,0.968088,180,1.591
"Jan 9, 10:00 am",-1.098,0,0.968885,182,0.497
"Jan 9, 11:00 am",-1.343,0,0.969759,151,2.727
"Jan 9, 12:00 pm",-1.544,1818.87,0.970368,140,4.171
"Jan 9, 01:00 pm",-0.937,0,0.971063,150,3.574
"Jan 9, 02:00 pm",0.688,0,0.971483,175,1.691
"Jan 9, 03:00 pm",1.751,0,0.971693,181,2.07
"Jan 9, 04:00 pm",3.105,0,0.971406,201,2.199
"Jan 9, 05:00 pm",4.633,0,0.971135,212,2.659
"Jan 9, 06:00 pm",5.806,0,0.970887,206,3.199
"Jan 9, 07:00 pm",6.712,1433.12,0.970912,201,4.047
"Jan 9, 08:00 pm",6.918,3450.73,0.970899,212,4.799
"Jan 9, 09:00 pm",4.911,5316.53,0.971092,216,5.251
"Jan 9, 10:00 pm",2.241,13961.8,0.971477,210,6.836
"Jan 9, 11:00 pm",2.355,24092,0.97194,208,8.089
"Jan 10, 12:00 am",2.645,21462.4,0.972124,208,7.78
"Jan 10, 01:00 am",1.926,22224.3,0.972241,205,7.868
"Jan 10, 02:00 am",1.527,29390.1,0.972241,204,8.641
"Jan 10, 03:00 am",1.491,34988,0.972129,200,9.131
"Jan 10, 04:00 am",1.598,39849.6,0.971961,208,9.716
"Jan 10, 05:00 am",1.707,48532,0.971866,218,10.403
"Jan 10, 06:00 am",0.198,46951.1,0.97187,221,10.188
"Jan 10, 07:00 am",0.604,49339.2,0.971914,218,10.459
"Jan 10, 08:00 am",1.602,57337.6,0.971834,220,11.497
"Jan 10, 09:00 am",1.257,52664.7,0.97163,219,10.789
"Jan 10, 10:00 am",1.779,56262.5,0.971678,215,11.325
"Jan 10, 11:00 am",1.838,57612,0.971725,217,11.651
"Jan 10, 12:00 pm",1.683,57454.4,0.971618,217,11.579
"Jan 10, 01:00 pm",2.537,45497.2,0.971583,214,10.154
"Jan 10, 02:00 pm",5.269,26367.1,0.971309,212,8.333
"Jan 10, 03:00 pm",7.344,7721.97,0.970666,204,5.781
"Jan 10, 04:00 pm",9.147,13121.2,0.969621,205,6.778
"Jan 10, 05:00 pm",10.46,24604.8,0.968757,205,8.232
"Jan 10, 06:00 pm",11.212,27739.2,0.96765,206,8.593
"Jan 10, 07:00 pm",11.406,28605.1,0.967038,202,8.666
"Jan 10, 08:00 pm",10.956,34225.3,0.96664,203,9.232
"Jan 10, 09:00 pm",10.132,31019.6,0.966072,198,8.843
