,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 6, 02:00 pm",-4.192,2475.03,0.86664,167,4.496
"Jan 6, 03:00 pm",-8.1,0,0.866997,173,2.824
"Jan 6, 04:00 pm",-4.098,1029,0.867481,189,3.862
"Jan 6, 05:00 pm",-3.758,0,0.867888,179,3.221
"Jan 6, 06:00 pm",-2.951,0,0.868187,168,2.925
"Jan 6, 07:00 pm",-2.477,0,0.868438,182,2.965
"Jan 6, 08:00 pm",-2.219,0,0.868666,218,3.316
"Jan 6, 09:00 pm",-2.5,5505.71,0.868827,238,5.405
"Jan 6, 10:00 pm",-2.838,0,0.868858,209,3.167
"Jan 6, 11:00 pm",-4.342,0,0.869036,119,2.934
"Jan 7, 12:00 am",-7.445,0,0.869317,102,3.387
"Jan 7, 01:00 am",-8.461,3429.62,0.869382,104,4.82
"Jan 7, 02:00 am",-5.786,6851.49,0.869271,110,5.634
"Jan 7, 03:00 am",-3.55,8969.66,0.869274,125,6.067
"Jan 7, 04:00 am",-3.273,12466.9,0.869602,123,6.723
"Jan 7, 05:00 am",-3.306,13342.2,0.869867,120,6.842
"Jan 7, 06:00 am",-2.997,13848.6,0.870073,134,6.901
"Jan 7, 07:00 am",-3.207,17049.3,0.870383,144,7.353
"Jan 7, 08:00 am",-3.421,1881.1,0.870681,143,4.271
"Jan 7, 09:00 am",-3.657,0,0.871011,104,2.243
"Jan 7, 10:00 am",-3.711,0,0.871373,102,1.526
"Jan 7, 11:00 am",-3.781,0,0.871988,152,0.787
"Jan 7, 12:00 pm",-3.757,0,0.872775,223,1.438
"Jan 7, 01:00 pm",-3.743,3426.66,0.873476,248,4.825
"Jan 7, 02:00 pm",-4.039,13336.5,0.87392,246,6.824
"Jan 7, 03:00 pm",-4.217,23951.9,0.87454,249,8.184
"Jan 7, 04:00 pm",-4.361,23999.5,0.875483,249,8.185
"Jan 7, 05:00 pm",-4.338,24630.2,0.876352,249,8.253
"Jan 7, 06:00 pm",-4.195,17511.5,0.877049,248,7.361
"Jan 7, 07:00 pm",-3.887,9625.46,0.877651,252,6.154
"Jan 7, 08:00 pm",-3.564,7009.47,0.877926,252,5.663
"Jan 7, 09:00 pm",-3.432,7245.09,0.878201,237,5.711
"Jan 7, 10:00 pm",-3.634,7192.46,0.878181,238,5.7
"Jan 7, 11:00 pm",-4.522,4590.52,0.878247,242,5.139
"Jan 8, 12:00 am",-7.851,0,0.87842,214,2.798
"Jan 8, 01:00 am",-7.971,0,0.878378,175,3.389
"Jan 8, 02:00 am",-5.626,1402.64,0.878067,152,4.084
"Jan 8, 03:00 am",-4.547,1484.33,0.877595,119,4.097
"Jan 8, 04:00 am",-3.85,16727.8,0.877165,122,7.266
"Jan 8, 05:00 am",-3.651,37744.1,0.876582,122,9.708
"Jan 8, 06:00 am",-3.443,53646.9,0.875669,129,11.966
"Jan 8, 07:00 am",-3.507,53847.4,0.874808,132,14.295
"Jan 8, 08:00 am",-3.338,53756.5,0.873879,130,15.331
"Jan 8, 09:00 am",-3.05,53650.1,0.87308,129,15.539
