,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 5, 10:00 pm",-4.175,50230.2,0.975764,289,10.428
"Jan 5, 11:00 pm",-4.9,48920.6,0.976685,297,10.284
"Jan 6, 12:00 am",-5.575,36499.7,0.977319,301,9.1
"Jan 6, 01:00 am",-6.24,25393.3,0.978016,297,8.024
"Jan 6, 02:00 am",-6.749,33474.1,0.978581,311,8.8
"Jan 6, 03:00 am",-7.398,19808.8,0.978891,301,7.369
"Jan 6, 04:00 am",-7.991,12272.1,0.979146,300,6.421
"Jan 6, 05:00 am",-8.862,1407.37,0.979304,326,3.981
"Jan 6, 06:00 am",-9.281,0,0.979579,343,3.004
"Jan 6, 07:00 am",-9.578,825.002,0.980023,351,3.699
"Jan 6, 08:00 am",-9.843,0,0.980411,337,1.824
"Jan 6, 09:00 am",-10.035,0,0.980654,335,1.449
"Jan 6, 10:00 am",-9.763,0,0.980907,11,1.436
"Jan 6, 11:00 am",-8.666,0,0.981146,78,0.919
"Jan 6, 12:00 pm",-7.942,0,0.981438,131,1.912
"Jan 6, 01:00 pm",-7.511,0,0.981618,130,2.07
"Jan 6, 02:00 pm",-6.72,0,0.981321,134,1.911
"Jan 6, 03:00 pm",-5.955,0,0.980675,140,2.446
"Jan 6, 04:00 pm",-5.747,0,0.980036,139,2.829
"Jan 6, 05:00 pm",-5.42,0,0.979306,127,2.824
"Jan 6, 06:00 pm",-5.095,0,0.978703,113,3.521
"Jan 6, 07:00 pm",-4.986,0,0.977999,109,3.401
"Jan 6, 08:00 pm",-5.06,0,0.977288,101,3.001
"Jan 6, 09:00 pm",-4.927,0,0.976935,95,3.04
"Jan 6, 10:00 pm",-4.666,0,0.976594,93,3.049
"Jan 6, 11:00 pm",-4.544,0,0.976334,88,2.553
"Jan 7, 12:00 am",-4.635,0,0.976094,49,1.715
"Jan 7, 01:00 am",-4.838,0,0.975949,18,1.631
"Jan 7, 02:00 am",-5.253,0,0.975744,351,1.473
"Jan 7, 03:00 am",-5.738,0,0.975488,330,2.111
"Jan 7, 04:00 am",-6.007,0,0.975241,337,2.855
"Jan 7, 05:00 am",-6.002,0,0.975198,346,2.829
"Jan 7, 06:00 am",-5.654,0,0.975276,346,2.365
"Jan 7, 07:00 am",-5.127,0,0.975298,343,1.57
"Jan 7, 08:00 am",-4.6,0,0.975216,337,1.176
"Jan 7, 09:00 am",-3.942,0,0.975519,196,0.689
"Jan 7, 10:00 am",-3.457,0,0.97565,203,1.286
"Jan 7, 11:00 am",-3.342,0,0.9758,214,1.489
"Jan 7, 12:00 pm",-2.795,0,0.97582,212,1.637
"Jan 7, 01:00 pm",-2.257,0,0.975852,219,1.823
"Jan 7, 02:00 pm",-1.792,0,0.975645,239,1.749
"Jan 7, 03:00 pm",-1.2,0,0.97528,180,1.386
"Jan 7, 04:00 pm",0.246,0,0.974749,155,1.195
"Jan 7, 05:00 pm",2.062,0,0.974139,100,0.756
"Jan 7, 06:00 pm",2.419,0,0.973677,54,1.033
"Jan 7, 07:00 pm",1.876,0,0.97324,43,1.318
"Jan 7, 08:00 pm",-0.6,0,0.973135,19,1.492
"Jan 7, 09:00 pm",-1.446,0,0.973491,352,1.073
"Jan 7, 10:00 pm",-0.184,0,0.973739,283,1.258
"Jan 7, 11:00 pm",-1.05,0,0.974189,296,3.133
"Jan 8, 12:00 am",-2.837,1388.96,0.97454,299,3.981
"Jan 8, 01:00 am",-2.906,1375.77,0.974886,297,3.973
"Jan 8, 02:00 am",-2.55,3238.27,0.975473,291,4.662
"Jan 8, 03:00 am",-2.317,5417.05,0.975748,281,5.245
"Jan 8, 04:00 am",-2.272,15273.1,0.976095,279,6.94
"Jan 8, 05:00 am",-2.349,16673.1,0.976899,289,7.044
"Jan 8, 06:00 am",-0.606,31055.7,0.977498,291,8.656
"Jan 8, 07:00 am",-1.719,13010.8,0.978212,294,6.586
"Jan 8, 08:00 am",-2.485,12059.2,0.979031,291,6.424
"Jan 8, 09:00 am",-2.906,18237.5,0.979981,291,7.215
"Jan 8, 10:00 am",-3.472,11207.8,0.981036,302,6.226
"Jan 8, 11:00 am",-3.751,5632.29,0.982011,308,5.258
"Jan 8, 12:00 pm",-3.52,11820.7,0.982785,314,6.344
"Jan 8, 01:00 pm",-1.043,19387.8,0.983751,308,7.361
"Jan 8, 02:00 pm",-0.322,3623.32,0.984373,309,4.774
"Jan 8, 03:00 pm",0.384,4690.08,0.984663,310,5.05
"Jan 8, 04:00 pm",1.022,8441.5,0.985134,311,5.791
"Jan 8, 05:00 pm",0.899,11701.4,0.985466,317,6.353
"Jan 8, 06:00 pm",0.372,12291,0.985943,323,6.494
"Jan 8, 07:00 pm",-0.393,9236.44,0.986435,326,5.97
"Jan 8, 08:00 pm",-2.048,23486.1,0.986925,321,7.842
"Jan 8, 09:00 pm",-3.516,41018.7,0.987772,319,9.568
"Jan 8, 10:00 pm",-3.969,42044.8,0.988624,324,9.685
"Jan 8, 11:00 pm",-4.671,38396.6,0.989311,324,9.318
"Jan 9, 12:00 am",-5.582,19811,0.990014,335,7.447
"Jan 9, 01:00 am",-6.197,29553.6,0.990694,343,8.437
"Jan 9, 02:00 am",-6.828,14722.8,0.991037,343,6.78
"Jan 9, 03:00 am",-7.556,13063.1,0.99113,353,6.521
"Jan 9, 04:00 am",-8.238,21625,0.991178,351,7.523
"Jan 9, 05:00 am",-8.896,21626,0.991285,348,7.521
"Jan 9, 06:00 am",-9.436,12865,0.991444,353,6.479
"Jan 9, 07:00 am",-9.956,9738.55,0.991485,351,5.949
"Jan 9, 08:00 am",-10.313,5400.69,0.991565,347,5.153
"Jan 9, 09:00 am",-10.688,1042.47,0.991742,336,3.82
"Jan 9, 10:00 am",-10.764,0,0.991729,323,3.575
"Jan 9, 11:00 am",-10.687,2711.12,0.991676,324,4.446
"Jan 9, 12:00 pm",-10.602,0,0.991742,325,2.884
"Jan 9, 01:00 pm",-8.881,0,0.991662,299,1.401
"Jan 9, 02:00 pm",-7.404,0,0.991402,228,0.615
"Jan 9, 03:00 pm",-5.908,0,0.990677,208,1.209
"Jan 9, 04:00 pm",-4.72,0,0.989894,213,2.519
"Jan 9, 05:00 pm",-3.714,0,0.989156,221,3.207
"Jan 9, 06:00 pm",-3.186,0,0.988529,208,3.533
"Jan 9, 07:00 pm",-3.101,2426.35,0.987778,196,4.372
"Jan 9, 08:00 pm",-4.493,8283.3,0.987022,189,5.714
"Jan 9, 09:00 pm",-5.189,16357.7,0.986636,189,6.955
"Jan 9, 10:00 pm",-5.26,31673.3,0.986272,203,8.74
"Jan 9, 11:00 pm",-3.815,55419.9,0.985764,210,11.02
"Jan 10, 12:00 am",-3.53,58940.1,0.985248,215,11.461
"Jan 10, 01:00 am",-3.595,60632.3,0.984714,217,12.902
"Jan 10, 02:00 am",-2.743,60395.1,0.983963,219,14.194
"Jan 10, 03:00 am",-2.435,60267.6,0.983003,223,14.37
"Jan 10, 04:00 am",-2.253,60164.4,0.981981,223,13.099
"Jan 10, 05:00 am",-2.239,59783,0.981079,219,11.931
"Jan 10, 06:00 am",-2.248,59032.7,0.980242,217,11.666
"Jan 10, 07:00 am",-2.378,57806.2,0.979389,215,11.362
"Jan 10, 08:00 am",-2.581,56968.8,0.978684,214,11.247
"Jan 10, 09:00 am",-2.736,59246.2,0.97809,214,11.798
"Jan 10, 10:00 am",-3.15,60084.4,0.977426,212,12.603
