,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Jan 2, 11:00 pm",-5.505,16874.6,0.990633,7.011,360
"Jan 3, 12:00 am",-5.661,25107.5,0.990691,7.957,3
"Jan 3, 01:00 am",-5.951,19689,0.990735,7.323,8
"Jan 3, 02:00 am",-6.16,18432.1,0.990801,7.187,13
"Jan 3, 03:00 am",-6.301,14884.6,0.990716,6.779,13
"Jan 3, 04:00 am",-6.542,17586.5,0.990414,7.088,13
"Jan 3, 05:00 am",-6.885,17588.6,0.99046,7.097,15
"Jan 3, 06:00 am",-7.247,15989.6,0.990624,6.938,18
"Jan 3, 07:00 am",-7.621,13505.1,0.990616,6.615,17
"Jan 3, 08:00 am",-7.972,12343.6,0.990618,6.422,17
"Jan 3, 09:00 am",-8.307,10983.1,0.990625,6.155,16
"Jan 3, 10:00 am",-8.6,8281.46,0.990718,5.7,15
"Jan 3, 11:00 am",-8.815,7222.57,0.990677,5.536,15
"Jan 3, 12:00 pm",-8.919,8606.71,0.990742,5.753,14
"Jan 3, 01:00 pm",-8.887,6263.77,0.990749,5.352,10
"Jan 3, 02:00 pm",-8.014,5281.5,0.990763,5.135,11
"Jan 3, 03:00 pm",-6.85,5444.47,0.990665,5.177,9
"Jan 3, 04:00 pm",-5.741,5485.14,0.990265,5.195,5
"Jan 3, 05:00 pm",-4.587,4883.19,0.989847,5.066,1
"Jan 3, 06:00 pm",-3.574,6243.99,0.989448,5.384,359
"Jan 3, 07:00 pm",-2.865,5674.76,0.989019,5.255,356
"Jan 3, 08:00 pm",-2.531,6329.01,0.988637,5.404,352
"Jan 3, 09:00 pm",-2.885,9236.05,0.988461,5.909,351
"Jan 3, 10:00 pm",-4.577,17409.3,0.988553,7.076,351
"Jan 3, 11:00 pm",-5.483,27485.4,0.988646,8.204,359
"Jan 4, 12:00 am",-6.13,24563.2,0.988795,7.894,9
"Jan 4, 01:00 am",-6.55,24077.5,0.988857,7.849,13
"Jan 4, 02:00 am",-6.807,24092.2,0.988895,7.848,13
"Jan 4, 03:00 am",-7.153,22373.6,0.988807,7.644,13
"Jan 4, 04:00 am",-7.542,23333.4,0.988555,7.764,14
"Jan 4, 05:00 am",-7.956,22356.8,0.988458,7.647,15
"Jan 4, 06:00 am",-8.344,21961,0.988472,7.587,14
"Jan 4, 07:00 am",-8.714,20010.1,0.988537,7.351,13
"Jan 4, 08:00 am",-9.063,18578.8,0.988588,7.178,11
"Jan 4, 09:00 am",-9.412,17164.6,0.988627,7.013,8
"Jan 4, 10:00 am",-9.75,16336.9,0.988773,6.922,3
"Jan 4, 11:00 am",-10.08,15082.9,0.988791,6.779,0
"Jan 4, 12:00 pm",-10.413,13867.3,0.988902,6.62,358
"Jan 4, 01:00 pm",-10.138,11685.2,0.989022,6.233,359
"Jan 4, 02:00 pm",-8.809,5134.52,0.989075,5.106,359
"Jan 4, 03:00 pm",-7.358,3712.8,0.988947,4.759,353
"Jan 4, 04:00 pm",-5.983,4899.93,0.988505,5.06,348
"Jan 4, 05:00 pm",-4.757,5486.73,0.988143,5.214,344
"Jan 4, 06:00 pm",-3.668,7373.05,0.987744,5.618,340
"Jan 4, 07:00 pm",-2.924,8795.53,0.987478,5.889,338
"Jan 4, 08:00 pm",-2.63,11093.5,0.987322,6.283,335
"Jan 4, 09:00 pm",-2.926,14336.9,0.987321,6.826,334
"Jan 4, 10:00 pm",-4.689,22970.2,0.987558,7.823,338
"Jan 4, 11:00 pm",-5.958,24885.1,0.98774,8.041,331
"Jan 5, 12:00 am",-6.17,40387.8,0.987971,9.517,325
"Jan 5, 01:00 am",-6.594,39718.2,0.988266,9.512,331
"Jan 5, 02:00 am",-7.115,33497.6,0.988468,8.885,334
"Jan 5, 03:00 am",-7.903,23230.4,0.98848,7.828,330
"Jan 5, 04:00 am",-8.165,28095.3,0.988295,8.346,331
"Jan 5, 05:00 am",-8.616,28355.4,0.98832,8.375,333
"Jan 5, 06:00 am",-9.028,24980.9,0.988417,8.026,334
"Jan 5, 07:00 am",-9.469,17397.3,0.98855,7.142,333
"Jan 5, 08:00 am",-9.932,12677.8,0.988628,6.517,330
"Jan 5, 09:00 am",-10.482,9515.71,0.988675,5.934,323
"Jan 5, 10:00 am",-10.967,11752,0.988916,6.244,320
"Jan 5, 11:00 am",-11.408,10676.9,0.989061,6.08,315
"Jan 5, 12:00 pm",-11.637,12111.2,0.989237,6.311,312
"Jan 5, 01:00 pm",-11.21,10772.3,0.989456,6.094,314
"Jan 5, 02:00 pm",-9.716,3116.02,0.989613,4.574,316
"Jan 5, 03:00 pm",-8.264,2372.89,0.989554,4.33,314
"Jan 5, 04:00 pm",-6.88,3648.58,0.989165,4.754,307
"Jan 5, 05:00 pm",-5.705,6237,0.988789,5.38,303
"Jan 5, 06:00 pm",-4.618,7783.74,0.988422,5.644,301
"Jan 5, 07:00 pm",-3.721,8068.25,0.988106,5.693,299
"Jan 5, 08:00 pm",-3.174,9063.12,0.98792,5.889,300
"Jan 5, 09:00 pm",-3.301,9559.3,0.987966,5.978,299
"Jan 5, 10:00 pm",-5.495,11875.8,0.988157,6.328,297
"Jan 5, 11:00 pm",-6.266,24814,0.988371,7.938,299
"Jan 6, 12:00 am",-6.559,31016.7,0.988637,8.565,306
"Jan 6, 01:00 am",-7.105,35751.4,0.988862,8.958,317
"Jan 6, 02:00 am",-7.541,35580.3,0.988976,8.988,325
"Jan 6, 03:00 am",-7.952,35118.3,0.988863,9.013,332
"Jan 6, 04:00 am",-8.522,36219.3,0.988488,9.111,335
"Jan 6, 05:00 am",-9.395,31462.4,0.988533,8.652,338
"Jan 6, 06:00 am",-10.283,21805.2,0.988657,7.582,342
"Jan 6, 07:00 am",-10.559,23729.5,0.988693,7.791,344
"Jan 6, 08:00 am",-10.824,27841.3,0.988698,8.199,345
"Jan 6, 09:00 am",-11.384,23000.9,0.988872,7.665,351
"Jan 6, 10:00 am",-11.792,21752.4,0.989106,7.51,353
"Jan 6, 11:00 am",-12.268,18820,0.989233,7.175,351
"Jan 6, 12:00 pm",-12.634,13026.9,0.989452,6.482,351
"Jan 6, 01:00 pm",-11.544,11123.9,0.989518,6.133,351
"Jan 6, 02:00 pm",-8.539,6598.94,0.989551,5.428,351
"Jan 6, 03:00 pm",-5.815,0,0.989408,3.384,346
"Jan 6, 04:00 pm",-4.031,0,0.988998,3,340
"Jan 6, 05:00 pm",-2.582,0,0.988609,2.837,330
"Jan 6, 06:00 pm",-1.347,0,0.988159,2.969,324
"Jan 6, 07:00 pm",-0.479,0,0.987768,2.605,317
"Jan 6, 08:00 pm",-0.005,0,0.987479,2.219,303
"Jan 6, 09:00 pm",-0.329,0,0.987268,2.114,280
"Jan 6, 10:00 pm",-3.673,0,0.987299,3.404,248
"Jan 6, 11:00 pm",-4.586,0,0.987223,3.388,262
"Jan 7, 12:00 am",-4.814,0,0.987115,2.826,269
"Jan 7, 01:00 am",-4.955,0,0.986994,1.943,264
"Jan 7, 02:00 am",-4.365,0,0.986737,1.255,271
"Jan 7, 03:00 am",-4.388,0,0.986487,0.915,256
"Jan 7, 04:00 am",-3.968,0,0.985997,0.979,232
"Jan 7, 05:00 am",-3.615,0,0.985776,1.247,185
"Jan 7, 06:00 am",-3.437,0,0.985723,2.031,176
"Jan 7, 07:00 am",-2.945,0,0.985546,2.513,175
"Jan 7, 08:00 am",-3.749,0,0.985251,3.163,174
"Jan 7, 09:00 am",-4.279,0,0.985027,3.32,187
"Jan 7, 10:00 am",-4.155,0,0.984988,3.545,199
"Jan 7, 11:00 am",-3.609,889.502,0.984869,3.759,202
"Jan 7, 12:00 pm",-3.071,3112.98,0.984733,4.643,212
"Jan 7, 01:00 pm",-2.35,6463.04,0.984569,5.444,228
"Jan 7, 02:00 pm",-2.222,2948.63,0.984385,4.554,227
"Jan 7, 03:00 pm",-1.409,0,0.983951,3.572,218
"Jan 7, 04:00 pm",-0.791,1638.06,0.983241,4.09,220
"Jan 7, 05:00 pm",-0.706,774.609,0.982711,3.7,214
"Jan 7, 06:00 pm",0.789,1400.14,0.982152,3.984,226
"Jan 7, 07:00 pm",2.03,1766.14,0.98167,4.162,237
"Jan 7, 08:00 pm",2.032,3088.99,0.981534,4.65,260
"Jan 7, 09:00 pm",1.41,11343.6,0.981642,6.326,281
"Jan 7, 10:00 pm",0.099,30429.5,0.982154,8.672,279
"Jan 7, 11:00 pm",-1.41,44797.6,0.982782,9.933,294
"Jan 8, 12:00 am",-3.259,57714.5,0.983542,11.237,308
"Jan 8, 01:00 am",-5.259,59091.3,0.984456,11.364,312
"Jan 8, 02:00 am",-6.578,61245.4,0.985152,12.086,315
"Jan 8, 03:00 am",-7.12,31678.4,0.985589,8.616,315
"Jan 8, 04:00 am",-7.301,17209.1,0.985534,7.046,315
"Jan 8, 05:00 am",-7.655,26508.3,0.98579,8.095,314
"Jan 8, 06:00 am",-8.144,34693.1,0.986198,8.863,317
"Jan 8, 07:00 am",-8.634,31590.9,0.98656,8.592,313
"Jan 8, 08:00 am",-8.959,24732.6,0.986886,7.898,313
"Jan 8, 09:00 am",-9.358,24087.3,0.987198,7.83,310
"Jan 8, 10:00 am",-9.758,20523.9,0.987668,7.408,308
"Jan 8, 11:00 am",-10.129,21580.6,0.987966,7.525,308
"Jan 8, 12:00 pm",-10.564,20818.2,0.988321,7.429,310
"Jan 8, 01:00 pm",-10.638,20904.6,0.988646,7.434,312
"Jan 8, 02:00 pm",-9.894,16491,0.989094,6.939,314
"Jan 8, 03:00 pm",-8.854,9471.81,0.98933,5.918,316
"Jan 8, 04:00 pm",-7.67,8301.63,0.989218,5.701,316
"Jan 8, 05:00 pm",-6.58,8995.71,0.989227,5.841,316
"Jan 8, 06:00 pm",-5.504,10369.1,0.989204,6.083,322
"Jan 8, 07:00 pm",-4.79,9132.78,0.989309,5.904,324
"Jan 8, 08:00 pm",-4.357,8732.08,0.989309,5.821,323
"Jan 8, 09:00 pm",-4.464,8754.34,0.989488,5.831,324
"Jan 8, 10:00 pm",-5.562,14489.7,0.989948,6.737,318
"Jan 8, 11:00 pm",-6.209,32686.2,0.990332,8.719,322
"Jan 9, 12:00 am",-6.906,30806,0.990867,8.601,328
"Jan 9, 01:00 am",-7.585,26916.7,0.991333,8.225,331
"Jan 9, 02:00 am",-8.391,22153.6,0.991731,7.695,335
"Jan 9, 03:00 am",-8.477,21237.5,0.991833,7.545,340
"Jan 9, 04:00 am",-8.686,21102.7,0.991531,7.528,340
"Jan 9, 05:00 am",-8.98,25131.5,0.991305,8.003,339
"Jan 9, 06:00 am",-9.374,23843.4,0.991472,7.8,345
"Jan 9, 07:00 am",-9.725,24897.5,0.991637,7.886,350
"Jan 9, 08:00 am",-9.883,30869.9,0.991664,8.484,352
"Jan 9, 09:00 am",-10.251,28972.7,0.991774,8.286,354
"Jan 9, 10:00 am",-10.671,28558.1,0.992141,8.244,357
"Jan 9, 11:00 am",-11.126,23967.3,0.99242,7.779,358
"Jan 9, 12:00 pm",-11.541,20279,0.992688,7.344,360
"Jan 9, 01:00 pm",-10.808,15279.5,0.993031,6.788,3
"Jan 9, 02:00 pm",-8.401,6660.02,0.993282,5.438,5
"Jan 9, 03:00 pm",-6.796,4464.51,0.993297,4.958,360
"Jan 9, 04:00 pm",-5.346,4483.66,0.99304,4.962,352
"Jan 9, 05:00 pm",-4.084,5733.38,0.992861,5.253,349
"Jan 9, 06:00 pm",-3.017,8125.63,0.992508,5.694,346
"Jan 9, 07:00 pm",-2.359,11425.3,0.992304,6.245,346
"Jan 9, 08:00 pm",-2.259,14395.2,0.992165,6.747,346
"Jan 9, 09:00 pm",-2.684,17914.3,0.992142,7.169,344
"Jan 9, 10:00 pm",-4.528,30538.2,0.992553,8.533,345
"Jan 9, 11:00 pm",-5.673,47030.2,0.992903,10.045,343
"Jan 10, 12:00 am",-6.414,39560.2,0.993316,9.353,350
"Jan 10, 01:00 am",-6.727,43203.8,0.993671,9.677,352
"Jan 10, 02:00 am",-7.356,34379,0.994058,8.812,350
"Jan 10, 03:00 am",-7.903,39159.4,0.994224,9.286,353
"Jan 10, 04:00 am",-8.481,34615.6,0.994166,8.825,356
"Jan 10, 05:00 am",-8.846,31609.7,0.994328,8.567,359
"Jan 10, 06:00 am",-9.387,26579,0.99463,8.061,1
"Jan 10, 07:00 am",-9.802,25904.7,0.99495,7.988,2
"Jan 10, 08:00 am",-10.283,23880.3,0.995172,7.771,1
"Jan 10, 09:00 am",-10.273,27149.3,0.995526,8.105,1
"Jan 10, 10:00 am",-10.854,20837.5,0.996045,7.404,358
"Jan 10, 11:00 am",-11.67,21132.8,0.996422,7.425,355
"Jan 10, 12:00 pm",-11.743,27248.6,0.99678,8.096,358
"Jan 10, 01:00 pm",-11.002,23540.5,0.997138,7.719,1
"Jan 10, 02:00 pm",-9.147,4692.57,0.997422,4.996,0
"Jan 10, 03:00 pm",-7.265,2152.77,0.997472,4.254,357
"Jan 10, 04:00 pm",-5.677,2247.48,0.997063,4.289,355
"Jan 10, 05:00 pm",-4.47,2050.09,0.996647,4.223,348
"Jan 10, 06:00 pm",-3.436,1306.03,0.996299,3.928,343
"Jan 10, 07:00 pm",-2.504,1486.09,0.995922,4.041,336
"Jan 10, 08:00 pm",-2.01,1753.2,0.995629,4.167,333
"Jan 10, 09:00 pm",-2.172,1407.97,0.995563,4.006,331
"Jan 10, 10:00 pm",-5.087,3373.89,0.995652,4.719,336
"Jan 10, 11:00 pm",-6.263,3198.01,0.995762,4.613,345
"Jan 11, 12:00 am",-6.895,1787.03,0.995792,4.164,336
"Jan 11, 01:00 am",-7.012,0,0.995711,3.47,331
"Jan 11, 02:00 am",-7.776,0,0.995672,3.566,316
"Jan 11, 03:00 am",-8.254,2694.5,0.995385,4.45,325
"Jan 11, 04:00 am",-8.757,0,0.994845,3.447,313
"Jan 11, 05:00 am",-9.096,0,0.994579,3.01,294
"Jan 11, 06:00 am",-9.589,0,0.994487,2.936,270
"Jan 11, 07:00 am",-10.07,0,0.99442,3.17,256
"Jan 11, 08:00 am",-10.418,0,0.994248,3.449,250
"Jan 11, 09:00 am",-10.73,1037.34,0.994051,3.79,249
"Jan 11, 10:00 am",-10.953,1733.32,0.993987,4.099,246
"Jan 11, 11:00 am",-10.786,1884.63,0.993776,4.16,246
"Jan 11, 12:00 pm",-10.835,2353.89,0.993537,4.322,238
"Jan 11, 01:00 pm",-9.872,4158.99,0.993233,4.878,238
"Jan 11, 02:00 pm",-6.898,3410.96,0.992857,4.687,235
"Jan 11, 03:00 pm",-4.289,0,0.992144,3.383,225
"Jan 11, 04:00 pm",-1.746,1998.09,0.991178,4.218,223
"Jan 11, 05:00 pm",0.483,4696.37,0.990254,5.048,231
"Jan 11, 06:00 pm",2.237,10392.2,0.989408,6.125,235
"Jan 11, 07:00 pm",3.443,15019.1,0.988679,6.871,239
"Jan 11, 08:00 pm",3.895,14250.3,0.988267,6.779,243
"Jan 11, 09:00 pm",3.037,18077,0.987919,7.228,244
"Jan 11, 10:00 pm",0.987,27317.3,0.988177,8.264,243
"Jan 11, 11:00 pm",-0.663,35011.6,0.988262,8.979,243
"Jan 12, 12:00 am",-0.641,40882,0.988372,9.595,248
"Jan 12, 01:00 am",-1.688,33385.2,0.988651,8.854,257
"Jan 12, 02:00 am",-3.498,25603.2,0.988796,8.164,266
"Jan 12, 03:00 am",-4.16,36707.5,0.988633,9.157,280
"Jan 12, 04:00 am",-4.496,42437.6,0.988164,9.678,291
"Jan 12, 05:00 am",-4.991,34708.4,0.988164,8.902,309
"Jan 12, 06:00 am",-5.453,40374.7,0.98846,9.479,346
"Jan 12, 07:00 am",-4.673,55275.7,0.988718,10.821,7
"Jan 12, 08:00 am",-4.798,45535,0.989007,9.91,10
"Jan 12, 09:00 am",-5.565,34816.6,0.989205,8.888,5
"Jan 12, 10:00 am",-6.254,26148.7,0.989777,8.062,1
"Jan 12, 11:00 am",-6.432,26449,0.990365,8.084,5
"Jan 12, 12:00 pm",-6.654,29874.5,0.990963,8.429,2
"Jan 12, 01:00 pm",-6.412,27191.1,0.991371,8.157,357
"Jan 12, 02:00 pm",-4.966,15954.2,0.992026,6.901,7
"Jan 12, 03:00 pm",-3.488,10966.4,0.992417,6.154,10
"Jan 12, 04:00 pm",-1.999,9859.77,0.99245,6.013,3
"Jan 12, 05:00 pm",-0.718,12227.3,0.992373,6.436,355
"Jan 12, 06:00 pm",0.283,8805.25,0.992424,5.844,359
"Jan 12, 07:00 pm",0.859,4206.09,0.992289,4.926,357
"Jan 12, 08:00 pm",1.084,5325.89,0.992263,5.185,353
"Jan 12, 09:00 pm",0.668,7521.17,0.992313,5.608,353
"Jan 12, 10:00 pm",-2.742,10026.7,0.992664,6.033,359
"Jan 12, 11:00 pm",-3.654,24578.4,0.992842,7.909,9
"Jan 13, 12:00 am",-3.877,43355.3,0.993004,9.737,12
"Jan 13, 01:00 am",-4.097,42884.7,0.993091,9.694,12
"Jan 13, 02:00 am",-4.775,40327.8,0.993117,9.514,18
"Jan 13, 03:00 am",-5.45,32572.8,0.993034,8.806,24
"Jan 13, 04:00 am",-5.789,18833.6,0.992867,7.333,27
"Jan 13, 05:00 am",-6.105,13782.1,0.99298,6.706,31
"Jan 13, 06:00 am",-5.997,18094.7,0.993078,7.232,30
"Jan 13, 07:00 am",-6.072,18055.5,0.993048,7.24,27
"Jan 13, 08:00 am",-6.954,6567.19,0.993291,5.493,25
"Jan 13, 09:00 am",-7.029,9021.51,0.993193,5.908,30
"Jan 13, 10:00 am",-7.558,6046.58,0.993426,5.314,40
"Jan 13, 11:00 am",-7.879,3946.79,0.993517,4.826,38
"Jan 13, 12:00 pm",-8.205,2740.16,0.993564,4.451,46
"Jan 13, 01:00 pm",-7.194,1744.5,0.993562,4.116,50
"Jan 13, 02:00 pm",-4.402,0,0.993501,2.44,63
"Jan 13, 03:00 pm",-2.263,0,0.993084,1.289,92
"Jan 13, 04:00 pm",-0.357,0,0.992261,1.063,98
"Jan 13, 05:00 pm",1.252,0,0.991655,0.646,119
"Jan 13, 06:00 pm",2.684,0,0.991021,0.737,134
"Jan 13, 07:00 pm",3.682,0,0.990437,0.377,158
"Jan 13, 08:00 pm",4.249,0,0.989951,0.433,207
"Jan 13, 09:00 pm",3.378,0,0.989603,0.896,209
"Jan 13, 10:00 pm",-0.77,0,0.989503,0.495,208
"Jan 13, 11:00 pm",-2.382,0,0.989414,0.846,206
"Jan 14, 12:00 am",-2.957,0,0.989433,1.154,213
"Jan 14, 01:00 am",-3.318,0,0.989456,1.509,196
"Jan 14, 02:00 am",-3.769,0,0.989424,1.776,176
"Jan 14, 03:00 am",-4.059,0,0.989204,2.038,159
"Jan 14, 04:00 am",-4.019,0,0.988741,2.567,157
"Jan 14, 05:00 am",-4.182,0,0.98863,3.453,150
"Jan 14, 06:00 am",-4.007,0,0.988517,3.134,153
"Jan 14, 07:00 am",-3.888,0,0.988491,2.816,149
"Jan 14, 08:00 am",-4.207,0,0.988622,3.009,159
"Jan 14, 09:00 am",-4.1,0,0.988667,2.903,162
"Jan 14, 10:00 am",-4.363,0,0.98874,3.057,160
"Jan 14, 11:00 am",-4.768,0,0.988829,3.405,161
"Jan 14, 12:00 pm",-5.227,0,0.988964,3.155,161
"Jan 14, 01:00 pm",-4.159,0,0.989184,3.385,163
"Jan 14, 02:00 pm",-1.008,0,0.989178,2.758,157
"Jan 14, 03:00 pm",1.833,0,0.989048,2.06,148
"Jan 14, 04:00 pm",4.183,0,0.98857,1.344,155
"Jan 14, 05:00 pm",6.053,0,0.988186,1.397,172
"Jan 14, 06:00 pm",7.287,0,0.987879,1.564,175
"Jan 14, 07:00 pm",8.084,0,0.987563,1.296,166
"Jan 14, 08:00 pm",8.437,0,0.987335,1.122,159
"Jan 14, 09:00 pm",6.057,0,0.987361,1.898,158
"Jan 14, 10:00 pm",2.892,0,0.987452,2.081,127
"Jan 14, 11:00 pm",0.217,0,0.987676,2.964,140
"Jan 15, 12:00 am",-0.051,0,0.987799,2.698,182
"Jan 15, 01:00 am",-0.9,0,0.987998,2.803,195
"Jan 15, 02:00 am",-1.65,0,0.988119,2.623,173
"Jan 15, 03:00 am",-1.73,0,0.988133,2.951,161
"Jan 15, 04:00 am",-2.019,0,0.988009,2.523,158
"Jan 15, 05:00 am",-2.293,0,0.988112,2.123,160
"Jan 15, 06:00 am",-2.667,0,0.988338,2.269,158
"Jan 15, 07:00 am",-2.736,0,0.988516,2.227,150
"Jan 15, 08:00 am",-2.68,0,0.988619,2.203,146
"Jan 15, 09:00 am",-2.785,0,0.988749,2.182,145
"Jan 15, 10:00 am",-2.833,0,0.989115,1.854,123
"Jan 15, 11:00 am",-2.663,0,0.989171,2.323,119
"Jan 15, 12:00 pm",-2.595,0,0.989236,3.126,123
"Jan 15, 01:00 pm",-1.538,1026.58,0.989371,3.807,127
"Jan 15, 02:00 pm",1.614,0,0.989597,2.725,104
"Jan 15, 03:00 pm",4.865,0,0.989567,1.388,69
"Jan 15, 04:00 pm",7.537,0,0.989174,1.299,95
"Jan 15, 05:00 pm",9.462,0,0.988823,1.418,83
"Jan 15, 06:00 pm",11.04,0,0.988531,1.75,80
"Jan 15, 07:00 pm",11.885,0,0.988209,2.229,84
"Jan 15, 08:00 pm",11.923,0,0.987805,2.553,80
"Jan 15, 09:00 pm",9.605,0,0.987631,2.33,77
"Jan 15, 10:00 pm",5.269,0,0.98751,2.526,82
"Jan 15, 11:00 pm",3.658,0,0.987536,2.747,74
"Jan 16, 12:00 am",3.314,0,0.987475,3.545,75
"Jan 16, 01:00 am",2.521,2062.78,0.987634,4.321,92
"Jan 16, 02:00 am",2.736,3506.44,0.987468,4.762,102
"Jan 16, 03:00 am",3.114,6686.88,0.987149,5.545,99
"Jan 16, 04:00 am",3.405,9568.13,0.986715,6.022,105
"Jan 16, 05:00 am",3.164,12457.3,0.986587,6.53,107
"Jan 16, 06:00 am",3.818,21156.5,0.986412,7.614,108
"Jan 16, 07:00 am",4.418,28790.1,0.986058,8.465,109
"Jan 16, 08:00 am",4.574,31482.9,0.985485,8.724,111
"Jan 16, 09:00 am",5.244,36046.1,0.985023,9.178,112
"Jan 16, 10:00 am",5.433,40365.8,0.98506,9.64,111
"Jan 16, 11:00 am",5.714,36414.3,0.984836,9.245,107
"Jan 16, 12:00 pm",6.308,37285.7,0.984602,9.388,103
"Jan 16, 01:00 pm",6.742,36588.9,0.984238,9.36,99
"Jan 16, 02:00 pm",8.283,28518.9,0.983958,8.587,97
"Jan 16, 03:00 pm",9.792,19802.2,0.983771,7.545,101
"Jan 16, 04:00 pm",11.125,13493.4,0.983028,6.773,101
"Jan 16, 05:00 pm",10.727,14620.9,0.982128,6.976,95
"Jan 16, 06:00 pm",9.663,20066.4,0.981217,7.655,86
"Jan 16, 07:00 pm",9.193,31767.7,0.980202,8.921,83
"Jan 16, 08:00 pm",9.295,36067,0.979152,9.423,87
"Jan 16, 09:00 pm",9.587,35494.1,0.978084,9.364,92
"Jan 16, 10:00 pm",9.532,38990.6,0.977086,9.752,92
"Jan 16, 11:00 pm",9.615,40690.3,0.976011,9.92,91
"Jan 17, 12:00 am",9.683,48921.9,0.974883,10.719,90
"Jan 17, 01:00 am",9.916,53908.6,0.973568,11.304,85
"Jan 17, 02:00 am",10.151,56845.4,0.972102,12.175,81
"Jan 17, 03:00 am",10.348,56799.1,0.970176,12.965,76
"Jan 17, 04:00 am",10.085,42527.4,0.968969,9.994,78
"Jan 17, 05:00 am",10.096,45740,0.96791,10.381,83
"Jan 17, 06:00 am",10.062,50645,0.966862,10.941,87
"Jan 17, 07:00 am",9.691,49492.4,0.965939,10.811,93
"Jan 17, 08:00 am",9.329,51277.2,0.965156,10.896,101
"Jan 17, 09:00 am",9.303,49264.4,0.96455,10.612,109
"Jan 17, 10:00 am",9.133,52343.4,0.964499,10.983,127
"Jan 17, 11:00 am",9.494,34619.3,0.964523,9.279,152
"Jan 17, 12:00 pm",9.286,42311.8,0.964468,9.923,168
"Jan 17, 01:00 pm",8.553,35719.1,0.96453,9.287,181
"Jan 17, 02:00 pm",8.546,35406.8,0.964869,9.296,198
"Jan 17, 03:00 pm",8.43,39560.7,0.965366,9.782,211
"Jan 17, 04:00 pm",8.025,36377.2,0.965756,9.351,225
"Jan 17, 05:00 pm",8.823,23981.3,0.966405,8.158,264
