,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Jan 3, 07:00 pm",17.915,7478.22,0.978126,5.696,168
"Jan 3, 08:00 pm",17.404,10790.2,0.978038,6.306,172
"Jan 3, 09:00 pm",17.33,10462.1,0.977711,6.228,169
"Jan 3, 10:00 pm",16.275,24787.8,0.977812,8.234,160
"Jan 3, 11:00 pm",15.829,26436.8,0.977911,8.412,160
"Jan 4, 12:00 am",15.91,32478.8,0.977986,9.012,161
"Jan 4, 01:00 am",16.22,28104.9,0.978243,8.544,166
"Jan 4, 02:00 am",15.865,29753,0.978474,8.69,177
"Jan 4, 03:00 am",15.391,37245.3,0.978397,9.481,188
"Jan 4, 04:00 am",14.966,47434.2,0.978307,10.475,195
"Jan 4, 05:00 am",13.969,43756.2,0.978728,10.063,194
"Jan 4, 06:00 am",13.439,39795,0.979074,9.716,194
"Jan 4, 07:00 am",13.776,33177.1,0.979525,9.045,198
"Jan 4, 08:00 am",13.108,21150.6,0.979793,7.799,202
"Jan 4, 09:00 am",12.652,15499,0.98004,7.082,210
"Jan 4, 10:00 am",12.476,11237.8,0.980389,6.459,207
"Jan 4, 11:00 am",12.352,7006.45,0.980792,5.664,209
"Jan 4, 12:00 pm",12.391,4311.89,0.981168,5.068,205
"Jan 4, 01:00 pm",12.714,5615.35,0.981508,5.324,192
"Jan 4, 02:00 pm",13.152,4968.75,0.981861,5.165,191
"Jan 4, 03:00 pm",14.152,4682.71,0.982034,5.108,195
"Jan 4, 04:00 pm",15.989,2413.99,0.981761,4.423,192
"Jan 4, 05:00 pm",17.232,1744.61,0.981845,4.193,198
"Jan 4, 06:00 pm",17.895,3121.09,0.981972,4.696,196
"Jan 4, 07:00 pm",18.401,4261.68,0.982021,5.077,205
"Jan 4, 08:00 pm",18.655,6916.76,0.982049,5.668,210
"Jan 4, 09:00 pm",18.002,9564.33,0.982145,6.166,209
"Jan 4, 10:00 pm",16.675,11627.7,0.982345,6.56,203
"Jan 4, 11:00 pm",16.067,9789.23,0.98263,6.176,202
"Jan 5, 12:00 am",15.875,10561.2,0.982977,6.321,204
"Jan 5, 01:00 am",15.441,7335.85,0.983158,5.681,216
"Jan 5, 02:00 am",14.79,7607.61,0.983345,5.705,221
"Jan 5, 03:00 am",14.507,2176.66,0.983339,4.338,231
"Jan 5, 04:00 am",13.319,20360.4,0.983379,7.599,3
"Jan 5, 05:00 am",11.521,18331.7,0.983822,7.326,3
"Jan 5, 06:00 am",10.198,12470.6,0.984374,6.572,2
"Jan 5, 07:00 am",9.397,11701.9,0.98469,6.441,0
"Jan 5, 08:00 am",8.788,12780.7,0.984619,6.607,3
"Jan 5, 09:00 am",8.088,8190.03,0.984827,5.781,0
"Jan 5, 10:00 am",7.352,9819.05,0.985138,6.065,3
"Jan 5, 11:00 am",6.963,5952.05,0.985394,5.373,5
"Jan 5, 12:00 pm",6.492,10028,0.985447,6.091,2
"Jan 5, 01:00 pm",6.105,8541.64,0.985492,5.84,1
"Jan 5, 02:00 pm",5.77,6693.72,0.985512,5.506,7
"Jan 5, 03:00 pm",5.773,4223.72,0.985174,4.952,7
"Jan 5, 04:00 pm",6.32,3023.35,0.984451,4.624,17
"Jan 5, 05:00 pm",7.259,996.035,0.983702,3.803,12
"Jan 5, 06:00 pm",8.863,0,0.982802,2.652,19
"Jan 5, 07:00 pm",10.156,0,0.981821,2.443,26
"Jan 5, 08:00 pm",10.385,0,0.981162,1.783,25
"Jan 5, 09:00 pm",10.097,0,0.980341,2.504,37
"Jan 5, 10:00 pm",9.418,0,0.979742,2.367,65
"Jan 5, 11:00 pm",8.75,0,0.979448,2.762,8
"Jan 6, 12:00 am",7.928,1385.31,0.979269,3.993,351
"Jan 6, 01:00 am",7.797,2014.05,0.978132,4.27,36
"Jan 6, 02:00 am",7.997,642.947,0.977236,3.643,52
"Jan 6, 03:00 am",8.055,0,0.97682,2.144,52
"Jan 6, 04:00 am",8.147,0,0.975873,1.491,52
"Jan 6, 05:00 am",8.31,0,0.975282,1.123,64
"Jan 6, 06:00 am",8.439,0,0.974744,1.983,136
"Jan 6, 07:00 am",8.632,0,0.974267,1.644,161
"Jan 6, 08:00 am",8.815,0,0.973578,2.832,156
"Jan 6, 09:00 am",9.085,5437.4,0.972995,5.294,163
"Jan 6, 10:00 am",9.589,3599.34,0.972228,4.819,164
"Jan 6, 11:00 am",9.929,2845.44,0.971976,4.571,172
"Jan 6, 12:00 pm",10.369,3193.8,0.971301,4.697,178
"Jan 6, 01:00 pm",10.725,6826.44,0.971075,5.568,182
"Jan 6, 02:00 pm",10.974,3187.86,0.970374,4.697,184
"Jan 6, 03:00 pm",11.411,6364.74,0.970113,5.529,199
"Jan 6, 04:00 pm",11.574,3468.28,0.969618,4.804,215
"Jan 6, 05:00 pm",11.731,1808.25,0.968402,4.238,203
"Jan 6, 06:00 pm",11.634,1596.4,0.968202,4.121,244
"Jan 6, 07:00 pm",11.442,3367.5,0.967965,4.799,262
"Jan 6, 08:00 pm",11.132,0,0.967646,2.825,278
"Jan 6, 09:00 pm",10.787,1151.52,0.967634,3.917,279
"Jan 6, 10:00 pm",10.491,2644.27,0.967384,4.509,291
"Jan 6, 11:00 pm",10.243,2030.58,0.967359,4.281,290
"Jan 7, 12:00 am",9.949,1260.37,0.96695,3.953,308
"Jan 7, 01:00 am",9.778,0,0.96667,3.204,295
"Jan 7, 02:00 am",9.683,0,0.966334,2.546,271
"Jan 7, 03:00 am",9.791,0,0.966006,3.385,197
"Jan 7, 04:00 am",9.96,1583.21,0.965091,4.12,198
"Jan 7, 05:00 am",10.042,5562.83,0.964305,5.381,211
"Jan 7, 06:00 am",10.275,17806.2,0.964807,7.356,260
"Jan 7, 07:00 am",9.569,21929.5,0.964774,7.921,263
"Jan 7, 08:00 am",9.191,21493.1,0.96503,7.77,245
"Jan 7, 09:00 am",8.228,45770.8,0.965286,10.272,256
"Jan 7, 10:00 am",7.952,45180.8,0.965493,10.183,254
"Jan 7, 11:00 am",7.211,56959.1,0.9655,12.008,246
"Jan 7, 12:00 pm",6.733,57244.8,0.965693,12.168,249
"Jan 7, 01:00 pm",5.959,51980.7,0.966497,11.014,267
"Jan 7, 02:00 pm",5.199,47294.2,0.967723,10.508,268
"Jan 7, 03:00 pm",5.615,54957.2,0.968414,11.404,267
"Jan 7, 04:00 pm",6.192,56943.3,0.968421,11.954,264
"Jan 7, 05:00 pm",7.116,52930.1,0.968457,11.033,259
"Jan 7, 06:00 pm",8.049,51234.6,0.968649,10.802,255
"Jan 7, 07:00 pm",8.524,54291.9,0.9689,11.218,255
"Jan 7, 08:00 pm",8.562,56479,0.969152,11.803,255
"Jan 7, 09:00 pm",8.157,49119.1,0.96941,10.592,257
"Jan 7, 10:00 pm",6.66,42325.6,0.969888,9.891,252
"Jan 7, 11:00 pm",5.265,45363.5,0.970482,10.119,246
"Jan 8, 12:00 am",4.226,44886.2,0.970951,10.069,237
"Jan 8, 01:00 am",3.689,50932.4,0.971289,10.655,238
"Jan 8, 02:00 am",3.193,51611.2,0.971605,10.716,240
"Jan 8, 03:00 am",2.947,49664.1,0.971691,10.517,242
"Jan 8, 04:00 am",2.942,40967.1,0.971481,9.721,241
"Jan 8, 05:00 am",2.985,35720.1,0.971481,9.169,242
"Jan 8, 06:00 am",2.592,24632.5,0.971697,8.053,239
"Jan 8, 07:00 am",2.719,26385.5,0.971638,8.236,236
"Jan 8, 08:00 am",2.223,26376,0.971471,8.231,233
"Jan 8, 09:00 am",1.928,27298.7,0.971551,8.324,235
"Jan 8, 10:00 am",1.203,29785.1,0.971876,8.576,247
"Jan 8, 11:00 am",0.647,25792.4,0.972223,8.196,259
"Jan 8, 12:00 pm",0.509,33724.5,0.972803,9.053,265
"Jan 8, 01:00 pm",1.922,29622.9,0.973642,8.667,277
"Jan 8, 02:00 pm",4.186,10292.5,0.974608,6.142,305
"Jan 8, 03:00 pm",5.244,2918.64,0.975443,4.603,326
"Jan 8, 04:00 pm",6.415,4055.3,0.97595,4.936,323
"Jan 8, 05:00 pm",7.262,11504.6,0.976669,6.398,311
"Jan 8, 06:00 pm",7.744,23053.2,0.977213,7.909,306
"Jan 8, 07:00 pm",7.559,26452.8,0.977896,8.271,306
"Jan 8, 08:00 pm",7.268,24818,0.978378,8.091,310
"Jan 8, 09:00 pm",6.565,20326.3,0.978706,7.547,318
"Jan 8, 10:00 pm",4.245,20162.2,0.979474,7.507,320
"Jan 8, 11:00 pm",2.628,23153.9,0.980188,7.91,326
"Jan 9, 12:00 am",1.601,21309.1,0.980853,7.723,334
"Jan 9, 01:00 am",1.118,23685.5,0.98136,7.895,358
"Jan 9, 02:00 am",-0.393,19266.2,0.981804,7.347,2
"Jan 9, 03:00 am",-0.436,14687.3,0.982235,6.804,12
"Jan 9, 04:00 am",-0.405,12401.4,0.982379,6.57,30
"Jan 9, 05:00 am",-0.662,9569.54,0.982834,6,51
"Jan 9, 06:00 am",-0.54,8969.89,0.983173,5.892,49
"Jan 9, 07:00 am",-0.634,6251.56,0.983537,5.419,58
"Jan 9, 08:00 am",-0.875,3085.85,0.983886,4.62,77
"Jan 9, 09:00 am",-0.91,818.596,0.984044,3.725,99
"Jan 9, 10:00 am",-0.987,0,0.984278,3.436,112
"Jan 9, 11:00 am",-1.08,1573.09,0.984613,4.057,135
"Jan 9, 12:00 pm",-0.698,13606.4,0.984778,6.666,130
"Jan 9, 01:00 pm",0.279,19626.8,0.984793,7.399,124
"Jan 9, 02:00 pm",2.31,8682.2,0.984936,5.854,124
"Jan 9, 03:00 pm",4.496,3508.74,0.984985,4.756,131
"Jan 9, 04:00 pm",6.734,3346.17,0.984434,4.719,130
"Jan 9, 05:00 pm",8.793,2632.29,0.984019,4.48,139
"Jan 9, 06:00 pm",10.745,3942.9,0.983655,4.96,153
"Jan 9, 07:00 pm",11.607,6713.02,0.983385,5.599,157
"Jan 9, 08:00 pm",11.962,8000.01,0.983097,5.832,157
"Jan 9, 09:00 pm",11.06,11240.9,0.982708,6.437,154
"Jan 9, 10:00 pm",7.98,19910.7,0.982653,7.6,154
"Jan 9, 11:00 pm",7.208,28845.7,0.982752,8.593,149
"Jan 10, 12:00 am",6.631,35389.5,0.982746,9.251,152
"Jan 10, 01:00 am",6.019,55149.2,0.982775,11.232,159
"Jan 10, 02:00 am",6.06,55273.6,0.982842,11.233,160
"Jan 10, 03:00 am",6.06,57372.5,0.982859,11.694,160
"Jan 10, 04:00 am",5.984,58243.4,0.982613,12.06,162
"Jan 10, 05:00 am",5.927,54516.7,0.98252,11.047,166
"Jan 10, 06:00 am",5.707,34355.1,0.982599,9.001,167
"Jan 10, 07:00 am",6.337,43746.4,0.982455,9.944,167
"Jan 10, 08:00 am",6.057,42219.4,0.982184,9.815,177
"Jan 10, 09:00 am",6.521,41917.7,0.981969,9.796,177
"Jan 10, 10:00 am",6.756,43239.9,0.981732,9.912,180
"Jan 10, 11:00 am",8.623,49257.6,0.98129,10.513,178
"Jan 10, 12:00 pm",9.536,41960.4,0.980854,9.842,177
"Jan 10, 01:00 pm",9.599,37094.8,0.98061,9.389,181
"Jan 10, 02:00 pm",10.914,38229.6,0.980132,9.521,184
"Jan 10, 03:00 pm",14.033,34904.3,0.97964,9.191,192
"Jan 10, 04:00 pm",14.758,36276.1,0.978963,9.407,196
"Jan 10, 05:00 pm",15.543,45155.4,0.978355,10.339,202
"Jan 10, 06:00 pm",16.604,38047,0.977876,9.703,203
"Jan 10, 07:00 pm",17.054,34263.1,0.977532,9.298,206
"Jan 10, 08:00 pm",16.332,24347.3,0.977338,8.238,206
"Jan 10, 09:00 pm",15.562,23027.5,0.977,8.082,207
"Jan 10, 10:00 pm",14.858,28169.3,0.977211,8.546,237
"Jan 10, 11:00 pm",11.804,36078.9,0.978577,9.317,317
"Jan 11, 12:00 am",9.609,36361.7,0.979611,9.315,318
"Jan 11, 01:00 am",8.192,43173.9,0.980441,9.995,326
"Jan 11, 02:00 am",6.63,36221.8,0.981344,9.35,331
"Jan 11, 03:00 am",5.112,30216.8,0.982144,8.711,338
"Jan 11, 04:00 am",4.279,26551,0.982391,8.306,339
"Jan 11, 05:00 am",3.706,25566.8,0.982699,8.173,341
"Jan 11, 06:00 am",3.068,18709.2,0.983132,7.328,344
"Jan 11, 07:00 am",2.418,16528.9,0.983656,7.036,354
"Jan 11, 08:00 am",1.812,12333.9,0.984003,6.494,348
"Jan 11, 09:00 am",1.126,13929.2,0.984281,6.72,347
"Jan 11, 10:00 am",0.751,12295.4,0.984622,6.487,346
"Jan 11, 11:00 am",0.505,9646.74,0.984781,6.015,345
"Jan 11, 12:00 pm",0.122,10486.3,0.98505,6.163,341
"Jan 11, 01:00 pm",-0.182,10381,0.985257,6.122,344
"Jan 11, 02:00 pm",0.047,8723.67,0.985521,5.867,342
"Jan 11, 03:00 pm",0.686,8410.59,0.985736,5.792,344
"Jan 11, 04:00 pm",1.563,5932.98,0.98572,5.388,339
"Jan 11, 05:00 pm",2.477,4146.83,0.985588,4.981,334
"Jan 11, 06:00 pm",3.361,3822.62,0.985406,4.858,325
"Jan 11, 07:00 pm",4.162,4401.57,0.985238,4.99,316
"Jan 11, 08:00 pm",4.656,4837.78,0.985134,5.106,306
"Jan 11, 09:00 pm",4.753,5280.83,0.985177,5.213,303
"Jan 11, 10:00 pm",2.983,5128.66,0.985485,5.165,297
"Jan 11, 11:00 pm",1.6,7944.17,0.985697,5.703,302
"Jan 12, 12:00 am",0.64,19259.8,0.985985,7.353,309
"Jan 12, 01:00 am",-0.365,18202.5,0.986312,7.218,310
"Jan 12, 02:00 am",-0.631,13682,0.986504,6.668,316
"Jan 12, 03:00 am",-1.088,8632.77,0.986529,5.811,318
"Jan 12, 04:00 am",-1.284,6709.88,0.986328,5.518,326
"Jan 12, 05:00 am",-1.411,4683.29,0.986292,5.096,332
"Jan 12, 06:00 am",-1.156,1232.19,0.986532,3.934,333
"Jan 12, 07:00 am",-1.231,0,0.986683,2.952,342
"Jan 12, 08:00 am",-1.509,0,0.98675,1.721,21
"Jan 12, 09:00 am",-1.77,0,0.98677,1.394,46
"Jan 12, 10:00 am",-2.017,0,0.986824,1.341,57
"Jan 12, 11:00 am",-2.146,0,0.986987,1.235,77
"Jan 12, 12:00 pm",-1.641,0,0.987189,1.42,100
"Jan 12, 01:00 pm",-1.226,0,0.987558,1.901,136
"Jan 12, 02:00 pm",0.193,0,0.98783,1.362,163
"Jan 12, 03:00 pm",2.188,0,0.987868,1.19,167
"Jan 12, 04:00 pm",4.081,0,0.987537,1.908,160
"Jan 12, 05:00 pm",5.666,0,0.98735,2.184,165
"Jan 12, 06:00 pm",6.743,0,0.986955,1.978,177
"Jan 12, 07:00 pm",7.478,0,0.986565,2.034,184
"Jan 12, 08:00 pm",7.875,0,0.986264,1.903,196
"Jan 12, 09:00 pm",7.293,0,0.985728,1.771,179
"Jan 12, 10:00 pm",3.721,0,0.985543,1.934,171
"Jan 12, 11:00 pm",2.073,0,0.985508,2.589,172
"Jan 13, 12:00 am",1.027,0,0.98543,3.434,177
"Jan 13, 01:00 am",0.152,1722.99,0.985336,4.129,186
"Jan 13, 02:00 am",-0.257,1695.14,0.985187,4.114,188
"Jan 13, 03:00 am",-0.489,3959.46,0.985002,4.863,182
"Jan 13, 04:00 am",-0.568,3772.29,0.98465,4.805,189
"Jan 13, 05:00 am",-0.571,5394.89,0.984344,5.204,187
"Jan 13, 06:00 am",-0.518,12091.2,0.984083,6.435,193
"Jan 13, 07:00 am",-0.659,12400.7,0.983729,6.497,194
"Jan 13, 08:00 am",-0.545,12086.1,0.983337,6.44,194
"Jan 13, 09:00 am",-0.589,12941.3,0.982891,6.583,195
"Jan 13, 10:00 am",-0.345,12735.5,0.982579,6.556,195
"Jan 13, 11:00 am",-0.23,14751,0.982385,6.91,208
"Jan 13, 12:00 pm",0.277,17156.8,0.982138,7.156,214
"Jan 13, 01:00 pm",0.863,9230.66,0.982087,5.954,230
"Jan 13, 02:00 pm",2.538,3343.94,0.982326,4.713,256
"Jan 13, 03:00 pm",4.145,4476.55,0.982342,5.019,286
"Jan 13, 04:00 pm",3.699,5448.55,0.98247,5.244,312
"Jan 13, 05:00 pm",4.454,5074.71,0.982565,5.157,319
"Jan 13, 06:00 pm",4.748,16166.3,0.982743,7.065,326
"Jan 13, 07:00 pm",5.142,24407.3,0.982924,8.01,317
"Jan 13, 08:00 pm",4.218,34379.9,0.983388,8.983,314
"Jan 13, 09:00 pm",2.763,34925.6,0.984057,9.016,318
"Jan 13, 10:00 pm",0.361,36023.7,0.984916,9.157,326
"Jan 13, 11:00 pm",-1.402,47717.5,0.985591,10.23,326
"Jan 14, 12:00 am",-2.448,36288.6,0.986137,9.2,336
"Jan 14, 01:00 am",-2.893,40348.9,0.986554,9.575,341
"Jan 14, 02:00 am",-3.335,35972.8,0.986933,9.035,346
"Jan 14, 03:00 am",-3.829,23857.7,0.987015,7.847,354
"Jan 14, 04:00 am",-4.231,9331.05,0.986985,5.924,6
"Jan 14, 05:00 am",-4.51,3327.37,0.986892,4.676,16
"Jan 14, 06:00 am",-4.555,0,0.986972,3.432,20
"Jan 14, 07:00 am",-4.548,0,0.987078,3.174,25
"Jan 14, 08:00 am",-4.622,0,0.987028,1.914,24
"Jan 14, 09:00 am",-4.59,0,0.987113,0.875,321
"Jan 14, 10:00 am",-4.57,0,0.987338,1.022,255
"Jan 14, 11:00 am",-4.614,0,0.98745,2.125,207
"Jan 14, 12:00 pm",-4.704,0,0.987463,2.924,209
"Jan 14, 01:00 pm",-4.162,689.197,0.987514,3.643,194
"Jan 14, 02:00 pm",-2.425,0,0.98753,3.344,191
"Jan 14, 03:00 pm",-0.332,715.288,0.987211,3.667,198
"Jan 14, 04:00 pm",1.918,2649.17,0.986477,4.501,211
"Jan 14, 05:00 pm",3.945,6176.42,0.98585,5.431,216
"Jan 14, 06:00 pm",5.63,11307.7,0.985537,6.309,222
"Jan 14, 07:00 pm",6.92,17353.7,0.985154,7.171,225
"Jan 14, 08:00 pm",7.352,22362.3,0.984944,7.798,225
"Jan 14, 09:00 pm",6.244,22714.3,0.984838,7.829,226
"Jan 14, 10:00 pm",1.86,35832,0.985239,9.1,231
"Jan 14, 11:00 pm",-0.018,39808.2,0.985893,9.522,238
"Jan 15, 12:00 am",-0.826,45965.4,0.986439,10.026,242
"Jan 15, 01:00 am",-1.795,44206.6,0.986966,9.878,253
"Jan 15, 02:00 am",-1.984,42258.5,0.987442,9.863,270
"Jan 15, 03:00 am",-2.35,51709,0.987859,10.565,283
"Jan 15, 04:00 am",-2.313,60584.3,0.988615,12.339,343
"Jan 15, 05:00 am",-3.431,58470.4,0.989624,11.275,356
"Jan 15, 06:00 am",-4.394,35032.6,0.990681,8.915,355
"Jan 15, 07:00 am",-5.113,24353.7,0.991563,7.874,350
"Jan 15, 08:00 am",-5.816,20630.6,0.992369,7.429,349
"Jan 15, 09:00 am",-6.337,22589.3,0.993164,7.659,355
"Jan 15, 10:00 am",-6.552,19812.2,0.993892,7.324,352
"Jan 15, 11:00 am",-7.243,35283.4,0.994624,8.891,354
"Jan 15, 12:00 pm",-7.978,36937.3,0.995439,9.019,352
"Jan 15, 01:00 pm",-8.213,34494.7,0.996196,8.807,353
"Jan 15, 02:00 pm",-7.687,30970,0.997038,8.505,353
"Jan 15, 03:00 pm",-6.942,25704.5,0.99749,7.983,353
"Jan 15, 04:00 pm",-6.077,23073.8,0.997605,7.706,352
"Jan 15, 05:00 pm",-5.237,23006.1,0.997752,7.706,351
"Jan 15, 06:00 pm",-4.564,21262.8,0.997705,7.513,346
"Jan 15, 07:00 pm",-4.217,20981,0.997751,7.483,346
"Jan 15, 08:00 pm",-4.232,20746.1,0.997916,7.462,345
"Jan 15, 09:00 pm",-4.746,20385.8,0.998258,7.409,346
"Jan 15, 10:00 pm",-5.848,21212.9,0.998867,7.478,350
"Jan 15, 11:00 pm",-6.81,26429.3,0.999537,8.052,353
"Jan 16, 12:00 am",-7.445,19706,1.00003,7.298,0
"Jan 16, 01:00 am",-8.326,22651.3,1.00077,7.628,3
"Jan 16, 02:00 am",-9.048,22970.8,1.00138,7.652,9
"Jan 16, 03:00 am",-9.749,26270.3,1.00175,8.006,4
"Jan 16, 04:00 am",-10.331,20674.8,1.00193,7.371,8
"Jan 16, 05:00 am",-10.947,18854,1.0022,7.163,9
"Jan 16, 06:00 am",-11.47,17697.1,1.00255,7.032,11
"Jan 16, 07:00 am",-11.985,13829.9,1.00286,6.584,14
"Jan 16, 08:00 am",-12.547,15380.4,1.00307,6.769,12
"Jan 16, 09:00 am",-12.89,8318.57,1.0031,5.66,13
"Jan 16, 10:00 am",-13.281,8988.33,1.00335,5.795,17
"Jan 16, 11:00 am",-13.639,5889.49,1.00355,5.296,24
"Jan 16, 12:00 pm",-14.006,4596.76,1.00387,4.996,31
"Jan 16, 01:00 pm",-14.066,7218.7,1.00406,5.543,32
"Jan 16, 02:00 pm",-13.216,4307.22,1.00415,4.921,32
"Jan 16, 03:00 pm",-11.963,1504.8,1.00397,4.015,31
"Jan 16, 04:00 pm",-10.498,0,1.00338,3.579,26
"Jan 16, 05:00 pm",-9.055,0,1.00279,3.237,22
"Jan 16, 06:00 pm",-7.746,0,1.00217,3.141,14
"Jan 16, 07:00 pm",-6.654,0,1.00145,3.093,10
"Jan 16, 08:00 pm",-5.956,0,1.00083,2.809,11
"Jan 16, 09:00 pm",-5.726,0,1.00021,2.726,9
"Jan 16, 10:00 pm",-6.809,0,0.999848,2.904,15
"Jan 16, 11:00 pm",-7.678,0,0.999523,3.28,24
"Jan 17, 12:00 am",-7.857,348.226,0.999151,3.638,27
"Jan 17, 01:00 am",-8.083,838.464,0.998687,3.72,32
"Jan 17, 02:00 am",-8.282,1781.64,0.99829,4.121,45
"Jan 17, 03:00 am",-8.684,716.109,0.997852,3.649,67
"Jan 17, 04:00 am",-8.889,0,0.997259,2.225,100
"Jan 17, 05:00 am",-9.035,0,0.996871,1.952,143
"Jan 17, 06:00 am",-9.067,0,0.99658,2.799,161
"Jan 17, 07:00 am",-9.137,0,0.996294,3.499,164
"Jan 17, 08:00 am",-9.251,2742.36,0.995904,4.448,165
"Jan 17, 09:00 am",-9.192,12100.6,0.99557,6.319,166
"Jan 17, 10:00 am",-9.014,24618.2,0.995246,7.895,163
"Jan 17, 11:00 am",-8.834,29414,0.994766,8.379,163
"Jan 17, 12:00 pm",-8.857,29453.6,0.99426,8.357,166
"Jan 17, 01:00 pm",-7.63,23851.3,0.993752,7.795,168
"Jan 17, 02:00 pm",-5.157,7654.79,0.99326,5.606,167
"Jan 17, 03:00 pm",-2.683,6625.98,0.992554,5.454,169
"Jan 17, 04:00 pm",-0.436,12167,0.991359,6.432,180
"Jan 17, 05:00 pm",0.432,16569.6,0.990326,7.014,186
"Jan 17, 06:00 pm",1.142,17911.7,0.989386,7.177,189
"Jan 17, 07:00 pm",1.587,22896.6,0.988536,7.798,193
"Jan 17, 08:00 pm",0.802,23535,0.987748,7.855,191
