,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jul 7, 09:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,2.1
"Jul 7, 10:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.1
"Jul 7, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 8, 12:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 8, 01:00 am",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,2.1
"Jul 8, 02:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Jul 8, 03:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.1
"Jul 8, 04:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,0
"Jul 8, 05:00 am",21.1,96.4059,18,7,23.9292,1.23371,9,19.5668,6.78892,0.00123371,1,2,6.78892,2.1
"Jul 8, 06:00 am",21.1,87.5799,376,41,129.104,104.448,106,20.7046,49.1726,0.104448,1,1,36.8199,2.6
"Jul 8, 07:00 am",23.3,74.0343,286,142,665.522,629.403,248,26.9479,211.632,0.629403,1,1,195.425,3.1
"Jul 8, 08:00 am",25,60.2696,581,147,1383.14,1327.85,473,34.2907,436.772,1.32785,1,1,420.805,3.1
"Jul 8, 09:00 am",27.8,46.4248,782,109,2053.37,1976.22,677,41.8943,656.491,1.97622,1,1,648.966,3.6
"Jul 8, 10:00 am",29.4,32.6534,752,150,2444.63,2352.94,795,46.8595,794.589,2.35294,1,1,792.718,3.6
"Jul 8, 11:00 am",30,19.3668,632,274,2677.51,2576.55,871,50.5797,885.755,2.57655,1,1,885.488,3.1
"Jul 8, 12:00 pm",30.6,9.32942,385,269,2051.81,1974.71,647,46.5133,664.157,1.97471,1,1,664.135,3.1
"Jul 8, 01:00 pm",30,14.2727,9,353,1131.84,1083.77,362,37.1768,349.307,1.08377,1,1,349.305,4.6
"Jul 8, 02:00 pm",25.6,26.9192,8,438,1403.4,1347.51,445,35.6042,429.753,1.34751,1,1,429.743,2.6
"Jul 8, 03:00 pm",27.8,40.5742,8,286,920.598,878.168,293,34.0166,279.75,0.878168,1,1,279.705,3.1
"Jul 8, 04:00 pm",28.9,54.4152,8,264,843.04,802.587,269,33.4823,255.616,0.802587,1,1,255.47,4.6
"Jul 8, 05:00 pm",24.4,68.2332,5,101,333.899,305.156,103,25.6215,97.6537,0.305156,1,1,97.4338,4.6
"Jul 8, 06:00 pm",23.3,81.8991,5,82,265.464,238.126,83,23.8538,77.1341,0.238127,1,1,76.8238,3.6
"Jul 8, 07:00 pm",22.8,93.7357,1,25,81.0655,57.3168,25,22.0709,23.266,0.0573169,1,3,23.266,3.6
"Jul 8, 08:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.6
"Jul 8, 09:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 8, 10:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.6
"Jul 8, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.6
"Jul 9, 12:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,5.2
"Jul 9, 01:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,5.2
"Jul 9, 02:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.6
"Jul 9, 03:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.6
"Jul 9, 04:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Jul 9, 05:00 am",20.6,96.4131,0,6,20.5364,0,6,19.2938,5.81908,0,1,2,5.81908,3.6
"Jul 9, 06:00 am",21.1,87.6412,23,51,164.261,138.929,55,20.7718,47.6021,0.138929,1,1,46.861,4.6
"Jul 9, 07:00 am",22.8,74.0862,98,156,571.86,537.919,192,24.9818,171.934,0.537919,1,1,166.37,5.2
"Jul 9, 08:00 am",23.3,60.3115,68,222,828.638,788.547,260,26.8816,245.12,0.788547,1,1,243.247,5.7
"Jul 9, 09:00 am",25.6,46.4553,170,345,1500.61,1441.77,469,32.4087,454,1.44177,1,1,452.36,6.7
"Jul 9, 10:00 am",26.7,32.6681,427,317,2191.42,2109.29,683,39.3006,684.61,2.10929,1,1,683.545,5.2
"Jul 9, 11:00 am",27.8,19.3517,365,476,2560.55,2464.31,820,46.0246,826.846,2.46431,1,1,826.692,3.6
"Jul 9, 12:00 pm",29.4,9.23074,509,401,2846.03,2738.07,900,46.0721,919.117,2.73807,1,1,919.089,5.7
"Jul 9, 01:00 pm",30,14.1753,661,282,2859.31,2750.79,920,49.3851,939.727,2.75079,1,1,939.615,4.6
"Jul 9, 02:00 pm",31.1,26.8561,500,347,2454.99,2362.9,797,48.5115,803.644,2.3629,1,1,803.025,4.1
"Jul 9, 03:00 pm",30.6,40.529,417,316,1975.76,1901.33,643,44.9976,636.84,1.90133,1,1,634.49,3.6
"Jul 9, 04:00 pm",27.2,54.3827,75,143,608.091,573.316,190,30.5941,183.068,0.573317,1,1,181.704,5.2
"Jul 9, 05:00 pm",26.7,68.2117,2,156,496.001,463.77,157,29.9432,147.834,0.46377,1,1,147.746,1.5
"Jul 9, 06:00 pm",26.7,81.8888,0,45,145.574,120.603,45,26.6844,42.6934,0.120603,1,1,42.6934,3.1
"Jul 9, 07:00 pm",25.6,93.7106,8,21,67.7613,44.2604,21,24.7463,19.6919,0.0442604,1,3,19.6919,3.1
"Jul 9, 08:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,2.1
"Jul 9, 09:00 pm",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,3.1
"Jul 9, 10:00 pm",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,5.2
"Jul 9, 11:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,5.2
"Jul 10, 12:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.6
"Jul 10, 01:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,3.6
"Jul 10, 02:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,4.1
"Jul 10, 03:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,3.6
"Jul 10, 04:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.6
"Jul 10, 05:00 am",22.2,96.4191,0,5,16.9704,0,5,21.1227,4.84923,0,1,2,4.84923,5.2
"Jul 10, 06:00 am",22.2,87.7025,1,72,223.583,197.087,72,22.235,64.2495,0.197087,1,1,64.2179,4.6
"Jul 10, 07:00 am",23.3,74.1377,146,164,627.462,592.237,218,26.5271,192.185,0.592238,1,1,183.882,3.1
"Jul 10, 08:00 am",25,60.3525,446,210,1357.78,1303.25,459,35.1421,427.15,1.30325,1,1,414.826,2.1
"Jul 10, 09:00 am",27.2,46.4843,590,215,1956.39,1882.64,642,43.0514,627.696,1.88264,1,1,621.99,2.1
"Jul 10, 10:00 am",28.9,32.6807,588,308,2521.24,2426.55,810,45.2615,812.242,2.42655,1,1,810.774,4.6
"Jul 10, 11:00 am",30,19.3333,584,350,2783.35,2678.02,900,49.4541,915.233,2.67802,1,1,914.988,4.1
"Jul 10, 12:00 pm",30,9.12607,529,371,2777.24,2672.16,888,48.7883,909.791,2.67216,1,1,909.763,4.6
"Jul 10, 01:00 pm",30.6,14.0759,609,395,3054.43,2937.49,981,48.8473,1000.98,2.93749,1,1,1000.88,5.7
"Jul 10, 02:00 pm",31.1,26.7933,436,342,2287.36,2201.67,734,46.7176,741.705,2.20167,1,1,741.169,4.6
"Jul 10, 03:00 pm",30.6,40.485,370,333,1931.63,1858.73,623,42.3616,614.027,1.85873,1,1,611.95,5.2
"Jul 10, 04:00 pm",30,54.352,301,303,1500.35,1441.52,493,38.3929,471.32,1.44152,1,1,465.857,5.7
"Jul 10, 05:00 pm",30.6,68.1927,292,178,866.795,825.742,310,35.6201,278.261,0.825742,1,1,265.447,5.2
"Jul 10, 06:00 pm",29.4,81.8812,163,89,311.429,283.152,131,30.8954,103.316,0.283152,1,1,93.1936,4.6
"Jul 10, 07:00 pm",26.1,93.6856,11,21,67.5301,44.0335,22,25.412,19.6863,0.0440335,1,3,19.6863,3.1
"Jul 10, 08:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,3.6
"Jul 10, 09:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,2.6
"Jul 10, 10:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,2.6
"Jul 10, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.6
"Jul 11, 12:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,2.6
"Jul 11, 01:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,3.1
"Jul 11, 02:00 am",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,0
"Jul 11, 03:00 am",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.1
"Jul 11, 04:00 am",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Jul 11, 05:00 am",18.3,96.4238,2,9,31.1907,8.36292,9,16.5554,8.72862,0.00836292,1,2,8.72862,1.5
"Jul 11, 06:00 am",20.6,87.7637,189,55,170.088,144.643,86,20.2392,54.2515,0.144643,1,1,48.4045,1.5
"Jul 11, 07:00 am",23.9,74.1886,461,101,660.981,624.969,270,28.2821,221.589,0.624969,1,1,195.328,2.1
"Jul 11, 08:00 am",26.1,60.3924,613,142,1400.11,1344.32,484,36.1833,446.951,1.34432,1,1,429.968,2.6
"Jul 11, 09:00 am",27.2,46.5117,706,174,2079.26,2001.19,685,43.0942,668.044,2.00119,1,1,661.199,2.6
"Jul 11, 10:00 am",28.3,32.6911,688,209,2486.5,2393.17,797,45.2031,801.078,2.39317,1,1,799.358,4.1
"Jul 11, 11:00 am",28.9,19.3118,738,205,2795.81,2689.97,899,49.2598,918.448,2.68997,1,1,918.139,3.6
"Jul 11, 12:00 pm",30,9.01548,735,213,2908.32,2797.71,932,49.7348,957.537,2.79771,1,1,957.499,4.6
"Jul 11, 01:00 pm",31.1,13.9746,785,212,2958.66,2845.89,968,52.2389,987.348,2.84589,1,1,987.221,4.1
"Jul 11, 02:00 pm",32.2,26.7311,770,202,2728.05,2625.02,893,50.9817,905.083,2.62502,1,1,904.146,4.6
"Jul 11, 03:00 pm",32.8,40.4425,729,184,2292.55,2206.66,756,47.3692,749.467,2.20666,1,1,745.392,5.2
"Jul 11, 04:00 pm",31.7,54.3233,499,215,1552.45,1492,530,44.5279,506.374,1.492,1,1,497.337,2.6
"Jul 11, 05:00 pm",31.1,68.176,495,124,913.52,871.272,347,38.1126,304.952,0.871272,1,1,283.248,3.1
"Jul 11, 06:00 pm",30,81.8765,323,75,308.677,280.457,157,31.9736,112.916,0.280457,1,1,92.8542,3.6
"Jul 11, 07:00 pm",28.9,93.6609,33,26,77.0634,53.3895,29,28.3792,22.7838,0.0533895,1,3,22.7838,2.6
"Jul 11, 08:00 pm",27.8,0,0,0,0,0,0,27.8,0,0,1,0,0,2.1
"Jul 11, 09:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,2.6
"Jul 11, 10:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,4.1
"Jul 11, 11:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.6
"Jul 12, 12:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Jul 12, 01:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.1
"Jul 12, 02:00 am",20,0,0,0,0,0,0,20,0,0,1,0,0,3.6
"Jul 12, 03:00 am",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,1.5
"Jul 12, 04:00 am",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.1
"Jul 12, 05:00 am",19.4,96.4273,9,8,27.563,4.80141,9,17.8482,7.75877,0.00480141,1,2,7.75877,2.1
"Jul 12, 06:00 am",20.6,87.8249,291,46,139.818,114.957,94,20.1795,48.5908,0.114957,1,1,39.7793,2.6
"Jul 12, 07:00 am",22.8,74.2389,567,80,678.292,641.871,287,26.9056,231.49,0.641871,1,1,199.135,3.1
"Jul 12, 08:00 am",25,60.4313,705,110,1447.16,1389.95,501,34.8974,461.182,1.38995,1,1,441.6,3.1
"Jul 12, 09:00 am",27.8,46.5376,780,132,2105.77,2026.74,695,43.0958,677.211,2.02674,1,1,669.633,3.1
"Jul 12, 10:00 am",29.4,32.6994,828,148,2572.72,2475.99,854,51.4589,856.921,2.47599,1,1,854.849,2.1
"Jul 12, 11:00 am",30.6,19.2872,654,246,2665.01,2564.56,861,50.2265,879.967,2.56456,1,1,879.695,3.6
"Jul 12, 12:00 pm",31.7,8.89903,555,284,2555.04,2459.01,827,51.6418,849.836,2.45901,1,1,849.808,3.1
"Jul 12, 01:00 pm",31.1,13.8716,636,274,2737.16,2633.75,887,51.3043,908.835,2.63375,1,1,908.734,3.6
"Jul 12, 02:00 pm",31.1,26.6694,673,260,2630.17,2531.13,864,51.68,875.788,2.53113,1,1,874.974,3.1
"Jul 12, 03:00 pm",32.2,40.4014,533,264,2050.74,1973.68,682,49.2642,676.443,1.97368,1,1,673.476,2.6
"Jul 12, 04:00 pm",32.2,54.2966,627,155,1610.45,1548.18,550,43.9685,525.763,1.54818,1,1,514.43,3.6
"Jul 12, 05:00 pm",31.1,68.1618,605,92,938.981,896.074,364,37.7284,317.091,0.896074,1,1,290.584,4.1
"Jul 12, 06:00 pm",29.4,81.8748,435,62,301.882,273.801,172,31.7946,117.75,0.273801,1,1,90.731,2.6
"Jul 12, 07:00 pm",27.8,93.6364,78,24,68.3581,44.8461,32,27.1644,20.0934,0.0448461,1,3,20.0934,2.1
"Jul 12, 08:00 pm",26.7,0,0,0,0,0,0,26.7,0,0,1,0,0,2.6
"Jul 12, 09:00 pm",25.6,0,0,0,0,0,0,25.6,0,0,1,0,0,2.1
"Jul 12, 10:00 pm",25,0,0,0,0,0,0,25,0,0,1,0,0,2.1
"Jul 12, 11:00 pm",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,5.2
"Jul 13, 12:00 am",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,4.1
"Jul 13, 01:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.6
"Jul 13, 02:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 13, 03:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.1
"Jul 13, 04:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Jul 13, 05:00 am",21.1,96.4294,17,7,23.9089,1.21374,9,19.7523,6.78892,0.00121374,1,2,6.78892,3.1
"Jul 13, 06:00 am",22.2,87.8859,348,41,124.926,100.35,98,21.8163,46.1183,0.10035,1,1,35.8119,3.6
"Jul 13, 07:00 am",23.9,74.2885,615,68,669.933,633.71,292,27.8566,232.725,0.63371,1,1,197.572,3.6
"Jul 13, 08:00 am",26.1,60.469,739,93,1434.12,1377.31,503,36.5696,461.835,1.37731,1,1,441.258,2.6
"Jul 13, 09:00 am",27.8,46.5619,809,113,2107.47,2028.38,696,43.1177,678.126,2.02838,1,1,670.249,3.1
"Jul 13, 10:00 am",29.4,32.7055,851,126,2556.18,2460.11,851,51.3159,850.833,2.46011,1,1,848.703,2.1
"Jul 13, 11:00 am",29.4,19.2596,265,482,2287.45,2201.75,731,46.0678,738.795,2.20175,1,1,738.685,3.6
"Jul 13, 12:00 pm",29.4,8.7768,118,497,1921.11,1848.58,612,44.7822,616.257,1.84858,1,1,616.252,2.6
"Jul 13, 01:00 pm",31.1,13.767,250,388,1988.26,1913.39,629,45.1659,639.099,1.91339,1,1,639.061,3.6
"Jul 13, 02:00 pm",30.6,26.6085,601,231,2401.06,2311.06,770,47.7634,783.015,2.31106,1,1,782.295,3.6
"Jul 13, 03:00 pm",27.8,40.3619,608,245,2251.04,2166.7,722,42.5266,717.115,2.1667,1,1,713.743,4.6
"Jul 13, 04:00 pm",26.1,54.272,281,314,1532.1,1472.29,491,34.1178,470.799,1.47229,1,1,465.729,6.2
"Jul 13, 05:00 pm",25.6,68.1502,3,131,422.094,391.481,132,28.5086,125,0.391481,1,1,124.869,2.6
"Jul 13, 06:00 pm",25.6,81.8761,1,63,203.649,177.547,63,25.9648,59.5844,0.177547,1,1,59.5223,2.1
"Jul 13, 07:00 pm",24.4,93.6122,0,22,71.7323,48.1576,22,23.5322,20.7278,0.0481576,1,3,20.7278,2.6
"Jul 13, 08:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,2.6
"Jul 13, 09:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.6
"Jul 13, 10:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.6
"Jul 13, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 14, 12:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 14, 01:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.1
"Jul 14, 02:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,1.5
"Jul 14, 03:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Jul 14, 04:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,3.1
"Jul 14, 05:00 am",21.1,96.4302,2,3,10.2603,0,4,19.4611,2.90954,0,1,2,2.90954,2.1
"Jul 14, 06:00 am",22.2,87.9466,46,59,184.718,158.988,67,21.9226,54.3097,0.158988,1,1,52.9782,2.1
"Jul 14, 07:00 am",23.9,74.3374,488,92,654.433,618.576,269,27.4497,220.566,0.618576,1,1,192.627,4.1
"Jul 14, 08:00 am",26.1,60.5055,624,129,1383.06,1327.77,474,34.6526,438.946,1.32777,1,1,421.529,4.1
"Jul 14, 09:00 am",27.8,46.5845,512,236,1857.8,1787.42,604,41.8867,592.126,1.78742,1,1,587.132,2.6
"Jul 14, 10:00 am",29.4,32.7095,509,346,2392.1,2302.44,779,48.2723,782.742,2.30244,1,1,781.467,2.6
"Jul 14, 11:00 am",30,19.2291,601,340,2804.19,2697.99,905,49.5484,922.549,2.69799,1,1,922.301,4.1
"Jul 14, 12:00 pm",30,8.64885,472,281,2340.71,2253,743,48.2079,764.44,2.253,1,1,764.417,3.1
"Jul 14, 01:00 pm",23.9,13.6613,2,190,625.9,590.711,192,27.452,184.231,0.590711,1,1,184.231,5.2
"Jul 14, 02:00 pm",22.8,26.5486,12,201,692.779,656.012,211,26.8082,203.309,0.656012,1,1,203.294,2.6
"Jul 14, 03:00 pm",23.9,40.3241,4,335,1085.12,1038.32,338,30.5643,324.22,1.03832,1,1,324.198,3.1
"Jul 14, 04:00 pm",25.6,54.2497,6,211,686.661,650.04,214,29.5592,204.269,0.65004,1,1,204.161,3.6
"Jul 14, 05:00 pm",25,68.1413,47,183,635.216,599.81,204,28.55,190.011,0.59981,1,1,187.954,3.1
"Jul 14, 06:00 pm",24.4,81.8803,59,96,316.849,288.46,111,25.7911,96.1965,0.28846,1,1,92.5324,2.6
"Jul 14, 07:00 pm",22.8,93.5883,15,26,82.3779,58.6047,27,21.9645,23.631,0.0586047,1,3,23.631,1.5
"Jul 14, 08:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,0
"Jul 14, 09:00 pm",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,1.5
"Jul 14, 10:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 14, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,2.1
"Jul 15, 12:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,2.1
"Jul 15, 01:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.6
"Jul 15, 02:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.6
"Jul 15, 03:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.1
"Jul 15, 04:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,3.6
"Jul 15, 05:00 am",22.2,96.4295,0,2,6.79904,0,2,20.7754,1.93969,0,1,2,1.93969,3.1
"Jul 15, 06:00 am",22.8,88.0071,26,69,208.82,182.616,73,22.7728,60.8625,0.182616,1,1,60.1275,4.6
"Jul 15, 07:00 am",25,74.3856,432,102,637.405,601.948,258,28.4242,213.261,0.601948,1,1,188.489,4.1
"Jul 15, 08:00 am",27.2,60.5409,481,160,1254.1,1202.59,425,34.8421,396.04,1.20259,1,1,382.584,4.1
"Jul 15, 09:00 am",28.3,46.6055,609,219,2024.05,1947.93,657,41.476,644.287,1.94793,1,1,638.335,4.1
"Jul 15, 10:00 am",30,32.7114,717,196,2464.82,2372.34,806,49.6792,813.042,2.37234,1,1,811.245,2.6
"Jul 15, 11:00 am",30.6,19.1957,528,352,2626.37,2527.48,848,49.8351,865.351,2.52748,1,1,865.134,3.6
"Jul 15, 12:00 pm",25,8.51527,250,274,1714.95,1649.32,518,37.2648,529.506,1.64932,1,1,529.495,3.6
"Jul 15, 01:00 pm",28.3,13.5545,301,227,1720.64,1654.82,516,38.196,533.774,1.65482,1,1,533.729,5.2
"Jul 15, 02:00 pm",23.3,26.4898,29,198,744.534,706.519,223,27.1444,218.865,0.706519,1,1,218.83,5.2
"Jul 15, 03:00 pm",24.4,40.2882,11,243,810.293,770.66,251,29.4539,240.859,0.77066,1,1,240.799,2.6
"Jul 15, 04:00 pm",28.9,54.2297,191,253,1153.47,1104.8,373,36.1102,357.532,1.1048,1,1,354.097,3.6
"Jul 15, 05:00 pm",28.3,68.1351,402,162,950.553,907.345,343,34.0371,306.424,0.907345,1,1,288.835,4.6
"Jul 15, 06:00 pm",27.2,81.8877,163,103,358.09,328.84,144,28.8084,116.208,0.32884,1,1,106.086,5.2
"Jul 15, 07:00 pm",25.6,93.5647,18,22,70.3183,46.7699,24,24.9698,20.4565,0.0467699,1,3,20.4565,3.6
"Jul 15, 08:00 pm",24.4,0,0,0,0,0,0,24.4,0,0,1,0,0,3.1
"Jul 15, 09:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,2.6
"Jul 15, 10:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,3.1
"Jul 15, 11:00 pm",23.9,0,0,0,0,0,0,23.9,0,0,1,0,0,3.1
"Jul 16, 12:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.1
"Jul 16, 01:00 am",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,2.6
"Jul 16, 02:00 am",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.6
"Jul 16, 03:00 am",21.7,0,0,0,0,0,0,21.7,0,0,1,0,0,4.1
"Jul 16, 04:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,4.1
"Jul 16, 05:00 am",21.1,96.4275,1,5,17.0813,0,5,19.7066,4.84923,0,1,2,4.84923,3.1
"Jul 16, 06:00 am",22.8,88.0671,157,50,151.474,126.389,75,22.4429,47.8799,0.126389,1,1,43.5486,3.1
"Jul 16, 07:00 am",24.4,74.4329,466,99,653.489,617.654,267,27.7362,219.376,0.617654,1,1,192.612,4.6
"Jul 16, 08:00 am",26.1,60.575,614,139,1397.11,1341.4,477,34.7402,443.211,1.3414,1,1,425.995,4.1
"Jul 16, 09:00 am",28.3,46.6249,553,230,1931.32,1858.43,627,41.505,614.595,1.85843,1,1,609.181,3.6
"Jul 16, 10:00 am",29.4,32.7112,361,381,2151.51,2070.83,688,43.8748,687.833,2.07083,1,1,686.929,4.1
"Jul 16, 11:00 am",30.6,19.1595,600,340,2838.87,2731.21,903,47.1542,922.225,2.73121,1,1,921.98,5.7
"Jul 16, 12:00 pm",30,8.37614,429,381,2533.4,2438.23,800,47.0741,822.446,2.43823,1,1,822.427,4.6
"Jul 16, 01:00 pm",30.6,13.4469,422,452,2617.57,2519.04,859,52.0414,872.541,2.51904,1,1,872.48,2.6
"Jul 16, 02:00 pm",28.3,26.4323,22,258,889.621,847.987,278,34.9586,271.574,0.847987,1,1,271.548,3.6
"Jul 16, 03:00 pm",28.3,40.2543,10,298,964.063,920.503,306,34.1545,293.164,0.920503,1,1,293.109,3.6
"Jul 16, 04:00 pm",28.3,54.2121,9,238,764.686,726.179,244,33.3923,231.786,0.726179,1,1,231.624,2.6
"Jul 16, 05:00 pm",27.2,68.1316,2,140,447.258,416.099,141,29.5274,133.048,0.416099,1,1,132.961,3.1
"Jul 16, 06:00 pm",26.1,81.8982,67,52,184.344,158.621,69,26.4274,58.157,0.158621,1,1,53.9978,2.6
"Jul 16, 07:00 pm",25.6,93.5415,3,12,39.1276,16.1547,12,24.5871,11.3623,0.0161547,1,3,11.3623,3.1
"Jul 16, 08:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,3.6
"Jul 16, 09:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,3.1
"Jul 16, 10:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 16, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,3.1
"Jul 17, 12:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Jul 17, 01:00 am",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.6
"Jul 17, 02:00 am",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,2.6
"Jul 17, 03:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,3.1
"Jul 17, 04:00 am",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,2.6
"Jul 17, 05:00 am",17.2,96.424,2,2,6.96786,0,2,15.3875,1.93969,0,1,2,1.93969,2.1
"Jul 17, 06:00 am",18.9,88.1267,256,47,140.788,115.909,87,18.3692,46.6118,0.115909,1,1,39.7249,2.6
"Jul 17, 07:00 am",22.8,74.4794,517,83,643.485,607.886,268,27.065,218.798,0.607886,1,1,189.059,2.1
"Jul 17, 08:00 am",24.4,60.6078,654,112,1380.95,1325.73,471,33.2603,436.398,1.32573,1,1,418.022,3.6
"Jul 17, 09:00 am",26.1,46.6427,758,120,2043.21,1966.42,663,40.7355,649.39,1.96642,1,1,641.958,3.1
"Jul 17, 10:00 am",26.7,32.709,623,208,2318.27,2231.42,737,44.9162,745.728,2.23142,1,1,744.167,2.6
"Jul 17, 11:00 am",27.8,19.1207,849,159,2878.43,2769.1,955,55.1236,975.965,2.7691,1,1,975.62,1.5
"Jul 17, 12:00 pm",28.9,8.23156,857,164,3046.49,2929.9,1001,54.2571,1027.74,2.9299,1,1,1027.71,2.6
"Jul 17, 01:00 pm",29.4,13.3388,833,176,2968.97,2855.76,977,54.2752,1001.77,2.85576,1,1,1001.65,2.6
"Jul 17, 02:00 pm",30.6,26.3762,825,173,2783.4,2678.07,912,51.4647,925.839,2.67807,1,1,924.879,3.6
"Jul 17, 03:00 pm",30.6,40.2224,705,161,2159.78,2078.8,713,48.5982,710.645,2.0788,1,1,706.787,2.6
"Jul 17, 04:00 pm",30.6,54.1969,733,127,1725.03,1659.06,588,43.2152,562.045,1.65906,1,1,548.894,3.6
