,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 4, 01:00 pm",1764.55,21,20.5147,141,1834.13,405,526,31.0891,549.441,1.76455,1,1,549.37,4.9
"Aug 4, 02:00 pm",1824.81,21.2,34.3177,260,1896.51,343,543,32.1296,571.705,1.82481,1,1,570.927,4.9
"Aug 4, 03:00 pm",1982.47,21.4,48.2033,506,2059.86,282,607,33.6618,630.417,1.98247,1,1,624.758,4.8
"Aug 4, 04:00 pm",563.551,21.6,62.0195,18,598.094,174,183,24.9117,174.499,0.563551,1,1,173.945,4.8
"Aug 4, 05:00 pm",380.822,21.1,75.6684,19,411.201,122,128,22.5151,119.392,0.380822,1,1,118.259,4.8
"Aug 4, 06:00 pm",105.631,20.5,89.0022,16,130.309,41,43,20.1802,37.3251,0.105631,1,1,37.0741,5.6
"Aug 4, 07:00 pm",0,20,96.326,2,3.42915,1,1,18.8845,0.969846,0,1,3,0.969846,5.6
"Aug 4, 08:00 pm",0,19.4,0,0,0,0,0,19.4,0,0,1,0,0,5.6
"Aug 4, 09:00 pm",0,18.7,0,0,0,0,0,18.7,0,0,1,0,0,4.5
"Aug 4, 10:00 pm",0,18,0,0,0,0,0,18,0,0,1,0,0,4.5
"Aug 4, 11:00 pm",0,17.9,0,0,0,0,0,17.9,0,0,1,0,0,4.5
"Aug 5, 12:00 am",0,17.8,0,0,0,0,0,17.8,0,0,1,0,0,3.6
"Aug 5, 01:00 am",0,17.6,0,0,0,0,0,17.6,0,0,1,0,0,3.6
"Aug 5, 02:00 am",0,17.5,0,0,0,0,0,17.5,0,0,1,0,0,3.6
"Aug 5, 03:00 am",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,2.1
"Aug 5, 04:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,2.1
"Aug 5, 05:00 am",74.9165,17.3,91.19,0,99.0015,30,30,16.1566,27.6554,0.0749165,1,2,27.6554,2.1
"Aug 5, 06:00 am",453.316,17.4,78.2246,306,485.311,100,183,20.0137,157.205,0.453317,1,1,137.97,1.7
"Aug 5, 07:00 am",1191.73,17.6,64.6193,608,1242.93,121,394,27.1597,387.252,1.19173,1,1,365.344,1.7
"Aug 5, 08:00 am",1869.24,18.5,50.8274,645,1942.52,180,574,34.6412,600.938,1.86924,1,1,592.009,1.7
"Aug 5, 09:00 am",1856.01,19.4,36.9508,286,1928.81,353,566,36.6568,594.854,1.85601,1,1,593.724,1.5
"Aug 5, 10:00 am",2678.21,20.3,23.1268,682,2783.55,241,815,45.5085,896.783,2.67821,1,1,896.275,1.5
"Aug 5, 11:00 am",2904.28,20.8,9.97575,845,3019.7,144,898,49.4306,992.62,2.90428,1,1,992.563,1.5
"Aug 5, 12:00 pm",2941.5,21.2,7.93143,811,3058.63,180,908,50.0698,1008.81,2.9415,1,1,1008.78,1.6
"Aug 5, 01:00 pm",2374.18,21.7,20.6247,475,2466.73,320,726,45.1139,792.88,2.37418,1,1,792.636,1.6
"Aug 5, 02:00 pm",1648.41,21.9,34.412,211,1714.02,350,512,37.7482,531.121,1.64841,1,1,530.484,1.6
"Aug 5, 03:00 pm",967.203,22.2,48.2985,68,1012.03,260,303,28.9439,300.782,0.967203,1,1,300.015,3.3
"Aug 5, 04:00 pm",1228.37,22.5,62.122,451,1280.66,183,400,30.9084,397.217,1.22837,1,1,383.254,3.3
"Aug 5, 05:00 pm",517.598,22.4,75.7824,269,551.065,116,198,25.9921,177.174,0.517598,1,1,161.085,3.3
"Aug 5, 06:00 pm",106.843,22.2,89.1296,109,131.545,45,58,22.0361,39.2595,0.106843,1,1,37.7477,4.5
"Aug 5, 07:00 pm",0,22.1,96.3211,11,3.39789,1,1,20.8793,0.969846,0,1,3,0.969846,4.5
"Aug 5, 08:00 pm",0,21.7,0,0,0,0,0,21.7,0,0,1,0,0,4.5
"Aug 5, 09:00 pm",0,21.3,0,0,0,0,0,21.3,0,0,1,0,0,6.4
"Aug 5, 10:00 pm",0,20.8,0,0,0,0,0,20.8,0,0,1,0,0,6.4
"Aug 5, 11:00 pm",0,20.4,0,0,0,0,0,20.4,0,0,1,0,0,6.4
"Aug 6, 12:00 am",0,20,0,0,0,0,0,20,0,0,1,0,0,7
"Aug 6, 01:00 am",0,19.6,0,0,0,0,0,19.6,0,0,1,0,0,7
"Aug 6, 02:00 am",0,18.7,0,0,0,0,0,18.7,0,0,1,0,0,7
"Aug 6, 03:00 am",0,17.9,0,0,0,0,0,17.9,0,0,1,0,0,3.6
"Aug 6, 04:00 am",0,17,0,0,0,0,0,17,0,0,1,0,0,3.6
"Aug 6, 05:00 am",63.2985,17.2,91.1623,0,87.1611,26,26,16.1895,24.3515,0.0632985,1,2,24.3515,3.6
"Aug 6, 06:00 am",292.219,17.4,78.293,8,320.687,95,97,18.0125,90.8416,0.292219,1,1,90.3383,2.9
"Aug 6, 07:00 am",301.462,17.6,64.6749,0,330.126,98,98,18.4546,93.1848,0.301462,1,1,93.1848,2.9
"Aug 6, 08:00 am",506.101,18.6,50.8746,0,539.302,161,161,20.9672,153.993,0.506101,1,1,153.993,2.9
"Aug 6, 09:00 am",669.004,19.6,36.9962,12,706.09,201,210,22.2447,202.861,0.669004,1,1,202.813,6
"Aug 6, 10:00 am",2706.31,20.6,23.1853,561,2812.87,315,786,34.8329,858.492,2.70631,1,1,858.07,6
"Aug 6, 11:00 am",3013.62,21.3,10.1131,702,3134.1,249,874,38.3784,973.111,3.01362,1,1,973.062,6
"Aug 6, 12:00 pm",2192.98,22,8.14714,267,2278.33,396,635,32.0478,685.61,2.19298,1,1,685.599,8.1
