Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
4912.5,39.4,18.3,18.0326,29,4.1,220
4913.5,38.9,18.3,18.146,30,3.6,210
4914.5,37.8,18.3,18.2302,32,4.1,180
4915.5,35.6,18.9,18.6334,37,4.1,180
4916.5,32.2,21.1,21.0748,52,5.2,180
4917.5,31.1,21.1,20.9744,55,5.7,180
4918.5,30,21.1,21.0959,59,6.7,160
4919.5,29.4,21.1,21.0777,61,6.2,180
4920.5,29.4,21.1,21.0777,61,6.7,190
4921.5,28.3,21.1,21.077,65,5.2,190
4922.5,27.8,20.6,20.6037,65,5.2,180
4923.5,27.8,20.6,20.6037,65,5.2,200
4924.5,27.2,21.1,21.0057,69,6.2,210
4925.5,26.7,21.1,21.222,72,3.6,190
4926.5,28.3,21.7,21.5723,67,4.6,210
4927.5,30,21.7,21.6409,61,4.6,220
4928.5,32.2,22.2,22.2893,56,5.2,240
4929.5,35,21.7,21.6236,46,5.2,260
4930.5,37.2,20,20.0404,37,5.2,260
4931.5,39.4,19.4,19.0994,31,4.6,270
4932.5,40,17.8,17.4057,27,4.6,290
4933.5,40,17.8,17.4057,27,4.6,330
4934.5,41.1,18.9,18.3337,27,4.1,300
4935.5,41.1,17.8,17.7324,26,6.2,290
4936.5,40.6,17.8,17.3127,26,5.2,280
4937.5,39.4,17.8,17.4748,28,3.1,270
4938.5,35.6,23.9,23.8746,51,7.2,40
4939.5,32.8,23.9,23.9919,60,5.2,50
4940.5,31.7,23.3,23.2361,61,5.2,40
4941.5,30.6,23.3,23.2533,65,5.7,20
4942.5,29.4,23.3,23.3423,70,4.6,20
4943.5,28.9,23.3,23.3314,72,5.2,50
4944.5,27.8,22.8,22.7286,74,5.2,50
4945.5,26.7,22.2,22.323,77,4.6,20
4946.5,26.1,22.2,22.1638,79,3.6,40
4947.5,25.6,22.2,22.2909,82,2.6,60
4948.5,25,21.1,21.0963,79,3.1,80
4949.5,24.4,21.1,21.1208,82,3.6,90
4950.5,25.6,21.1,21.2591,77,4.1,70
4951.5,27.2,21.7,21.7014,72,5.2,90
4952.5,28.3,21.7,21.5723,67,5.2,90
4953.5,28.3,22.8,22.7562,72,4.1,90
4954.5,27.8,22.2,22.2768,72,3.1,70
4955.5,25.6,22.8,22.8838,85,7.2,60
4956.5,25.6,22.2,22.2909,82,7.2,100
4957.5,27.2,22.2,22.1513,74,7.2,140
4958.5,28.3,22.8,22.7562,72,6.2,140
4959.5,28.9,22.8,22.8647,70,5.2,90
4960.5,27.2,22.8,22.8066,77,5.2,40
4961.5,26.1,22.2,22.1638,79,5.2,40
4962.5,25.6,21.7,21.6786,79,4.1,50
4963.5,25,21.7,21.7058,82,4.6,40
4964.5,25,21.7,21.7058,82,5.2,50
4965.5,22.8,20.6,20.5182,87,4.6,10
4966.5,20.6,19.4,19.426,93,6.7,10
4967.5,20,20,20,100,4.1,20
4968.5,19.4,18.9,18.9105,97,3.1,10
4969.5,19.4,19.4,19.4,100,3.1,20
4970.5,18.9,18.9,18.9,100,2.6,340
4971.5,18.9,18.3,18.4124,97,2.6,10
4972.5,18.9,18.3,18.4124,97,3.6,20
4973.5,18.9,18.3,18.4124,97,2.6,360
4974.5,18.9,18.3,18.4124,97,3.6,30
4975.5,19.4,19.4,19.4,100,3.6,20
4976.5,19.4,19.4,19.4,100,3.1,30
4977.5,20.6,20.6,20.6,100,2.6,360
4978.5,21.1,20.6,20.604,97,0,0
4979.5,22.2,21.7,21.6998,97,3.1,360
4980.5,22.2,21.7,21.6998,97,4.1,40
4981.5,22.8,22.2,22.2975,97,4.1,70
4982.5,23.3,21.7,21.5633,90,2.6,60
4983.5,23.3,21.7,21.5633,90,2.1,60
4984.5,23.9,21.7,21.599,87,2.1,90
4985.5,23.9,22.2,22.1554,90,4.1,90
4986.5,23.3,21.7,21.5633,90,3.1,90
4987.5,22.8,21.7,21.6059,93,3.6,40
4988.5,23.3,21.7,21.5633,90,3.1,110
4989.5,22.8,21.7,21.6059,93,3.1,110
4990.5,22.8,21.7,21.6059,93,3.6,150
4991.5,22.8,21.7,21.6059,93,2.6,140
4992.5,22.8,21.1,21.07,90,2.6,160
4993.5,22.2,21.1,21.0114,93,2.1,180
4994.5,21.7,20.6,20.516,93,2.6,150
4995.5,21.7,20.6,20.516,93,2.1,180
4996.5,21.7,20.6,20.516,93,1.5,80
4997.5,21.7,20.6,20.516,93,2.6,130
4998.5,21.7,21.1,21.2017,97,2.1,120
4999.5,22.2,21.1,21.0114,93,2.6,160
5000.5,22.2,21.1,21.0114,93,0,0
5001.5,23.3,22.2,22.2773,94,2.6,90
5002.5,24.4,22.2,22.0902,87,0,0
5003.5,26.7,22.2,22.323,77,2.6,70
5004.5,28.9,22.2,22.1423,67,3.6,80
5005.5,29.4,22.2,22.1179,65,0,0
5006.5,30,21.7,21.6409,61,2.1,160
5007.5,30,21.7,21.6409,61,2.6,160
5008.5,30,21.1,21.0959,59,2.1,120
5009.5,30.6,21.7,21.6566,59,3.1,80
5010.5,28.9,22.8,22.8647,70,3.1,100
5011.5,27.2,23.3,23.2312,79,2.6,70
5012.5,26.7,23.3,23.3633,82,3.1,130
5013.5,26.1,23.3,23.3736,85,4.1,150
5014.5,26.1,22.8,22.7784,82,4.1,160
5015.5,26.1,22.8,22.7784,82,5.2,170
5016.5,25.6,23.3,23.4588,88,2.6,190
5017.5,25,23.3,23.4241,91,3.6,180
5018.5,24.4,23.3,23.3687,94,2.1,130
5019.5,24.4,22.8,22.6487,90,2.6,140
5020.5,23.3,22.8,22.7956,97,3.1,70
5021.5,23.3,22.8,22.7956,97,2.6,180
5022.5,25,23.9,23.964,94,2.1,180
5023.5,27.2,23.9,23.8508,82,2.1,170
5024.5,28.9,24.4,24.4505,77,2.6,190
5025.5,29.4,24.4,24.4925,75,2.1,130
5026.5,31.1,24.4,24.4795,68,2.1,280
5027.5,31.7,23.9,23.7722,63,2.6,230
5028.5,32.8,23.3,23.4276,58,2.1,50
5029.5,32.2,22.8,22.5811,57,4.1,50
5030.5,32.8,22.8,22.846,56,2.1,350
5031.5,33.9,21.7,21.6598,49,3.1,40
5032.5,34.4,21.1,21.081,46,2.1,310
5033.5,33.9,20.6,20.6287,46,2.1,90
5034.5,32.2,22.8,22.5811,57,4.6,140
5035.5,30.6,23.3,23.2533,65,6.2,150
5036.5,27.8,22.8,22.7286,74,7.7,150
5037.5,26.7,22.8,22.746,79,6.2,170
5038.5,26.1,21.7,21.7427,77,5.2,170
5039.5,25,21.7,21.7058,82,3.6,170
5040.5,24.4,21.7,21.7084,85,3.6,170
5041.5,23.3,21.7,21.5633,90,4.6,170
5042.5,22.8,21.7,21.6059,93,3.1,180
5043.5,23.3,21.7,21.5633,90,3.6,170
5044.5,22.8,21.7,21.6059,93,3.1,170
5045.5,22.8,21.7,21.6059,93,3.6,180
5046.5,23.9,22.2,22.1554,90,4.1,180
5047.5,26.1,22.2,22.1638,79,6.2,200
5048.5,28.3,23.3,23.2097,74,4.6,190
5049.5,30,23.3,23.4329,68,5.2,210
5050.5,32.2,22.8,22.5811,57,4.6,210
5051.5,33.3,23.3,23.3099,56,5.2,180
5052.5,33.3,22.8,22.7077,54,6.7,170
5053.5,34.4,22.8,22.7752,51,5.2,170
5054.5,35,22.2,21.9764,47,5.2,210
5055.5,35,22.2,21.9764,47,6.7,190
5056.5,35,21.7,21.6236,46,7.2,180
5057.5,33.9,21.7,21.6598,49,5.2,180
5058.5,33.3,21.7,21.4427,50,6.2,160
5059.5,31.1,23.3,23.207,63,5.2,130
5060.5,28.3,18.3,18.3804,55,9.3,20
5061.5,22.8,18.3,18.3412,76,8.2,30
5062.5,21.7,19.4,19.4373,87,6.2,60
5063.5,21.1,19.4,19.3924,90,5.2,120
5064.5,21.7,19.4,19.4373,87,6.2,180
5065.5,22.2,18.9,18.9752,82,4.6,200
5066.5,22.8,18.9,18.961,79,4.6,110
5067.5,21.7,18.9,18.8734,84,2.1,20
5068.5,21.1,19.4,19.3924,90,2.1,10
5069.5,21.1,19.4,19.3924,90,2.6,70
5070.5,22.2,20,19.9286,87,4.1,60
5071.5,23.3,20.6,20.4386,84,2.6,100
5072.5,25,21.1,21.0963,79,1.5,220
5073.5,27.8,21.1,21.0972,67,2.1,230
5074.5,30,21.1,21.0959,59,2.1,10
5075.5,32.2,21.1,21.0748,52,2.1,120
5076.5,32.8,21.7,21.6263,52,4.6,30
5077.5,33.9,21.1,20.9788,47,5.7,70
5078.5,34.4,20.6,20.3579,44,5.2,30
5079.5,30.6,21.1,21.0928,57,8.2,10
5080.5,27.8,16.7,16.7208,51,6.2,360
5081.5,25,16.1,16.1515,58,8.2,60
5082.5,26.7,16.7,16.6078,54,6.7,20
5083.5,24.4,16.7,16.6377,62,8.2,360
5084.5,23.3,18.3,18.3975,74,6.2,120
5085.5,23.7,18.6,18.1212,71,5.6,100
5086.5,24.1,19,20.8282,82,5,30
5087.5,24.5,19.3,22.7474,90,4.4,260
5088.5,24.9,19.6,16.8516,61,3.9,230
5089.5,25.3,19.9,17.2274,61,3.3,220
5090.5,25.7,20.3,19.1015,67,2.7,360
5091.5,26.1,20.6,20.6465,72,2.1,360
5092.5,25.6,21.1,21.2591,77,0,0
5093.5,25,21.1,21.0963,79,2.6,350
5094.5,23.9,22.8,22.8726,94,3.6,340
5095.5,26.7,23.9,23.9612,85,3.6,10
5096.5,27.8,23.3,23.3868,77,2.6,350
5097.5,28.9,23.3,23.3314,72,6.2,360
5098.5,30,23.9,23.9153,70,5.2,10
5099.5,31.1,23.9,23.9806,66,5.7,350
5100.5,30.6,23.3,23.2533,65,6.2,360
5101.5,30,23.3,23.4329,68,5.7,360
5102.5,29.4,22.8,22.6172,67,6.7,360
5103.5,28.9,22.8,22.8647,70,5.7,360
5104.5,28.3,22.2,22.2915,70,5.2,10
5105.5,27.2,21.7,21.7014,72,5.7,350
5106.5,26.1,21.1,21.0928,74,7.2,30
5107.5,24.4,20,19.8868,76,6.2,20
5108.5,23.9,20,20.0287,79,4.1,40
5109.5,23.9,20,20.0287,79,5.7,20
5110.5,22.8,18.9,18.961,79,4.6,10
5111.5,21.7,18.9,18.8734,84,5.2,360
5112.5,21.1,18.9,18.8477,87,4.1,360
5113.5,21.1,18.3,18.2864,84,3.6,20
5114.5,21.1,17.8,17.7072,81,3.6,30
5115.5,21.7,17.8,17.8931,79,4.1,20
5116.5,21.7,17.8,17.8931,79,3.6,10
5117.5,21.7,18.3,18.2916,81,3.6,20
5118.5,22.2,18.3,18.3785,79,3.1,360
5119.5,22.2,18.9,18.9752,82,2.6,20
5120.5,22.8,18.9,18.961,79,3.1,10
5121.5,23.9,19.4,19.4038,76,4.1,70
