,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Mar 2, 02:00 pm",2353.04,13.4,41.6181,760,2444.74,138,577,31.346,737.922,2.35304,1,1,733.173,3.1
"Mar 2, 03:00 pm",1691.5,13.9,54.381,630,1758.56,135,413,26.4776,526.698,1.6915,1,1,515.239,3.2
"Mar 2, 04:00 pm",790.14,14.3,67.9557,354,830.272,104,199,19.9396,251.304,0.79014,1,1,235.959,3.2
"Mar 2, 05:00 pm",104.257,13.7,80.8075,154,128.909,15,29,13.7274,45.358,0.104257,1,3,35.6195,3.2
"Mar 2, 06:00 pm",0,13.1,0,0,0,0,0,13.1,0,0,1,0,0,4.8
"Mar 2, 07:00 pm",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,4.8
"Mar 2, 08:00 pm",0,11.9,0,0,0,0,0,11.9,0,0,1,0,0,4.8
"Mar 2, 09:00 pm",0,11.3,0,0,0,0,0,11.3,0,0,1,0,0,2.2
"Mar 2, 10:00 pm",0,10.7,0,0,0,0,0,10.7,0,0,1,0,0,2.2
"Mar 2, 11:00 pm",0,10.1,0,0,0,0,0,10.1,0,0,1,0,0,2.2
"Mar 3, 12:00 am",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,1.9
"Mar 3, 01:00 am",0,9,0,0,0,0,0,9,0,0,1,0,0,1.9
"Mar 3, 02:00 am",0,8.6,0,0,0,0,0,8.6,0,0,1,0,0,1.9
"Mar 3, 03:00 am",0,8.1,0,0,0,0,0,8.1,0,0,1,0,0,1.2
"Mar 3, 04:00 am",0,7.7,0,0,0,0,0,7.7,0,0,1,0,0,1.2
"Mar 3, 05:00 am",0,7.2,0,0,0,0,0,7.2,0,0,1,0,0,1.2
"Mar 3, 06:00 am",14.4841,6.7,83.6907,95,37.4259,4,9,5.19862,15.4511,0.0144841,1,2,9.96206,2.3
"Mar 3, 07:00 am",621.018,6.2,73.5637,397,656.934,77,154,9.60752,200.367,0.621018,1,1,178.243,2.3
"Mar 3, 08:00 am",1475.32,8.3,59.7763,643,1535.23,107,349,18.9266,451.388,1.47532,1,1,434.284,2.3
"Mar 3, 09:00 am",2166.83,10.5,46.5558,771,2251.17,123,532,30.9828,681.44,2.16683,1,1,673.937,1.2
"Mar 3, 10:00 am",2634.26,12.6,34.6273,841,2737.69,132,673,38.7306,854.094,2.63426,1,1,851.491,1.2
"Mar 3, 11:00 am",2822.79,14.2,25.8747,835,2934.52,149,739,43.0481,933.857,2.82279,1,1,932.948,1.2
"Mar 3, 12:00 pm",2945.67,15.8,24.0701,837,3062.99,150,751,37.6581,948.275,2.94567,1,1,947.562,3.5
"Mar 3, 01:00 pm",2767.63,17.4,30.475,836,2876.9,141,706,38.0424,893.323,2.76763,1,1,891.705,3.5
"Mar 3, 02:00 pm",2388.07,18,41.4393,809,2481.18,128,599,35.7195,765.181,2.38807,1,1,760.209,3.5
"Mar 3, 03:00 pm",1736.85,18.6,54.2568,716,1805.47,113,431,31.6773,555.232,1.73685,1,1,542.328,3.3
"Mar 3, 04:00 pm",892.113,19.2,67.8654,511,934.914,89,228,25.8624,295.171,0.892113,1,1,273.124,3.3
"Mar 3, 05:00 pm",116.035,18.3,80.8522,227,140.916,13,34,18.7132,54.1716,0.116035,1,3,39.8234,3.3
"Mar 3, 06:00 pm",0,17.5,0,0,0,0,0,17.5,0,0,1,0,0,3.4
"Mar 3, 07:00 pm",0,16.6,0,0,0,0,0,16.6,0,0,1,0,0,3.4
"Mar 3, 08:00 pm",0,16,0,0,0,0,0,16,0,0,1,0,0,3.4
"Mar 3, 09:00 pm",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,2.9
"Mar 3, 10:00 pm",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,2.9
"Mar 3, 11:00 pm",0,14.1,0,0,0,0,0,14.1,0,0,1,0,0,2.9
"Mar 4, 12:00 am",0,13.4,0,0,0,0,0,13.4,0,0,1,0,0,3
"Mar 4, 01:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,3
"Mar 4, 02:00 am",0,12.2,0,0,0,0,0,12.2,0,0,1,0,0,3
"Mar 4, 03:00 am",0,11.7,0,0,0,0,0,11.7,0,0,1,0,0,0.9
"Mar 4, 04:00 am",0,11.1,0,0,0,0,0,11.1,0,0,1,0,0,0.9
"Mar 4, 05:00 am",0,10.5,0,0,0,0,0,10.5,0,0,1,0,0,0.9
"Mar 4, 06:00 am",18.9406,9.9,83.6934,78,41.9655,6,10,8.62366,15.8435,0.0189406,1,2,11.3374,3.1
"Mar 4, 07:00 am",586.311,9.4,73.3831,310,621.394,88,150,12.2273,187.72,0.586311,1,1,170.558,3.1
"Mar 4, 08:00 am",1340.16,11.3,59.57,520,1395.83,128,327,19.9346,410.321,1.34016,1,1,396.677,3.1
"Mar 4, 09:00 am",1926.27,13.2,46.3111,538,2001.6,187,475,24.8438,587.072,1.92627,1,1,581.945,4.4
"Mar 4, 10:00 am",2568.23,15.2,34.3237,686,2668.83,199,643,31.6703,803.692,2.56823,1,1,801.638,4.4
"Mar 4, 11:00 am",2741.87,17.1,25.5006,682,2849.99,214,699,35.3851,872.472,2.74187,1,1,871.766,4.4
"Mar 4, 12:00 pm",2568.15,19,23.7021,590,2668.76,246,672,38.2071,828.351,2.56815,1,1,827.874,3.4
"Mar 4, 01:00 pm",2485.5,20.9,30.2112,640,2582.62,214,649,39.5063,807.605,2.4855,1,1,806.404,3.4
"Mar 4, 02:00 pm",2028.42,21.6,41.2637,510,2107.51,235,534,36.7361,652.067,2.02842,1,1,648.984,3.4
"Mar 4, 03:00 pm",1144.87,22.4,54.1353,245,1194.7,208,318,32.5087,364.693,1.14487,1,1,360.318,2
"Mar 4, 04:00 pm",802.808,23.1,67.7773,279,843.267,144,221,29.631,262.793,0.802808,1,1,250.811,2
"Mar 4, 05:00 pm",106.785,22.4,80.8984,126,131.486,21,33,22.7755,45.8206,0.106785,1,3,37.8605,2
"Mar 4, 06:00 pm",0,21.8,0,0,0,0,0,21.8,0,0,1,0,0,2.7
"Mar 4, 07:00 pm",0,21.1,0,0,0,0,0,21.1,0,0,1,0,0,2.7
"Mar 4, 08:00 pm",0,20.6,0,0,0,0,0,20.6,0,0,1,0,0,2.7
"Mar 4, 09:00 pm",0,20.1,0,0,0,0,0,20.1,0,0,1,0,0,4.4
"Mar 4, 10:00 pm",0,19.6,0,0,0,0,0,19.6,0,0,1,0,0,4.4
"Mar 4, 11:00 pm",0,18.7,0,0,0,0,0,18.7,0,0,1,0,0,4.4
"Mar 5, 12:00 am",0,17.8,0,0,0,0,0,17.8,0,0,1,0,0,5.7
"Mar 5, 01:00 am",0,16.8,0,0,0,0,0,16.8,0,0,1,0,0,5.7
"Mar 5, 02:00 am",0,16.6,0,0,0,0,0,16.6,0,0,1,0,0,5.7
"Mar 5, 03:00 am",0,16.4,0,0,0,0,0,16.4,0,0,1,0,0,3.3
"Mar 5, 04:00 am",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,3.3
"Mar 5, 05:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,3.3
"Mar 5, 06:00 am",21.4833,15.5,83.6951,75,44.5557,7,11,14.4141,16.6816,0.0214833,1,2,12.3492,3.9
