,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 15, 11:00 am",1979.37,29.5,13.6226,240,2056.65,417,636,47.2148,668.186,1.97937,1,1,668.15,1.9
"Aug 15, 12:00 pm",2373.98,30.5,0.939703,467,2466.53,331,768,52.6136,824.674,2.37398,1,1,824.674,1.8
"Aug 15, 01:00 pm",1567.25,31.6,15.4685,133,1630.15,392,513,46.7487,528.329,1.56725,1,1,528.301,1.8
"Aug 15, 02:00 pm",2343.35,32.2,29.9997,591,2434.65,289,776,53.7476,820.115,2.34335,1,1,819.034,1.8
"Aug 15, 03:00 pm",697.052,32.8,44.4985,30,734.831,213,234,39.1799,229.312,0.697052,1,1,229.068,2.7
"Aug 15, 04:00 pm",216.435,33.4,58.9399,0,243.327,78,78,34.5923,74.1392,0.216435,1,1,74.1392,2.7
"Aug 15, 05:00 pm",292.505,32.7,73.2859,0,320.979,103,103,34.0319,97.5303,0.292505,1,1,97.5303,2.7
"Aug 15, 06:00 pm",64.5307,32,87.4435,0,88.4169,28,28,31.6593,26.5564,0.0645307,1,1,26.5564,3.4
"Aug 15, 07:00 pm",0,31.3,94.7572,0,0,0,0,31.3,0,0,1,3,0,3.4
"Aug 15, 08:00 pm",0,30.2,0,0,0,0,0,30.2,0,0,1,0,0,3.4
"Aug 15, 09:00 pm",0,29.1,0,0,0,0,0,29.1,0,0,1,0,0,3.2
"Aug 15, 10:00 pm",0,28,0,0,0,0,0,28,0,0,1,0,0,3.2
"Aug 15, 11:00 pm",0,27.4,0,0,0,0,0,27.4,0,0,1,0,0,3.2
"Aug 16, 12:00 am",0,26.8,0,0,0,0,0,26.8,0,0,1,0,0,1.1
"Aug 16, 01:00 am",0,26.2,0,0,0,0,0,26.2,0,0,1,0,0,1.1
"Aug 16, 02:00 am",0,25.8,0,0,0,0,0,25.8,0,0,1,0,0,1.1
"Aug 16, 03:00 am",0,25.5,0,0,0,0,0,25.5,0,0,1,0,0,0.2
"Aug 16, 04:00 am",0,25.2,0,0,0,0,0,25.2,0,0,1,0,0,0.2
"Aug 16, 05:00 am",0,25.3,93.8759,0,0,0,0,25.3,0,0,1,2,0,0.2
"Aug 16, 06:00 am",19.478,25.3,85.6564,0,42.5129,13,13,23.8337,12.3019,0.019478,1,1,12.3019,1.5
"Aug 16, 07:00 am",207.739,25.3,71.4588,0,234.452,72,72,25.5292,68.3848,0.207739,1,1,68.3848,1.5
"Aug 16, 08:00 am",403.605,26.5,57.0928,0,434.486,135,135,28.7433,128.679,0.403605,1,1,128.679,1.5
"Aug 16, 09:00 am",313.689,27.7,42.6367,0,342.613,107,107,29.7337,101.953,0.313689,1,1,101.953,0.9
"Aug 16, 10:00 am",1414.46,28.8,28.1256,103,1472.45,370,456,42.0518,465.889,1.41446,1,1,465.739,0.9
"Aug 16, 11:00 am",920.37,29.7,13.5837,14,963.927,297,310,39.6301,301.169,0.92037,1,1,301.167,0.9
"Aug 16, 12:00 pm",1354.91,30.6,0.981044,60,1411.03,388,444,42.8804,448.211,1.35491,1,1,448.211,1.4
"Aug 16, 01:00 pm",656.679,31.5,15.5267,5,693.462,218,223,37.8495,214.735,0.656679,1,1,214.734,1.4
"Aug 16, 02:00 pm",668.246,32,30.0685,2,705.313,225,227,37.5817,218.115,0.668246,1,1,218.111,1.4
"Aug 16, 03:00 pm",593.077,32.4,44.5783,2,628.321,200,201,36.3441,193.125,0.593077,1,1,193.108,2.8
"Aug 16, 04:00 pm",536.856,32.8,59.0316,9,570.771,179,184,36.2767,175.59,0.536856,1,1,175.362,2.8
"Aug 16, 05:00 pm",138.231,32.2,73.391,0,163.55,52,52,32.6028,49.3487,0.138232,1,1,49.3487,2.8
"Aug 16, 06:00 pm",36.7346,31.7,87.5621,0,60.0935,19,19,31.0685,17.9977,0.0367346,1,1,17.9977,3.8
"Aug 16, 07:00 pm",0,31.1,94.7423,0,0,0,0,31.1,0,0,1,3,0,3.8
"Aug 16, 08:00 pm",0,30,0,0,0,0,0,30,0,0,1,0,0,3.8
"Aug 16, 09:00 pm",0,28.9,0,0,0,0,0,28.9,0,0,1,0,0,3.1
"Aug 16, 10:00 pm",0,27.9,0,0,0,0,0,27.9,0,0,1,0,0,3.1
"Aug 16, 11:00 pm",0,26.9,0,0,0,0,0,26.9,0,0,1,0,0,3.1
"Aug 17, 12:00 am",0,26,0,0,0,0,0,26,0,0,1,0,0,1.9
"Aug 17, 01:00 am",0,25,0,0,0,0,0,25,0,0,1,0,0,1.9
"Aug 17, 02:00 am",0,24.4,0,0,0,0,0,24.4,0,0,1,0,0,1.9
"Aug 17, 03:00 am",0,23.7,0,0,0,0,0,23.7,0,0,1,0,0,0.5
"Aug 17, 04:00 am",0,23.1,0,0,0,0,0,23.1,0,0,1,0,0,0.5
"Aug 17, 05:00 am",0,23.1,93.8222,4,3.40268,1,1,20.5735,0.969846,0,1,2,0.969846,0.5
"Aug 17, 06:00 am",156.09,23.1,85.6801,35,181.762,56,61,22.7718,54.0275,0.15609,1,1,52.3363,1.4
"Aug 17, 07:00 am",684.774,23.1,71.4669,319,722.248,131,243,28.2064,229.71,0.684774,1,1,213.356,1.4
"Aug 17, 08:00 am",1386.92,25.7,57.0874,524,1444.04,168,453,38.0359,459.165,1.38692,1,1,447.571,1.4
"Aug 17, 09:00 am",2005.12,28.3,42.6196,676,2083.34,170,649,47.8405,683.689,2.00512,1,1,679.052,1.3
"Aug 17, 10:00 am",2404.54,30.9,28.0986,755,2498.33,165,794,55.4878,849.573,2.40454,1,1,848.478,1.3
"Aug 17, 11:00 am",2625,32,13.5499,762,2728.03,186,879,59.5933,947.952,2.625,1,1,947.839,1.3
"Aug 17, 12:00 pm",2690.82,33.2,1.11845,807,2796.7,163,916,63.1316,991.386,2.69082,1,1,991.386,1.1
"Aug 17, 01:00 pm",2523.83,34.3,15.5936,720,2622.56,208,858,62.6661,927.343,2.52383,1,1,927.184,1.1
"Aug 17, 02:00 pm",2287.31,34.5,30.1427,736,2376.37,172,774,60.1056,829.407,2.28731,1,1,828.037,1.1
"Aug 17, 03:00 pm",1942.62,34.7,44.6623,675,2018.55,172,636,49.0063,667.566,1.94262,1,1,661.997,4.2
"Aug 17, 04:00 pm",1129.59,34.9,59.127,321,1178.98,218,384,43.143,383.182,1.12959,1,1,375.007,4.2
"Aug 17, 05:00 pm",599.992,34.1,73.4994,391,635.402,109,235,38.4163,219.054,0.599992,1,1,197.315,4.2
"Aug 17, 06:00 pm",100.467,33.2,87.6836,110,125.046,42,55,33.4818,41.3891,0.100467,1,1,37.8931,3.8
"Aug 17, 07:00 pm",0,32.4,94.7266,4,0,0,0,32.4,0,0,1,3,0,3.8
"Aug 17, 08:00 pm",0,30.5,0,0,0,0,0,30.5,0,0,1,0,0,3.8
"Aug 17, 09:00 pm",0,28.6,0,0,0,0,0,28.6,0,0,1,0,0,4.2
"Aug 17, 10:00 pm",0,26.7,0,0,0,0,0,26.7,0,0,1,0,0,4.2
"Aug 17, 11:00 pm",0,25.8,0,0,0,0,0,25.8,0,0,1,0,0,4.2
"Aug 18, 12:00 am",0,24.9,0,0,0,0,0,24.9,0,0,1,0,0,1.6
"Aug 18, 01:00 am",0,24.1,0,0,0,0,0,24.1,0,0,1,0,0,1.6
