,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jul 31, 09:00 am",2222.59,26.5,40.8318,791,2309.09,122,696,42.2303,735.63,2.22259,1,1,731.041,3.8
"Jul 31, 10:00 am",2576.28,27.7,26.8476,695,2677.23,223,803,46.5576,867.632,2.57628,1,1,866.773,3.8
"Jul 31, 11:00 am",2306.41,28.9,12.9206,371,2396.23,389,723,45.5657,771.84,2.30641,1,1,771.792,4.1
"Jul 31, 12:00 pm",2883.93,30.1,3.22249,740,2998.43,225,905,51.0687,994.221,2.88393,1,1,994.217,4.1
"Jul 31, 01:00 pm",2773.06,30.6,15.8861,836,2882.56,138,882,51.2014,956.674,2.77306,1,1,956.479,4.1
"Jul 31, 02:00 pm",2483.27,31.1,29.8518,826,2580.3,124,797,50.3654,853.849,2.48327,1,1,852.364,3.6
"Jul 31, 03:00 pm",2030.66,31.6,43.8323,747,2109.84,138,659,47.2411,691.247,2.03066,1,1,685.524,3.6
"Jul 31, 04:00 pm",1414.01,31.3,57.7285,635,1471.97,133,480,42.127,480.463,1.41401,1,1,465.769,3.6
"Jul 31, 05:00 pm",756.723,31,71.4672,495,796.001,113,297,35.4894,268.986,0.756723,1,1,243.61,5.9
"Jul 31, 06:00 pm",206.124,30.6,84.9403,208,232.804,70,109,31.4658,80.7832,0.206124,1,1,69.8582,5.9
"Jul 31, 07:00 pm",0,29.9,94.683,0,3.18336,1,1,29.0798,0.944318,0,1,3,0.944318,5.9
"Jul 31, 08:00 pm",0,29.1,0,0,0,0,0,29.1,0,0,1,0,0,3.8
"Jul 31, 09:00 pm",0,28.4,0,0,0,0,0,28.4,0,0,1,0,0,3.8
"Jul 31, 10:00 pm",0,27.6,0,0,0,0,0,27.6,0,0,1,0,0,3.8
"Jul 31, 11:00 pm",0,26.8,0,0,0,0,0,26.8,0,0,1,0,0,3.7
"Aug 1, 12:00 am",0,26,0,0,0,0,0,26,0,0,1,0,0,3.7
"Aug 1, 01:00 am",0,25.4,0,0,0,0,0,25.4,0,0,1,0,0,3.7
"Aug 1, 02:00 am",0,24.8,0,0,0,0,0,24.8,0,0,1,0,0,3.1
"Aug 1, 03:00 am",0,24.2,0,0,0,0,0,24.2,0,0,1,0,0,3.1
"Aug 1, 04:00 am",0,23.7,0,0,0,0,0,23.7,0,0,1,0,0,3.1
"Aug 1, 05:00 am",0,23.1,93.2659,117,18.9451,8,16,21.6397,5.42644,0,1,2,5.42644,2.6
"Aug 1, 06:00 am",288.158,22.6,82.1171,315,316.541,74,145,23.7996,111.025,0.288158,1,1,91.582,2.6
"Aug 1, 07:00 am",912.113,24.3,68.5718,516,955.449,120,331,30.7255,308.765,0.912113,1,1,285.679,2.6
"Aug 1, 08:00 am",1420.84,26,54.7902,418,1479.03,224,466,40.0207,470.853,1.42084,1,1,463.016,1
"Aug 1, 09:00 am",1142.77,27.8,40.8688,78,1192.54,318,374,39.6214,373.03,1.14277,1,1,372.576,1
"Aug 1, 10:00 am",2321.08,28.7,26.8824,569,2411.49,276,750,52.4216,806.145,2.32108,1,1,805.438,1
"Aug 1, 11:00 am",2759.97,29.7,12.9743,815,2868.9,158,891,55.5498,974.771,2.75997,1,1,974.663,1.9
"Aug 1, 12:00 pm",2782.23,30.7,3.45264,831,2892.14,148,911,57.3869,992.571,2.78223,1,1,992.566,1.9
"Aug 1, 01:00 pm",2640.2,31.1,15.9581,692,2743.89,243,858,56.4961,937.222,2.6402,1,1,937.058,1.9
"Aug 1, 02:00 pm",1980.6,31.5,29.9133,362,2057.92,344,638,48.0428,672.138,1.9806,1,1,671.482,2.9
