,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 2, 10:00 am",2038.17,-9.3,50.6111,715,81,2117.62,331,3.50166,569.317,2.03817,1,1,559.588,3.6
"Jan 2, 11:00 am",1883.29,-7.4,47.6314,516,137,1957.07,333,4.65652,525.225,1.88329,1,1,519.723,3.6
"Jan 2, 12:00 pm",2202.94,-5.5,48.9758,747,100,2288.68,374,9.08717,628.469,2.20294,1,1,619.564,3.4
"Jan 2, 01:00 pm",1895.33,-3.6,54.3215,779,66,1969.54,307,9.30258,547.778,1.89533,1,1,533.671,3.4
"Jan 2, 02:00 pm",1308.53,-3.3,62.6388,663,54,1363.22,196,5.53842,384.595,1.30853,1,1,363.395,3.4
"Jan 2, 03:00 pm",501.719,-3,72.8485,377,30,534.819,62,-0.333494,159.505,0.501719,1,1,139.051,4.1
"Jan 2, 04:00 pm",0,-2.6,78.4264,17,0,9.13193,0,-3.88526,3.41066,0,1,3,2.33937,4.1
"Jan 2, 05:00 pm",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,4.1
"Jan 2, 06:00 pm",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,3
"Jan 2, 07:00 pm",0,-3.4,0,0,0,0,0,-3.4,0,0,1,0,0,3
"Jan 2, 08:00 pm",0,-3.6,0,0,0,0,0,-3.6,0,0,1,0,0,3
"Jan 2, 09:00 pm",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,3
"Jan 2, 10:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,3
"Jan 2, 11:00 pm",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,3
"Jan 3, 12:00 am",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,2.4
"Jan 3, 01:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,2.4
"Jan 3, 02:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,2.4
"Jan 3, 03:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,4.2
"Jan 3, 04:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,4.2
"Jan 3, 05:00 am",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,4.2
"Jan 3, 06:00 am",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,5.4
"Jan 3, 07:00 am",166.932,-5.8,75.2186,198,6,192.82,16,-6.08476,60.6052,0.166932,1,2,48.9503,5.4
"Jan 3, 08:00 am",1012.96,-5.7,66.4209,557,50,1059.05,143,-1.45346,296.299,1.01296,1,1,274.061,5.4
"Jan 3, 09:00 am",1752.5,-5.6,57.2255,746,63,1821.66,270,0.816807,492.592,1.7525,1,1,475.925,8
"Jan 3, 10:00 am",2213.2,-5.5,50.5636,817,69,2299.34,356,2.92929,617.201,2.2132,1,1,606.126,8
"Jan 3, 11:00 am",2401.62,-5.1,47.5456,841,72,2495.29,393,4.22669,670.337,2.40162,1,1,661.435,8
"Jan 3, 12:00 pm",2298.65,-4.6,48.8588,830,71,2388.16,377,5.81027,647.159,2.29865,1,1,637.359,6.5
"Jan 3, 01:00 pm",1944.91,-4.2,54.1868,781,66,2020.91,310,4.55969,550.457,1.94491,1,1,536.455,6.5
"Jan 3, 02:00 pm",1348.03,-4.4,62.4979,667,55,1403.94,199,1.53127,389.042,1.34803,1,1,367.9,6.5
"Jan 3, 03:00 pm",520.345,-4.6,72.7103,384,30,553.876,64,-2.96384,163.154,0.520345,1,1,142.432,8.1
"Jan 3, 04:00 pm",0,-4.9,78.389,20,0,10.8803,0,-5.7842,4.02531,0,1,3,2.76552,8.1
"Jan 3, 05:00 pm",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,8.1
"Jan 3, 06:00 pm",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,5.7
"Jan 3, 07:00 pm",0,-6.9,0,0,0,0,0,-6.9,0,0,1,0,0,5.7
"Jan 3, 08:00 pm",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,5.7
"Jan 3, 09:00 pm",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,8.7
"Jan 3, 10:00 pm",0,-8.7,0,0,0,0,0,-8.7,0,0,1,0,0,8.7
"Jan 3, 11:00 pm",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,8.7
"Jan 4, 12:00 am",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,5.6
"Jan 4, 01:00 am",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,5.6
"Jan 4, 02:00 am",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,5.6
"Jan 4, 03:00 am",0,-8.7,0,0,0,0,0,-8.7,0,0,1,0,0,6.5
"Jan 4, 04:00 am",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,6.5
"Jan 4, 05:00 am",0,-9,0,0,0,0,0,-9,0,0,1,0,0,6.5
"Jan 4, 06:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,6.9
"Jan 4, 07:00 am",170.21,-9.8,75.2536,199,6,196.165,16,-10.0265,60.733,0.17021,1,2,49.0072,6.9
"Jan 4, 08:00 am",1032.35,-9.1,66.4318,559,50,1078.98,144,-5.44869,296.962,1.03235,1,1,274.63,6.9
"Jan 4, 09:00 am",1767.17,-8.4,57.2073,747,63,1836.84,271,-0.797696,493.312,1.76717,1,1,476.644,6.2
"Jan 4, 10:00 am",2223.56,-7.7,50.5089,818,69,2310.11,357,2.31467,618.416,2.22356,1,1,607.376,6.2
"Jan 4, 11:00 am",2401,-6.6,47.4523,842,71,2494.64,394,4.48169,670.829,2.401,1,1,661.986,6.2
"Jan 4, 12:00 pm",2313.86,-5.4,48.735,832,71,2403.98,379,5.27389,649.825,2.31386,1,1,640.101,6.3
"Jan 4, 01:00 pm",1956.12,-4.3,54.0464,784,66,2032.54,312,4.70743,553.792,1.95612,1,1,539.883,6.3
"Jan 4, 02:00 pm",1360.4,-4.1,62.3525,670,56,1416.69,202,2.0358,393.082,1.3604,1,1,372.037,6.3
"Jan 4, 03:00 pm",528.138,-4,72.5686,391,30,561.85,66,-1.66302,166.249,0.528138,1,1,145.268,5.3
"Jan 4, 04:00 pm",0,-3.8,78.3518,24,1,16.8717,1,-4.87809,5.8155,0,1,3,4.30442,5.3
"Jan 4, 05:00 pm",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,5.3
"Jan 4, 06:00 pm",0,-4.7,0,0,0,0,0,-4.7,0,0,1,0,0,1.5
"Jan 4, 07:00 pm",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,1.5
"Jan 4, 08:00 pm",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,1.5
"Jan 4, 09:00 pm",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,3.1
"Jan 4, 10:00 pm",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,3.1
"Jan 4, 11:00 pm",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,3.1
"Jan 5, 12:00 am",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,2.5
"Jan 5, 01:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,2.5
"Jan 5, 02:00 am",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,2.5
"Jan 5, 03:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,3
"Jan 5, 04:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,3
"Jan 5, 05:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,3
"Jan 5, 06:00 am",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,3.3
"Jan 5, 07:00 am",67.1214,-4.4,75.2876,45,9,91.057,11,-5.67956,25.8088,0.0671214,1,2,23.1546,3.3
"Jan 5, 08:00 am",538.817,-3.6,66.4369,125,83,572.779,104,-1.67662,153.08,0.538817,1,1,148.085,3.3
"Jan 5, 09:00 am",144.448,-2.8,57.1824,0,46,169.89,46,-3.22074,43.6415,0.144448,1,1,43.6415,3.5
"Jan 5, 10:00 am",649.601,-2,50.4471,40,142,686.211,156,0.571361,179.63,0.649601,1,1,179.093,3.5
"Jan 5, 11:00 am",384.946,-1.1,47.3518,0,110,415.415,110,0.109844,108.208,0.384946,1,1,108.208,3.5
"Jan 5, 12:00 pm",494.952,-0.1,48.6044,6,133,527.896,135,1.20686,138.214,0.494952,1,1,138.145,5.7
"Jan 5, 01:00 pm",1779.19,0.9,53.9004,581,131,1849.28,315,9.0444,510.715,1.77919,1,1,500.52,5.7
"Jan 5, 02:00 pm",1338.96,0.6,62.2027,674,55,1394.59,204,7.16844,395.358,1.33896,1,1,374.385,5.7
"Jan 5, 03:00 pm",533.42,0.3,72.4234,399,31,567.255,68,2.60677,170.615,0.53342,1,1,149.328,5.7
"Jan 5, 04:00 pm",0,0,78.3146,28,1,18.8178,1,-1.00739,6.64088,0,1,3,4.87876,5.7
"Jan 5, 05:00 pm",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,5.7
"Jan 5, 06:00 pm",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,3.6
"Jan 5, 07:00 pm",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,3.6
"Jan 5, 08:00 pm",0,-1.3,0,0,0,0,0,-1.3,0,0,1,0,0,3.6
"Jan 5, 09:00 pm",0,-1.4,0,0,0,0,0,-1.4,0,0,1,0,0,5.7
"Jan 5, 10:00 pm",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,5.7
"Jan 5, 11:00 pm",0,-1.9,0,0,0,0,0,-1.9,0,0,1,0,0,5.7
"Jan 6, 12:00 am",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,5
"Jan 6, 01:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,5
"Jan 6, 02:00 am",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,5
"Jan 6, 03:00 am",0,-3,0,0,0,0,0,-3,0,0,1,0,0,6.8
"Jan 6, 04:00 am",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,6.8
"Jan 6, 05:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,6.8
"Jan 6, 06:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,4.9
"Jan 6, 07:00 am",160.553,-4.6,75.3206,201,5,186.315,16,-4.92703,59.3913,0.160553,1,2,47.5244,4.9
"Jan 6, 08:00 am",1016.89,-4.4,66.4361,563,51,1063.09,146,0.163738,299.473,1.01689,1,1,276.977,4.9
"Jan 6, 09:00 am",1742.48,-4.3,57.151,750,63,1811.3,273,3.6029,495.516,1.74248,1,1,478.847,5.9
"Jan 6, 10:00 am",2196.73,-4.2,50.3782,820,69,2282.23,360,6.20538,621.081,2.19673,1,1,610.129,5.9
"Jan 6, 11:00 am",2386.12,-3.7,47.244,845,72,2479.15,399,7.8585,676.258,2.38612,1,1,667.538,5.9
"Jan 6, 12:00 pm",2307.56,-3.3,48.4671,836,71,2397.43,384,7.96222,655.382,2.30756,1,1,645.825,5.9
"Jan 6, 01:00 pm",1960.47,-2.8,53.7488,788,66,2037.05,318,6.72742,559.483,1.96047,1,1,545.812,5.9
"Jan 6, 02:00 pm",1374.09,-2.7,62.0485,677,56,1430.81,207,3.84626,399.516,1.37409,1,1,378.653,5.9
"Jan 6, 03:00 pm",553.88,-2.6,72.275,406,32,588.195,71,0.104292,174.741,0.55388,1,1,153.21,4.8
"Jan 6, 04:00 pm",0,-2.5,78.2776,32,1,21.2802,1,-3.58111,7.47128,0,1,3,5.45834,4.8
"Jan 6, 05:00 pm",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,4.8
"Jan 6, 06:00 pm",0,-3,0,0,0,0,0,-3,0,0,1,0,0,1.6
"Jan 6, 07:00 pm",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,1.6
"Jan 6, 08:00 pm",0,-3.6,0,0,0,0,0,-3.6,0,0,1,0,0,1.6
"Jan 6, 09:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,3.5
"Jan 6, 10:00 pm",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,3.5
"Jan 6, 11:00 pm",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,3.5
"Jan 7, 12:00 am",0,-4.7,0,0,0,0,0,-4.7,0,0,1,0,0,3.4
"Jan 7, 01:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,3.4
"Jan 7, 02:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,3.4
"Jan 7, 03:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,3
"Jan 7, 04:00 am",0,-5.9,0,0,0,0,0,-5.9,0,0,1,0,0,3
"Jan 7, 05:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,3
"Jan 7, 06:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,2.6
"Jan 7, 07:00 am",82.741,-6.4,75.3525,71,7,106.976,11,-7.6662,31.1782,0.082741,1,2,26.9825,2.6
"Jan 7, 08:00 am",547.202,-6.3,66.4294,197,61,581.36,95,-4.11307,156.659,0.547202,1,1,148.79,2.6
"Jan 7, 09:00 am",146.864,-6.3,57.113,0,46,172.353,46,-6.71647,43.6412,0.146864,1,1,43.6412,3.6
"Jan 7, 10:00 am",194.669,-6.2,50.3021,0,59,221.117,59,-6.61112,56.0129,0.194669,1,1,56.0129,3.6
"Jan 7, 11:00 am",227.494,-6.1,47.129,0,68,254.612,68,-6.27382,64.5868,0.227494,1,1,64.5868,3.6
"Jan 7, 12:00 pm",220.09,-6.1,48.3233,0,66,247.056,66,-6.23221,62.6809,0.22009,1,1,62.6809,6.7
"Jan 7, 01:00 pm",172.349,-6,53.5917,0,53,198.347,53,-6.33837,50.3009,0.172349,1,1,50.3009,6.7
"Jan 7, 02:00 pm",106.266,-5.9,61.8901,0,35,130.957,35,-6.5345,33.1842,0.106266,1,1,33.1842,6.7
"Jan 7, 03:00 pm",192.782,-5.8,72.1235,54,34,219.192,39,-6.0874,58.4904,0.192782,1,1,55.6444,5.2
"Jan 7, 04:00 pm",0,-5.7,78.2407,5,1,6.6217,1,-7.03745,1.98885,0,1,3,1.67447,5.2
"Jan 7, 05:00 pm",0,-5.7,0,0,0,0,0,-5.7,0,0,1,0,0,5.2
"Jan 7, 06:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,5.5
"Jan 7, 07:00 pm",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,5.5
"Jan 7, 08:00 pm",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,5.5
"Jan 7, 09:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,10.3
"Jan 7, 10:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,10.3
"Jan 7, 11:00 pm",0,-6,0,0,0,0,0,-6,0,0,1,0,0,10.3
"Jan 8, 12:00 am",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,4.5
"Jan 8, 01:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,4.5
"Jan 8, 02:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,4.5
"Jan 8, 03:00 am",0,-7.7,0,0,0,0,0,-7.7,0,0,1,0,0,4.5
"Jan 8, 04:00 am",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,4.5
"Jan 8, 05:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,4.5
"Jan 8, 06:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,5.4
"Jan 8, 07:00 am",163.48,-6.5,75.3833,196,6,189.3,16,-6.80812,59.5073,0.16348,1,2,47.9144,5.4
"Jan 8, 08:00 am",991.158,-4.8,66.4168,541,51,1036.64,144,-0.658236,290.751,0.991158,1,1,269.156,5.4
"Jan 8, 09:00 am",1662.23,-3.1,57.0685,632,97,1728.3,276,4.13927,471.92,1.66223,1,1,457.955,6.2
"Jan 8, 10:00 am",1248.64,-1.4,50.219,255,152,1301.53,243,3.92787,347.923,1.24864,1,1,344.56,6.2
"Jan 8, 11:00 am",1846.7,-0.7,47.0068,506,136,1919.17,334,7.47026,521.005,1.8467,1,1,515.887,6.2
"Jan 8, 12:00 pm",1476.55,0.1,48.1728,334,157,1536.5,284,5.53051,413.298,1.47655,1,1,409.572,8.1
"Jan 8, 01:00 pm",717.424,0.9,53.4292,76,141,755.711,166,3.12476,200.665,0.717424,1,1,199.378,8.1
"Jan 8, 02:00 pm",282.401,0.3,61.7276,0,80,310.662,80,0.584013,81.0835,0.282401,1,1,81.0835,8.1
"Jan 8, 03:00 pm",487.352,-0.2,71.9689,231,54,520.122,77,1.19036,148.198,0.487352,1,1,136.101,6.1
"Jan 8, 04:00 pm",0,-0.7,78.204,22,1,15.8022,1,-1.72443,5.46725,0,1,3,4.08466,6.1
"Jan 8, 05:00 pm",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,6.1
"Jan 8, 06:00 pm",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,5.1
"Jan 8, 07:00 pm",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,5.1
"Jan 8, 08:00 pm",0,-4.3,0,0,0,0,0,-4.3,0,0,1,0,0,5.1
"Jan 8, 09:00 pm",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,6
"Jan 8, 10:00 pm",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,6
"Jan 8, 11:00 pm",0,-7.2,0,0,0,0,0,-7.2,0,0,1,0,0,6
"Jan 9, 12:00 am",0,-8,0,0,0,0,0,-8,0,0,1,0,0,3.7
"Jan 9, 01:00 am",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,3.7
"Jan 9, 02:00 am",0,-9.6,0,0,0,0,0,-9.6,0,0,1,0,0,3.7
"Jan 9, 03:00 am",0,-10.3,0,0,0,0,0,-10.3,0,0,1,0,0,3.6
"Jan 9, 04:00 am",0,-11,0,0,0,0,0,-11,0,0,1,0,0,3.6
"Jan 9, 05:00 am",0,-11.4,0,0,0,0,0,-11.4,0,0,1,0,0,3.6
"Jan 9, 06:00 am",0,-11.7,0,0,0,0,0,-11.7,0,0,1,0,0,3.6
"Jan 9, 07:00 am",176.408,-12,75.4131,208,6,202.487,17,-12.3528,62.4293,0.176408,1,2,50.1161,3.6
"Jan 9, 08:00 am",1054.8,-11.3,66.3983,571,51,1102.06,149,-5.7582,302.918,1.0548,1,1,280.149,3.6
"Jan 9, 09:00 am",1794.24,-10.7,57.0174,754,64,1864.86,279,-0.96188,500.181,1.79424,1,1,483.58,4.3
"Jan 9, 10:00 am",2093.72,-10,50.1287,610,147,2175.27,367,1.81619,578.7,2.09372,1,1,570.714,4.3
"Jan 9, 11:00 am",1045.93,-9.2,46.8775,118,174,1092.94,220,-3.60204,281.492,1.04593,1,1,280.312,4.3
"Jan 9, 12:00 pm",2204.47,-8.4,48.0159,623,150,2290.27,388,2.17682,608.668,2.20447,1,1,601.808,5.3
"Jan 9, 01:00 pm",1867.99,-7.6,53.2614,637,104,1941.22,312,1.7988,519.922,1.86799,1,1,509.27,5.3
"Jan 9, 02:00 pm",716.241,-7.8,61.5611,170,94,754.498,133,-4.66929,197.738,0.716241,1,1,192.659,5.3
"Jan 9, 03:00 pm",423.772,-8,71.8113,221,38,455.102,61,-6.67003,126.755,0.423772,1,1,115.257,5
"Jan 9, 04:00 pm",0,-8.3,78.1674,23,1,16.9397,1,-9.48261,5.68605,0,1,3,4.2413,5
"Jan 9, 05:00 pm",0,-9.1,0,0,0,0,0,-9.1,0,0,1,0,0,5
"Jan 9, 06:00 pm",0,-10,0,0,0,0,0,-10,0,0,1,0,0,5.5
"Jan 9, 07:00 pm",0,-10.8,0,0,0,0,0,-10.8,0,0,1,0,0,5.5
"Jan 9, 08:00 pm",0,-11.1,0,0,0,0,0,-11.1,0,0,1,0,0,5.5
"Jan 9, 09:00 pm",0,-11.3,0,0,0,0,0,-11.3,0,0,1,0,0,6.4
"Jan 9, 10:00 pm",0,-11.5,0,0,0,0,0,-11.5,0,0,1,0,0,6.4
"Jan 9, 11:00 pm",0,-11.2,0,0,0,0,0,-11.2,0,0,1,0,0,6.4
"Jan 10, 12:00 am",0,-10.9,0,0,0,0,0,-10.9,0,0,1,0,0,3.5
"Jan 10, 01:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,3.5
"Jan 10, 02:00 am",0,-11.4,0,0,0,0,0,-11.4,0,0,1,0,0,3.5
"Jan 10, 03:00 am",0,-12.2,0,0,0,0,0,-12.2,0,0,1,0,0,6.2
"Jan 10, 04:00 am",0,-13,0,0,0,0,0,-13,0,0,1,0,0,6.2
"Jan 10, 05:00 am",0,-13,0,0,0,0,0,-13,0,0,1,0,0,6.2
"Jan 10, 06:00 am",0,-13.1,0,0,0,0,0,-13.1,0,0,1,0,0,2.2
"Jan 10, 07:00 am",178.439,-13.1,75.4417,210,6,204.559,17,-13.5607,62.8273,0.178439,1,2,50.3855,2.2
"Jan 10, 08:00 am",1055.97,-12.4,66.3739,574,50,1103.26,150,-5.79925,303.264,1.05597,1,1,280.406,2.2
"Jan 10, 09:00 am",1805.37,-11.6,56.9597,756,63,1876.38,280,-2.11293,500.81,1.80537,1,1,484.233,4.5
"Jan 10, 10:00 am",2269.54,-10.8,50.0314,825,70,2357.89,369,1.74125,629.15,2.26954,1,1,618.433,4.5
"Jan 10, 11:00 am",2459.38,-9.6,46.741,850,73,2555.42,409,4.3689,686.191,2.45938,1,1,677.787,4.5
"Jan 10, 12:00 pm",2270.45,-8.4,47.8525,842,72,2358.84,396,15.8663,667.208,2.27045,1,1,658.063,0.8
"Jan 10, 01:00 pm",1951.99,-7.3,53.0884,798,67,2028.26,330,13.8676,573.957,1.95199,1,1,560.787,0.8
"Jan 10, 02:00 pm",1404.83,-7.4,61.3907,692,57,1462.51,220,8.09825,414.661,1.40483,1,1,394.208,0.8
"Jan 10, 03:00 pm",625.237,-7.5,71.6508,438,35,661.255,82,-3.62906,192.209,0.625237,1,1,169.577,3.5
"Jan 10, 04:00 pm",9.45937,-7.6,78.1311,50,1,32.3075,2,-8.71261,11.2535,0.00945937,1,3,8.11429,3.5
"Jan 10, 05:00 pm",0,-8.2,0,0,0,0,0,-8.2,0,0,1,0,0,3.5
"Jan 10, 06:00 pm",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,2.2
"Jan 10, 07:00 pm",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,2.2
"Jan 10, 08:00 pm",0,-9.8,0,0,0,0,0,-9.8,0,0,1,0,0,2.2
"Jan 10, 09:00 pm",0,-10.3,0,0,0,0,0,-10.3,0,0,1,0,0,2.1
"Jan 10, 10:00 pm",0,-10.7,0,0,0,0,0,-10.7,0,0,1,0,0,2.1
"Jan 10, 11:00 pm",0,-10.5,0,0,0,0,0,-10.5,0,0,1,0,0,2.1
"Jan 11, 12:00 am",0,-10.3,0,0,0,0,0,-10.3,0,0,1,0,0,2.7
