Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
167.5,-4.4,-13.3,-14.2602,46,2.6,280
168.5,-3.3,-15,-16.2196,36,1.5,300
169.5,-3.9,-11.1,-12.0584,53,1.5,360
170.5,-5,-10,-10.5466,65,0,0
171.5,-5,-10,-10.5466,65,0,0
172.5,-5,-10,-10.5466,65,1.5,20
173.5,-5,-7.8,-8.06819,79,0,0
174.5,-5,-6.7,-6.9725,86,1.5,30
175.5,-3.3,-7.2,-7.61558,72,0,0
176.5,-2.8,-6.1,-6.43158,76,0,0
177.5,-2.2,-6.1,-6.5558,72,0,0
178.5,-0.6,-8.9,-9.98178,49,1.5,350
179.5,0,-11.7,-12.939,37,1.5,340
180.5,1.1,-15,-16.7196,25,0,0
181.5,2.8,-13.3,-14.7909,26,2.1,360
182.5,2.2,-12.8,-14.41,28,0,0
183.5,2.8,-11.7,-13.0453,30,0,0
184.5,2.8,-11.1,-12.2491,32,0,0
185.5,2.2,-9.4,-10.6385,38,0,0
186.5,2.2,-9.4,-10.6385,38,0,0
187.5,1.7,-9.4,-10.4431,40,1.5,30
188.5,1.7,-8.9,-10.132,41,0,0
189.5,1.7,-7.2,-8.12603,48,0,0
190.5,1.7,-9.4,-10.4431,40,0,0
191.5,1.1,-5,-5.57419,61,0,0
192.5,1.1,-8.9,-10.0747,43,1.5,40
193.5,1.1,-8.9,-10.0747,43,0,0
194.5,1.1,-7.2,-8.15509,50,1.5,30
195.5,-0.6,-5.6,-6.15654,66,2.1,30
196.5,-1.7,-3.3,-3.57433,87,2.1,30
197.5,-1.7,-2.8,-2.97259,91,3.1,50
198.5,-2,-2,-2,100,2.1,40
199.5,-2,-2,-2,100,1.5,20
200.5,-2,-2,-2,100,1.5,80
201.5,-1.1,-2.2,-2.37906,91,1.5,100
202.5,-0.6,-2.8,-3.12435,83,1.5,100
203.5,-0.6,-2.2,-2.33767,88,2.1,50
204.5,0,-1.7,-1.90133,87,2.1,80
205.5,0,-1.1,-1.29094,91,2.1,40
206.5,0.6,-1.1,-1.3109,87,2.6,70
207.5,1,-1,-1.07507,86,3.1,50
208.5,1,-1,-1.07507,86,2.6,70
209.5,0.6,-1.7,-1.94983,83,3.6,60
210.5,0,-1.7,-1.90133,87,4.1,70
211.5,0,-2,-2.21589,85,3.6,70
212.5,0,-2.2,-2.53707,83,4.1,60
213.5,-0.6,-2.8,-3.12435,83,3.6,60
214.5,-1,-3,-3.19737,85,3.6,70
215.5,-0.6,-2.8,-3.12435,83,3.1,60
216.5,-1.1,-4.4,-4.78392,76,4.1,80
217.5,-1.1,-3.9,-4.2712,79,2.6,80
218.5,-1.7,-3.9,-4.20111,83,2.1,80
219.5,-1.7,-3.9,-4.20111,83,3.1,80
220.5,-2.8,-3.9,-4.06079,91,3.1,80
221.5,-3,-6,-6.4553,77,2.6,70
222.5,-2.8,-5.6,-5.92609,79,2.1,80
223.5,-2.8,-6.1,-6.43158,76,2.6,80
224.5,-2.2,-5.6,-6.02331,75,2.6,70
225.5,-2.2,-5,-5.34197,79,2.1,60
226.5,-1.7,-5,-5.3654,76,0,0
227.5,-1,-4,-4.34296,78,3.1,60
