,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Feb 16, 08:00 am",-5.6,380.943,58.8623,0,411.324,108,108,-5.09518,104.846,0.380943,1,1,104.846,7.2
"Feb 16, 09:00 am",-4.4,568.735,46.1866,0,603.401,159,159,-3.08693,155.089,0.568735,1,1,155.089,7.7
"Feb 16, 10:00 am",-2.8,697.659,35.2345,0,735.453,195,195,-0.897075,190.764,0.697659,1,1,190.764,7.7
"Feb 16, 11:00 am",-0.6,2125.92,28.1155,135,2208.69,441,532,8.68814,597.064,2.12592,1,1,596.868,6.2
"Feb 16, 12:00 pm",-0.6,758.708,27.9381,0,798.037,214,214,2.15505,209.678,0.758708,1,1,209.678,7.2
"Feb 16, 01:00 pm",0.6,690.217,34.809,0,727.827,196,196,2.77982,191.74,0.690217,1,1,191.74,6.7
"Feb 16, 02:00 pm",0.6,563.643,45.6467,0,598.189,161,161,1.97718,157.051,0.563643,1,1,157.051,8.2
"Feb 16, 03:00 pm",0.6,381.38,58.2716,0,411.771,111,111,1.29514,107.796,0.38138,1,1,107.796,7.2
"Feb 16, 04:00 pm",0,162.639,71.7211,0,188.442,51,51,-0.322887,48.9965,0.162639,1,1,48.9965,5.7
"Feb 16, 05:00 pm",0,0,81.5451,0,10.9312,3,3,-1.18461,2.83195,0,1,3,2.83195,6.2
"Feb 16, 06:00 pm",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,5.2
"Feb 16, 07:00 pm",-2.2,0,0,0,0,0,0,-2.2,0,0,1,0,0,4.6
"Feb 16, 08:00 pm",-2.8,0,0,0,0,0,0,-2.8,0,0,1,0,0,3.6
"Feb 16, 09:00 pm",-3.9,0,0,0,0,0,0,-3.9,0,0,1,0,0,2.6
"Feb 16, 10:00 pm",-4.4,0,0,0,0,0,0,-4.4,0,0,1,0,0,2.6
"Feb 16, 11:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,3.1
"Feb 17, 12:00 am",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,2.6
"Feb 17, 01:00 am",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,0
"Feb 17, 02:00 am",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,0
"Feb 17, 03:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,1.5
"Feb 17, 04:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,2.1
"Feb 17, 05:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,1.5
"Feb 17, 06:00 am",-6.7,35.5026,81.8773,120,58.8383,4,9,-8.22347,22.2601,0.0355026,1,2,14.8071,2.6
"Feb 17, 07:00 am",-3.9,708.372,72.2026,613,746.433,30,144,-0.10569,226.668,0.708372,1,1,194.256,3.1
"Feb 17, 08:00 am",-1.7,1661.07,58.6982,821,1727.1,46,347,7.8064,485.245,1.66107,1,1,464.935,4.1
"Feb 17, 09:00 am",0.6,2439.54,45.9768,910,2534.76,60,529,13.5407,708.231,2.43954,1,1,699.806,5.2
"Feb 17, 10:00 am",2.8,2978.13,34.961,953,3096.95,69,661,16.0816,867.876,2.97813,1,1,864.82,7.2
"Feb 17, 11:00 am",4.4,3234.67,27.7775,972,3365.73,73,731,18.5395,951.765,3.23467,1,1,950.412,7.7
"Feb 17, 12:00 pm",6.7,3194.35,27.6064,972,3323.44,73,732,21.6073,953.113,3.19435,1,1,951.789,7.2
"Feb 17, 01:00 pm",8.3,2897.06,34.5525,954,3012.15,69,665,23.3489,872.575,2.89706,1,1,869.647,6.2
"Feb 17, 02:00 pm",10,2398.57,45.4602,912,2492.11,60,536,19.6917,715.511,2.39857,1,1,707.438,8.8
"Feb 17, 03:00 pm",10,1634.71,58.1339,826,1699.85,47,356,16.8323,495.953,1.63471,1,1,476.294,8.2
"Feb 17, 04:00 pm",8.9,712.038,71.618,628,750.191,31,153,12.4212,238.491,0.712038,1,1,206.087,6.2
"Feb 17, 05:00 pm",6.7,44.8787,81.5757,138,68.3913,5,12,6.16326,26.9081,0.0448787,1,3,18.2803,4.1
"Feb 17, 06:00 pm",5,0,0,0,0,0,0,5,0,0,1,0,0,3.1
"Feb 17, 07:00 pm",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,2.6
"Feb 17, 08:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,2.1
"Feb 17, 09:00 pm",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,0
"Feb 17, 10:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,1.5
"Feb 17, 11:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,3.1
"Feb 18, 12:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,4.6
"Feb 18, 01:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
"Feb 18, 02:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,2.6
"Feb 18, 03:00 am",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,2.1
"Feb 18, 04:00 am",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,2.1
"Feb 18, 05:00 am",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,2.6
"Feb 18, 06:00 am",-2.2,35.4738,81.8941,124,58.8088,4,10,-3.4383,22.7916,0.0354738,1,2,15.0933,3.6
"Feb 18, 07:00 am",0.6,651.531,72.0685,532,688.188,35,136,3.81346,210.073,0.651531,1,1,182.098,3.6
"Feb 18, 08:00 am",2.2,1478.19,58.5312,669,1538.19,68,316,10.5801,435.499,1.47819,1,1,419.137,4.1
"Feb 18, 09:00 am",2.8,2207.08,45.7642,803,2292.98,74,491,18.9411,655.976,2.20708,1,1,648.678,2.6
"Feb 18, 10:00 am",3.9,2495.87,34.6843,853,2593.43,78,612,35.9823,798.291,2.49587,1,1,795.636,0
"Feb 18, 11:00 am",6.1,2973.18,27.4357,958,3091.77,72,725,34.0301,940.709,2.97318,1,1,939.432,1.5
"Feb 18, 12:00 pm",6.1,2851.42,27.2727,868,2964.43,88,680,28.9913,880.135,2.85142,1,1,879.002,2.6
"Feb 18, 01:00 pm",7.2,2549.91,34.2968,913,2649.74,67,641,41.5121,838.541,2.54991,1,1,835.815,0
"Feb 18, 02:00 pm",7.8,2131.73,45.2757,801,2214.73,70,491,24.7924,650.73,2.13173,1,1,643.754,2.6
"Feb 18, 03:00 pm",8.3,1396.16,57.9986,711,1453.57,54,322,28.7397,447.252,1.39616,1,1,430.487,0
"Feb 18, 04:00 pm",7.8,638.716,71.517,548,675.061,34,143,18.7157,218.931,0.638716,1,1,190.777,0
"Feb 18, 05:00 pm",6.1,47.7945,81.6079,127,71.3623,6,12,5.50313,26.9552,0.0477945,1,3,19.0202,2.1
"Feb 18, 06:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,2.6
"Feb 18, 07:00 pm",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,3.1
"Feb 18, 08:00 pm",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,3.6
"Feb 18, 09:00 pm",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,4.1
"Feb 18, 10:00 pm",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,2.1
"Feb 18, 11:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,3.1
"Feb 19, 12:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,3.1
"Feb 19, 01:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,4.6
"Feb 19, 02:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,3.1
"Feb 19, 03:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,3.6
"Feb 19, 04:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,4.1
"Feb 19, 05:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,3.6
"Feb 19, 06:00 am",8.9,0,81.9097,0,14.0482,4,4,7.51904,3.77705,0,1,2,3.77705,4.6
"Feb 19, 07:00 am",8.9,162.979,71.9311,0,188.789,53,53,8.565,50.99,0.162979,1,1,50.99,6.7
"Feb 19, 08:00 am",10,372.337,58.3613,0,402.529,113,113,10.5916,109.689,0.372337,1,1,109.689,8.8
"Feb 19, 09:00 am",11.1,547.694,45.5487,0,581.863,164,164,12.5111,159.909,0.547694,1,1,159.909,8.2
"Feb 19, 10:00 am",13.9,509.095,34.4046,61,542.366,96,135,15.1392,150.998,0.509095,1,1,150.814,9.3
"Feb 19, 11:00 am",15,1211.25,27.0905,220,1263.02,135,287,19.565,358.608,1.21125,1,1,358.327,7.7
"Feb 19, 12:00 pm",16.1,1722.65,26.9373,224,1790.78,284,438,23.6099,517.932,1.72265,1,1,517.652,7.2
"Feb 19, 01:00 pm",16.1,654.357,34.0422,0,691.083,200,200,18.9764,195.537,0.654357,1,1,195.537,6.2
"Feb 19, 02:00 pm",16.1,536.932,45.0934,0,570.85,165,165,18.0744,160.855,0.536932,1,1,160.855,5.7
"Feb 19, 03:00 pm",16.1,789.818,57.8657,49,829.941,199,218,18.7112,235.687,0.789818,1,1,234.542,8.2
"Feb 19, 04:00 pm",16.1,181.05,71.4184,40,207.222,48,56,16.1894,59.941,0.18105,1,1,57.8947,9.3
"Feb 19, 05:00 pm",14.4,0,81.6417,0,17.095,5,5,13.675,4.72247,0,1,3,4.72247,10.8
"Feb 19, 06:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,7.7
"Feb 19, 07:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,6.7
"Feb 19, 08:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,8.2
"Feb 19, 09:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,6.2
"Feb 19, 10:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,4.1
"Feb 19, 11:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.1
"Feb 20, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Feb 20, 01:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,5.7
"Feb 20, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,7.2
"Feb 20, 03:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,5.2
"Feb 20, 04:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,6.2
"Feb 20, 05:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,4.1
"Feb 20, 06:00 am",10,0,81.9242,0,10.4943,3,3,8.36392,2.83192,0,1,2,2.83192,3.6
"Feb 20, 07:00 am",10.6,101.137,71.7906,0,125.728,36,36,9.57584,34.1085,0.101137,1,1,34.1085,2.6
"Feb 20, 08:00 am",10.6,269.599,58.1885,0,297.591,85,85,10.9212,81.2113,0.269599,1,1,81.2113,1.5
"Feb 20, 09:00 am",11.1,420.323,45.3306,0,451.576,129,129,12.7673,124.244,0.420323,1,1,124.244,2.1
"Feb 20, 10:00 am",11.7,525.352,34.122,0,559,160,160,14.178,154.771,0.525352,1,1,154.771,2.6
"Feb 20, 11:00 am",12.8,696.401,26.7418,0,734.163,210,210,16.2549,205.174,0.696401,1,1,205.174,3.6
"Feb 20, 12:00 pm",13.9,695.879,26.6002,0,733.629,211,211,17.5036,206.187,0.695879,1,1,206.187,3.6
"Feb 20, 01:00 pm",14.4,626.546,33.7888,0,662.595,192,192,18.6903,187.232,0.626546,1,1,187.232,1.5
"Feb 20, 02:00 pm",15.6,1165.47,44.9135,127,1215.9,246,314,24.6731,354.3,1.16547,1,1,353.229,1.5
"Feb 20, 03:00 pm",16.1,830.396,57.7353,125,871.57,174,222,22.21,253.198,0.830396,1,1,250.304,2.1
"Feb 20, 04:00 pm",15.6,359.146,71.322,96,389.051,78,97,17.6445,114.304,0.359146,1,1,109.413,2.1
"Feb 20, 05:00 pm",12.8,31.5943,81.6771,47,54.8564,9,11,11.6791,17.9526,0.0315943,1,3,15.0203,2.1
"Feb 20, 06:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,2.6
"Feb 20, 07:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,2.6
"Feb 20, 08:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,2.1
"Feb 20, 09:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,2.1
"Feb 20, 10:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,0
"Feb 20, 11:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,3.1
"Feb 21, 12:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,2.6
"Feb 21, 01:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,2.6
"Feb 21, 02:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,3.1
"Feb 21, 03:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,2.6
"Feb 21, 04:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,4.1
"Feb 21, 05:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,3.1
"Feb 21, 06:00 am",10.6,0,81.9376,0,10.4649,3,3,9.00588,2.83191,0,1,2,2.83191,3.6
"Feb 21, 07:00 am",11.1,90.5729,71.6472,0,114.959,33,33,10.083,31.2565,0.0905729,1,1,31.2565,3.1
"Feb 21, 08:00 am",12.2,228.838,58.0131,0,255.983,74,74,12.236,70.2641,0.228838,1,1,70.2641,3.6
"Feb 21, 09:00 am",14.4,427.929,45.11,0,459.352,133,133,15.9766,128.213,0.427929,1,1,128.213,3.1
"Feb 21, 10:00 am",17.8,1153.97,33.8367,155,1204.07,206,305,23.4008,348.154,1.15397,1,1,347.714,5.2
"Feb 21, 11:00 am",20,2505.33,26.3897,655,2603.29,180,635,38.102,807.902,2.50533,1,1,807.138,3.1
"Feb 21, 12:00 pm",21.7,2043.67,26.2617,499,2123.32,165,512,35.8719,651.628,2.04367,1,1,651.056,4.1
"Feb 21, 01:00 pm",22.8,2177.51,33.5368,635,2262.27,138,546,37.7006,701.744,2.17751,1,1,700,4.1
"Feb 21, 02:00 pm",23.3,1574.07,44.7359,378,1637.19,206,409,32.7001,497.373,1.57407,1,1,494.233,5.2
"Feb 21, 03:00 pm",23.3,1333.77,57.6074,636,1389.24,70,318,30.6763,429.878,1.33377,1,1,415.284,5.7
"Feb 21, 04:00 pm",21.7,533.551,71.228,414,567.39,41,127,25.4405,186.431,0.533551,1,1,165.427,3.6
"Feb 21, 05:00 pm",17.8,48.1526,81.7141,113,71.7272,8,14,17.2901,27.1841,0.0481526,1,3,20.1395,2.6
"Feb 21, 06:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Feb 21, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.6
"Feb 21, 08:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Feb 21, 09:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,2.6
"Feb 21, 10:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,2.1
"Feb 21, 11:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,3.1
"Feb 22, 12:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,2.1
"Feb 22, 01:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,3.1
"Feb 22, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,3.1
"Feb 22, 03:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,2.6
"Feb 22, 04:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,3.6
"Feb 22, 05:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.1
"Feb 22, 06:00 am",13.3,0,81.9499,0,13.7976,4,4,11.6168,3.7769,0,1,2,3.7769,2.6
"Feb 22, 07:00 am",14.4,102.4,71.5008,0,127.015,37,37,13.4763,35.0569,0.1024,1,1,35.0569,2.6
"Feb 22, 08:00 am",15.6,290.672,57.8352,0,319.108,93,93,16.1341,89.1315,0.290672,1,1,89.1315,3.6
"Feb 22, 09:00 am",17.2,782.276,44.8871,34,822.206,206,225,20.8065,234.886,0.782276,1,1,234.6,4.6
"Feb 22, 10:00 am",18.9,589.505,33.5489,0,624.665,184,184,21.6487,178.93,0.589505,1,1,178.93,4.6
"Feb 22, 11:00 am",19.4,654.251,26.0345,0,690.975,204,204,22.6724,198.866,0.654252,1,1,198.866,4.1
"Feb 22, 12:00 pm",20.6,1144.1,25.9219,96,1193.91,245,312,25.5375,348.357,1.1441,1,1,348.252,6.7
"Feb 22, 01:00 pm",20,588.433,33.2864,0,623.567,185,185,23.2181,179.922,0.588433,1,1,179.922,4.1
"Feb 22, 02:00 pm",20,463.194,44.5608,0,495.412,147,147,22.1546,142.24,0.463194,1,1,142.24,3.6
"Feb 22, 03:00 pm",20,275.529,57.482,3,303.646,89,91,20.8043,86.7066,0.275529,1,1,86.6383,3.6
"Feb 22, 04:00 pm",20,535.734,71.1362,300,569.624,70,133,23.3084,179.586,0.535734,1,1,164.427,2.1
"Feb 22, 05:00 pm",17.2,24.2165,81.7527,28,47.3402,10,11,16.3191,14.9779,0.0242165,1,3,13.2338,2.1
"Feb 22, 06:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,3.1
"Feb 22, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.6
"Feb 22, 08:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.6
"Feb 22, 09:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Feb 22, 10:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.1
"Feb 22, 11:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Feb 23, 12:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.1
"Feb 23, 01:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,2.6
"Feb 23, 02:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.1
"Feb 23, 03:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Feb 23, 04:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.6
"Feb 23, 05:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Feb 23, 06:00 am",15,0,81.9612,0,13.6776,4,4,13.5816,3.77686,0,1,2,3.77686,4.1
"Feb 23, 07:00 am",15.6,74.881,71.3517,0,98.9653,29,29,14.6351,27.4568,0.074881,1,1,27.4568,3.6
"Feb 23, 08:00 am",16.7,207.122,57.6549,0,233.823,69,69,16.7,65.4774,0.207122,1,1,65.4774,4.6
"Feb 23, 09:00 am",17.2,1901.86,44.6619,422,1976.3,254,483,26.1966,581.746,1.90186,1,1,578.265,6.2
"Feb 23, 10:00 am",20,2427.96,33.2586,648,2522.7,186,606,33.5166,766.321,2.42796,1,1,764.595,5.7
"Feb 23, 11:00 am",22.2,2883.57,25.6763,854,2998.04,129,729,38.1078,930.464,2.88357,1,1,929.558,6.2
"Feb 23, 12:00 pm",25,2862.36,25.5809,854,2975.87,129,731,39.7195,931.086,2.86236,1,1,930.192,7.2
"Feb 23, 01:00 pm",27.2,2586.48,33.0377,832,2687.86,122,663,41.2825,849.012,2.58648,1,1,846.85,6.7
"Feb 23, 02:00 pm",27.2,2117.38,44.3883,778,2199.82,107,532,38.0502,688.134,2.11738,1,1,681.869,7.2
"Feb 23, 03:00 pm",27.2,1418.46,57.3592,672,1476.56,84,351,35.5723,467.23,1.41846,1,1,452.075,5.7
"Feb 23, 04:00 pm",26.7,601.064,71.0468,445,636.5,54,150,29.7892,211.854,0.601064,1,1,189.456,6.7
"Feb 23, 05:00 pm",23.9,34.657,81.7928,55,57.9767,10,13,23.4424,20.1687,0.034657,1,3,16.7459,4.6
"Feb 23, 06:00 pm",22.8,0,0,0,0,0,0,22.8,0,0,1,0,0,4.6
"Feb 23, 07:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,5.2
"Feb 23, 08:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,4.1
"Feb 23, 09:00 pm",20,0,0,0,0,0,0,20,0,0,1,0,0,4.1
"Feb 23, 10:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,4.6
"Feb 23, 11:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,8.8
"Feb 24, 12:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,7.7
"Feb 24, 01:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,6.7
"Feb 24, 02:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,6.2
"Feb 24, 03:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,4.6
"Feb 24, 04:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,5.7
"Feb 24, 05:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,5.2
"Feb 24, 06:00 am",7.8,53.8296,81.9715,113,77.5119,9,15,6.8239,27.7794,0.0538296,1,2,20.7774,4.1
"Feb 24, 07:00 am",8.9,714.515,71.1999,563,752.729,42,163,11.9108,234.846,0.714515,1,1,206.317,5.7
"Feb 24, 08:00 am",11.1,1613.81,57.4722,767,1678.25,63,368,19.1105,492.577,1.61381,1,1,475.142,5.7
"Feb 24, 09:00 am",13.3,2323.06,44.4347,859,2413.54,80,550,25.6494,711.324,2.32306,1,1,704.379,5.7
"Feb 24, 10:00 am",15,2795.54,32.966,905,2906.04,91,682,30.5321,870.429,2.79554,1,1,868.096,5.7
"Feb 24, 11:00 am",15.6,2980.33,25.315,925,3099.25,96,751,36.3135,953.315,2.98033,1,1,952.38,4.1
"Feb 24, 12:00 pm",17.8,2902.15,25.239,926,3017.47,96,752,41.9251,954.743,2.90215,1,1,953.817,2.6
"Feb 24, 01:00 pm",18.3,2701.01,32.7908,907,2807.34,91,685,38.3105,873.608,2.70101,1,1,871.316,3.6
"Feb 24, 02:00 pm",18.3,2182.09,44.2186,862,2267.02,80,554,39.796,715.731,2.18209,1,1,708.895,1.5
"Feb 24, 03:00 pm",18.3,1543.46,57.2392,772,1605.58,63,373,30.9779,497.919,1.54346,1,1,480.655,2.6
"Feb 24, 04:00 pm",17.8,693.668,70.9597,572,731.363,42,167,23.5549,240.036,0.693668,1,1,211.357,2.6
"Feb 24, 05:00 pm",16.1,54.4527,81.8345,121,78.1469,9,17,15.853,29.3227,0.0544527,1,3,21.7999,1.5
"Feb 24, 06:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,0
"Feb 24, 07:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,0
"Feb 24, 08:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Feb 24, 09:00 pm",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,1.5
"Feb 24, 10:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,2.1
"Feb 24, 11:00 pm",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,2.6
"Feb 25, 12:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,2.1
"Feb 25, 01:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,3.6
"Feb 25, 02:00 am",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,1.5
"Feb 25, 03:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,2.1
"Feb 25, 04:00 am",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,0
"Feb 25, 05:00 am",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,2.1
"Feb 25, 06:00 am",2.2,59.1364,81.9807,123,82.9197,9,17,-0.318244,29.18,0.0591365,1,2,21.5602,0
"Feb 25, 07:00 am",6.1,734.158,71.0455,575,772.865,42,168,11.1833,240.095,0.734158,1,1,211.156,1.5
"Feb 25, 08:00 am",11.1,1603.51,57.2874,775,1667.61,63,374,23.3605,498.878,1.60351,1,1,481.488,2.1
"Feb 25, 09:00 am",16.1,2266.19,44.2056,864,2354.41,80,557,32.5865,717.198,2.26619,1,1,710.354,3.1
"Feb 25, 10:00 am",20.6,2706.13,32.6713,908,2812.68,91,688,38.3373,875.354,2.70613,1,1,873.089,4.6
"Feb 25, 11:00 am",22.2,2884.11,24.951,927,2998.61,96,757,43.7155,957.494,2.88411,1,1,956.602,3.6
"Feb 25, 12:00 pm",23.3,2877.95,24.8963,926,2992.17,96,757,44.0244,956.952,2.87795,1,1,956.068,4.1
"Feb 25, 01:00 pm",24.4,2635.68,32.546,906,2739.17,91,688,43.4158,874.719,2.63568,1,1,872.491,4.1
"Feb 25, 02:00 pm",24.4,2141.32,44.0516,861,2224.67,80,557,43.7697,716.63,2.14132,1,1,709.903,2.1
"Feb 25, 03:00 pm",24.4,1500.61,57.1218,771,1561.34,63,375,37.0153,498.568,1.50061,1,1,481.468,2.6
"Feb 25, 04:00 pm",23.9,678.782,70.875,574,716.109,42,170,29.3513,241.375,0.678782,1,1,212.705,3.1
"Feb 25, 05:00 pm",20,58.6961,81.8776,127,82.471,10,18,19.804,31.311,0.0586961,1,3,23.4232,2.6
"Feb 25, 06:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.6
"Feb 25, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Feb 25, 08:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Feb 25, 09:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.6
"Feb 25, 10:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Feb 25, 11:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.6
"Feb 26, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Feb 26, 01:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.1
"Feb 26, 02:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.6
"Feb 26, 03:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Feb 26, 04:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,1.5
"Feb 26, 05:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,5.7
"Feb 26, 06:00 am",16.1,0,81.9891,0,20.3899,6,6,15.0689,5.66796,0,1,2,5.66796,6.2
"Feb 26, 07:00 am",16.1,131.364,70.8887,0,156.546,46,46,15.5574,43.6122,0.131364,1,1,43.6122,4.1
"Feb 26, 08:00 am",17.8,297.241,57.1006,0,325.816,96,96,18.3933,91.9424,0.297241,1,1,91.9424,4.6
"Feb 26, 09:00 am",19.4,533.765,43.9746,0,567.608,167,167,21.2072,162.255,0.533765,1,1,162.255,6.2
"Feb 26, 10:00 am",20,654.026,32.3747,0,690.744,204,204,22.8301,198.946,0.654026,1,1,198.946,5.2
"Feb 26, 11:00 am",21.7,711.458,24.5842,0,749.596,223,223,24.7983,217.891,0.711458,1,1,217.891,5.7
