,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 8, 03:00 am",-2.8,0,0,0,0,0,0,-2.8,0,0,1,0,0,4.1
"Jan 8, 04:00 am",-2.8,0,0,0,0,0,0,-2.8,0,0,1,0,0,2.6
"Jan 8, 05:00 am",-3.9,0,0,0,0,0,0,-3.9,0,0,1,0,0,4.1
"Jan 8, 06:00 am",-3.9,0,80.3422,0,7.62314,2,2,-5.52554,1.93969,0,1,2,1.93969,4.1
"Jan 8, 07:00 am",-4.4,208.128,74.2227,0,234.85,52,52,-4.70737,59.9587,0.208128,1,1,59.9587,5.2
"Jan 8, 08:00 am",-4.4,666.171,62.0064,1,703.187,165,165,-2.27052,181.382,0.666171,1,1,181.351,5.2
"Jan 8, 09:00 am",-4.4,962.861,50.9783,1,1007.57,245,245,-0.526469,261.766,0.962861,1,1,261.752,5.2
"Jan 8, 10:00 am",-3.9,1310.8,42.2091,2,1365.56,335,336,3.4878,360.846,1.3108,1,1,360.833,3.6
"Jan 8, 11:00 am",-3.9,1357.2,37.3523,1,1413.39,350,350,2.90956,372.555,1.3572,1,1,372.551,4.6
"Jan 8, 12:00 pm",-3.9,1303.31,37.9491,2,1357.85,337,338,3.12922,358.255,1.30331,1,1,358.246,4.1
"Jan 8, 01:00 pm",-3.3,1287.13,43.7767,1,1341.18,330,330,4.63763,356.145,1.28713,1,1,356.138,3.1
"Jan 8, 02:00 pm",-3.3,934.482,53.1343,1,978.42,237,238,0.4843,255.279,0.934482,1,1,255.262,5.7
"Jan 8, 03:00 pm",-3.9,522.993,64.4845,1,556.586,132,132,-1.86239,143.823,0.522994,1,1,143.787,4.1
"Jan 8, 04:00 pm",-4.4,112.533,75.5732,0,137.347,33,33,-5.0217,35.0201,0.112533,1,3,35.0201,4.1
"Jan 8, 05:00 pm",-4.4,0,0,0,0,0,0,-4.4,0,0,1,0,0,5.2
"Jan 8, 06:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,4.1
"Jan 8, 07:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,3.1
"Jan 8, 08:00 pm",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,3.6
"Jan 8, 09:00 pm",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,3.6
"Jan 8, 10:00 pm",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,4.1
"Jan 8, 11:00 pm",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,5.2
