Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind direction (deg),Wind speed (m/s)
41.5,10.5,7.2,7.19614,80,70,2.5
42.5,9.4,7.2,7.17699,86,30,2
43.5,7.7,6.6,6.64005,93,20,1
44.5,7.7,6.6,6.64005,93,10,2
45.5,7.2,6.1,6.14436,93,20,1
46.5,7.2,6.1,6.14436,93,70,2
47.5,6.6,5,5.07783,90,40,2.5
48.5,5,3.8,3.8095,92,20,2.5
49.5,5,3.8,3.8095,92,40,3
50.5,4.4,3.8,3.81858,96,20,1.5
51.5,5.5,4.4,4.45893,93,60,4.1
52.5,4.4,3.3,3.36831,93,10,4.1
53.5,4.4,3.8,3.81858,96,40,4.1
54.5,5,4.4,4.41569,96,40,5.6
55.5,5.5,3.3,3.3463,86,50,4.1
56.5,6.1,3.8,3.76948,85,50,5.1
57.5,7.2,4.4,4.33468,82,50,5.1
58.5,7.2,4.4,4.33468,82,50,5.1
59.5,10,5,4.985,71,60,6.1
60.5,10.6,5.6,5.56093,71,60,5.1
61.5,10.5,5.5,5.46494,71,40,4.1
62.5,10.5,6.6,6.63904,77,50,4.6
63.5,11.1,7.2,7.2205,77,80,4.6
64.5,10.5,7.2,7.19614,80,70,4.6
65.5,10,7.7,7.76623,86,70,3
66.5,10.5,8.3,8.25724,86,80,5.6
67.5,11.1,9.4,9.35518,89,80,3.6
68.5,11.1,10,10.0105,93,90,7.2
69.5,10.5,10,10.0438,97,270,3.6
70.5,11.1,10.5,10.486,96,110,3
71.5,11.6,11.1,11.1397,97,210,10.2
72.5,9.4,7.7,7.67886,89,220,8.7
73.5,8.8,6.6,6.58773,86,220,5.6
74.5,8.8,5.5,5.54095,80,210,9.7
75.5,7.2,5,5.01622,86,240,12.3
76.5,6.6,3.8,3.74862,82,230,13.3
77.5,6.1,3.8,3.76948,85,250,10.2
78.5,6.1,3.8,3.76948,85,230,10.8
79.5,6.1,1.6,1.62709,73,230,12.3
80.5,6.1,1.1,1.04303,70,250,13.8
81.5,6.1,1.1,1.04303,70,250,10.2
82.5,7.2,0.5,0.409842,62,250,10.8
83.5,7.7,0,-0.0386552,58,250,10.2
84.5,8.3,0,0.0399502,56,260,10.2
85.5,7.7,-0.6,-0.767126,55,250,9.2
86.5,7.2,-0.6,-0.745749,57,250,9.7
87.5,6.6,-0.6,-0.60722,60,240,9.2
88.5,6.1,-0.6,-0.630136,62,250,6.6
89.5,6.1,-0.6,-0.630136,62,240,7.7
90.5,6.1,-1.2,-1.30718,59,250,8.2
91.5,5.5,-1.2,-1.41884,61,260,7.2
92.5,5,-1.2,-1.45304,63,250,6.6
93.5,5,-0.6,-0.613177,67,260,5.6
94.5,3.8,-1.2,-1.35891,69,290,4.6
95.5,2.7,-3.9,-4.50508,59,280,5.1
96.5,2.2,-4.5,-4.97558,59,290,4.1
97.5,1.6,-5.6,-6.22339,56,280,5.1
98.5,0.5,-5.6,-6.35685,60,280,4.1
99.5,-0.6,-5.6,-6.15654,66,250,2.5
100.5,-1.2,-5.6,-6.14969,69,250,3.6
101.5,-0.6,-5.6,-6.15654,66,280,4.1
102.5,-2.3,-5.6,-5.94693,76,270,2.5
103.5,-2.8,-5.6,-5.92609,79,180,2
104.5,0.5,-5,-5.71903,63,270,3
105.5,2.7,-5,-5.6722,54,290,5.1
106.5,3.8,-6.2,-7.03506,45,210,2.5
107.5,5.5,-5.6,-6.38738,42,250,1.5
108.5,7.7,-6.2,-7.16644,34,210,4.6
109.5,9.4,-5,-5.6668,34,270,3.6
110.5,9.4,-5.6,-6.45915,32,220,1.5
111.5,9.4,-5.6,-6.45915,32,210,3.6
112.5,8.3,-5.6,-6.25941,35,200,2
113.5,5,-3.4,-3.77974,53,280,1
114.5,4.4,-3.4,-3.84476,55,230,1
115.5,2.7,-3.4,-3.84625,62,190,3
116.5,-0.6,-3.4,-3.78452,79,40,1.5
117.5,0.5,-2.8,-3.23352,76,80,1
118.5,1.6,-2.8,-3.08384,71,210,3
119.5,0.5,-2.3,-2.54463,80,210,2
120.5,0,-2.8,-3.20055,79,200,2.5
121.5,-0.6,-3.4,-3.78452,79,170,1.5
122.5,0.5,-2.8,-3.23352,76,300,1.5
123.5,-2.8,-3.9,-4.06079,91,340,2
124.5,-2.8,-3.9,-4.06079,91,340,0.5
125.5,-3.4,-3.9,-3.9446,96,230,1
126.5,-2.8,-3.9,-4.06079,91,250,1
127.5,-2.3,-3.4,-3.56615,91,30,2
128.5,1.1,0,-0.0526327,92,150,2.5
129.5,6.1,2.2,2.19031,76,210,4.1
130.5,10,2.2,2.11793,58,200,7.2
131.5,12.2,2.7,2.63329,52,190,6.6
132.5,13.8,3.3,3.26934,49,190,6.6
133.5,15,2.7,2.84413,44,190,7.2
134.5,15.5,2.2,2.3022,41,200,6.6
135.5,15.5,1.6,1.60256,39,210,5.6
136.5,13.8,1.6,1.43588,43,230,3.6
137.5,12.2,2.2,2.08274,50,260,2.5
138.5,10.5,0.5,0.517171,50,280,3
139.5,8.3,0,0.0399502,56,270,2
140.5,5,-0.6,-0.613177,67,180,1.5
141.5,3.3,0,0.0105778,79,200,1
142.5,4.4,0.5,0.544214,76,210,3
143.5,5,0,-0.0119085,70,220,2.5
144.5,3.3,0,0.0105778,79,210,2
145.5,3.8,0.5,0.497008,79,210,2
146.5,3.3,0,0.0105778,79,220,1.5
147.5,5.5,0.5,0.467634,70,290,1.5
148.5,7.7,4.4,4.46978,80,190,2.5
149.5,11.1,6.1,6.04082,71,180,4.6
150.5,10.5,6.1,6.06248,74,180,6.1
151.5,11.1,7.2,7.2205,77,180,4.6
152.5,13.8,8.3,8.20995,69,190,5.6
153.5,16.6,8.3,8.29934,58,200,7.7
154.5,18.8,8.8,8.73148,52,200,6.6
155.5,21.1,8.8,8.69685,45,190,10.2
156.5,21.7,9.4,9.24066,45,190,10.3
157.5,22.2,9.4,9.35916,44,190,6.6
158.5,21.6,8.3,8.13021,42,210,7.7
159.5,21.6,8.8,8.81692,44,180,9.2
160.5,19.4,8.8,8.70383,50,180,5.6
161.5,17.7,9.4,9.32856,58,170,5.6
162.5,17.2,9.4,9.36381,60,170,5.6
163.5,15.5,9.4,9.39674,67,190,5.6
164.5,15,10,9.99147,72,180,4.6
165.5,15.5,10,10.0499,70,190,5.1
166.5,15.5,10,10.0499,70,200,6.1
167.5,16.1,10.5,10.4084,69,210,6.1
168.5,15.6,11.7,11.7755,78,260,7.7
169.5,13.8,12.7,12.6868,93,250,4.6
170.5,13.3,10.5,10.4728,83,260,6.6
171.5,11.1,9.4,9.35518,89,250,6.1
172.5,10.5,8.8,8.76356,89,270,6.1
173.5,10,8.3,8.27052,89,280,5.1
174.5,8.8,6.6,6.58773,86,280,5.6
175.5,8.3,5.5,5.58367,83,260,5.6
176.5,8.3,5,5.05407,80,280,6.1
177.5,8.3,3.8,3.74675,73,270,5.1
178.5,9.4,2.7,2.71408,63,270,6.6
179.5,11.1,1.1,1.06982,50,280,8.2
180.5,11.1,-0.6,-0.692313,44,270,5.1
181.5,11.6,-2.8,-3.34078,35,270,5.6
182.5,10.5,-3.4,-3.93877,36,300,5.1
183.5,10.5,-3.4,-3.93877,36,280,6.6
184.5,9.4,-2.3,-2.54555,43,310,5.1
185.5,7.2,-7.3,-8.38692,32,310,4.1
186.5,6.1,-9.5,-10.5951,29,310,4.6
187.5,5.5,-10.6,-12.006,27,330,3
188.5,4.4,-11.2,-12.5053,28,320,3
189.5,3.3,-11.2,-12.6091,30,330,4.6
190.5,2.7,-12.3,-13.5482,29,330,3.6
191.5,0.5,-11.7,-13.1764,35,360,4.1
192.5,-0.6,-12.3,-13.8106,36,360,3.6
193.5,-1.7,-12.8,-14.1353,38,360,2.5
194.5,-1.7,-12.8,-14.1353,38,340,3.6
195.5,-1.7,-11.2,-12.3361,44,360,5.1
196.5,-2.8,-12.3,-13.3394,44,10,5.1
197.5,-3.9,-12.3,-13.2807,48,10,4.1
198.5,-3.9,-11.7,-12.5345,51,10,4.6
199.5,-3.4,-11.2,-12.0708,51,360,5.1
200.5,-1.7,-11.2,-12.3361,44,20,7.2
201.5,-0.6,-11.2,-12.5167,40,30,7.2
202.5,1.1,-11.2,-12.6434,35,10,7.2
203.5,2.7,-11.7,-13.1326,30,40,5.6
204.5,3.3,-11.7,-13.0267,29,40,6.1
205.5,4.4,-11.7,-12.9537,27,20,4.6
206.5,4.4,-12.3,-13.8966,25,20,4.1
207.5,4.4,-11.7,-12.9537,27,50,5.1
208.5,3.3,-11.7,-13.0267,29,70,3.6
209.5,0,-10.6,-11.9755,40,60,2.5
210.5,-2.3,-10.6,-11.5504,49,40,2.5
211.5,-3.9,-8.9,-9.49854,65,50,2.5
212.5,-2.8,-8.4,-9.05404,62,30,3
213.5,-2.2,-8.9,-9.78084,56,10,4.1
214.5,-3.9,-9.5,-10.0964,62,30,3
215.5,-4.5,-9.5,-10.0702,65,30,3
216.5,-3.9,-9.5,-10.0964,62,20,4.1
217.5,-3.9,-9.5,-10.0964,62,20,4.1
218.5,-5.6,-10,-10.5527,68,30,3.6
219.5,-5.6,-10,-10.5527,68,10,4.6
220.5,-5.6,-8.9,-9.31458,75,20,4.6
221.5,-6.2,-9.5,-9.89555,75,20,4.1
222.5,-6.7,-10,-10.3797,75,30,4.1
223.5,-5.6,-9.5,-10.0088,71,20,3.6
224.5,-2.3,-8.4,-9.21279,59,50,6.6
225.5,0.5,-10,-11.2166,41,70,7.2
226.5,3.3,-11.2,-12.6091,30,50,9.7
227.5,3.3,-10,-11.0537,34,30,7.2
228.5,4.4,-10,-11.2409,31,40,7.2
229.5,6.1,-8.9,-10.1684,30,30,7.2
230.5,6.6,-8.4,-9.31714,31,60,6.1
231.5,7.2,-8.4,-9.64093,29,40,6.1
232.5,5.5,-8.4,-9.48836,33,40,7.2
233.5,4.4,-7.8,-8.66868,38,40,6.1
234.5,3.3,-7.3,-8.07663,43,50,4.1
235.5,3.3,-6.7,-7.49124,45,40,5.1
236.5,2.7,-7.8,-8.62138,43,40,5.1
237.5,2.7,-8.4,-9.54212,40,40,6.1
238.5,2.2,-8.9,-9.99254,40,30,5.6
239.5,2.2,-8.4,-9.37464,42,30,6.6
240.5,1.6,-8.4,-9.32875,44,50,6.1
241.5,1.6,-7.8,-8.76264,46,30,5.1
242.5,1.6,-6.7,-7.43767,51,20,5.1
243.5,1.6,-6.7,-7.43767,51,20,4.6
244.5,1.6,-6.7,-7.43767,51,20,4.6
245.5,1.1,-6.7,-7.6506,52,20,5.1
246.5,1.6,-7.8,-8.76264,46,10,5.1
247.5,1.6,-6.7,-7.43767,51,30,5.1
248.5,2.2,-7.3,-8.21354,46,30,6.1
249.5,2.7,-4.5,-4.96099,57,20,5.6
250.5,3.8,-3.4,-3.93014,57,30,5.1
251.5,6.6,0,0.0627377,63,50,5.6
252.5,8.8,-0.6,-0.778809,51,50,3.6
253.5,10,1.6,1.62734,56,40,4.1
254.5,11.6,2.7,2.60801,54,40,3
255.5,11.6,2.7,2.60801,54,40,3.6
256.5,11.1,3.3,3.39068,59,30,4.1
257.5,9.4,1.6,1.55547,58,30,3
258.5,8.3,3.3,3.35292,71,30,2
259.5,10,4.4,4.36722,68,60,3.6
260.5,8.3,5,5.05407,80,40,3
261.5,8.3,3.8,3.74675,73,50,3.6
262.5,8.3,3.8,3.74675,73,50,3.6
263.5,8.3,4.4,4.32001,76,60,2.5
264.5,7.7,5.5,5.50734,86,70,3
265.5,7.7,7.2,7.254,97,20,2.5
266.5,9.4,8.8,8.79434,96,50,4.1
267.5,10.5,10,10.0438,97,10,4.6
268.5,10.5,10.5,10.5,100,20,2.5
269.5,10.5,10.5,10.5,100,250,1.5
270.5,11.6,11.6,11.6,100,250,3
271.5,11.6,11.6,11.6,100,250,4.1
272.5,11.1,10.5,10.486,96,270,5.6
273.5,10.5,9.4,9.41578,93,300,4.6
274.5,10.5,9.4,9.41578,93,280,4.6
275.5,11.1,9.4,9.35518,89,260,4.1
276.5,11.6,9.4,9.33741,86,240,3.6
277.5,12.2,9.4,9.39735,83,250,3.6
278.5,13.3,9.4,9.35213,77,260,4.1
279.5,13.3,9.4,9.35213,77,250,4.6
280.5,12.7,9.4,9.33771,80,260,3
281.5,11.6,8.8,8.81071,83,290,1.5
282.5,10,8.3,8.27052,89,280,3.6
283.5,9.4,8.3,8.32535,93,250,3
284.5,10,8.8,8.76007,92,250,3.6
285.5,10,8.3,8.27052,89,260,3.6
286.5,9.4,8.3,8.32535,93,250,3.6
287.5,9.4,8.3,8.32535,93,210,2
288.5,9.4,8.3,8.32535,93,130,1
289.5,9.4,8.3,8.32535,93,350,1
290.5,9.4,8.3,8.32535,93,330,0.5
291.5,9.4,8.3,8.32535,93,340,1.5
292.5,9.4,8.3,8.32535,93,340,1.5
293.5,8.8,8.8,8.8,100,0,0
294.5,8.8,8.8,8.8,100,10,1.5
295.5,8.8,8.8,8.8,100,100,1.5
296.5,8.8,8.8,8.8,100,120,1
297.5,9.4,8.8,8.79434,96,190,2
298.5,10.5,9.4,9.41578,93,230,1.5
299.5,10.5,9.4,9.41578,93,100,1.5
300.5,11.1,8.8,8.84644,86,80,2
301.5,11.6,8.8,8.81071,83,60,3.6
302.5,10,8.8,8.76007,92,40,3.6
303.5,10,9.4,9.3914,96,60,4.1
304.5,9.4,9.4,9.4,100,60,4.1
305.5,9.4,9.4,9.4,100,50,3.6
306.5,9.4,9.4,9.4,100,60,2
307.5,8.8,8.8,8.8,100,40,2.5
308.5,8.8,8.8,8.8,100,40,2.5
309.5,8.8,8.8,8.8,100,60,2
310.5,8.8,8.8,8.8,100,50,2
311.5,8.3,7.7,7.69972,96,320,3
312.5,8.3,8.3,8.3,100,320,3.6
313.5,8.3,8.3,8.3,100,310,3.6
314.5,7.7,7.7,7.7,100,310,4.1
315.5,7.2,6.6,6.60507,96,300,4.1
316.5,7.2,7.2,7.2,100,280,4.1
317.5,7.2,6.6,6.60507,96,260,4.6
318.5,6.6,5.5,5.54951,93,250,5.6
319.5,6.1,2.2,2.19031,76,250,6.6
320.5,6.6,2.7,2.67439,76,260,7.2
321.5,7.7,1.6,1.53945,65,260,7.7
322.5,9.4,1.1,1.06717,56,260,7.7
323.5,11.1,1.6,1.61573,52,250,9.2
324.5,10,1.6,1.62734,56,260,9.2
325.5,11.1,0,-0.082519,46,270,8.2
326.5,11.6,1.1,0.962546,48,270,8.2
327.5,10.5,2.2,2.09407,56,250,8.2
328.5,10,0,0.0565457,50,260,8.7
329.5,8.3,-0.6,-0.71568,53,240,8.7
330.5,7.2,-1.2,-1.48291,54,250,9.2
331.5,6.6,-5.6,-6.36263,39,250,9.2
332.5,5.5,-3.9,-4.36069,49,260,6.6
333.5,5,-5.6,-6.23422,44,260,8.2
334.5,3.8,-3.9,-4.40464,55,270,9.7
335.5,2.7,-6.7,-7.47872,47,270,8.2
336.5,1.6,-6.7,-7.43767,51,280,8.7
337.5,0.5,-6.2,-7.02361,57,280,6.1
338.5,0,-6.2,-7.04651,59,290,5.6
339.5,-1.2,-6.2,-6.92701,65,280,7.2
340.5,-1.7,-8.4,-9.31254,56,270,6.6
341.5,-2.8,-11.2,-12.2674,48,280,5.6
342.5,-3.4,-12.8,-13.8868,44,280,5.6
343.5,-3.9,-13.9,-15.198,41,290,5.6
344.5,-2.8,-15,-16.4569,34,280,9.2
345.5,-2.3,-15,-16.3702,33,280,9.2
346.5,-1.7,-15.6,-17.3783,29,280,7.2
347.5,-0.6,-16.2,-18.1761,25,270,7.7
348.5,0,-17.3,-19.1592,22,260,8.2
349.5,0.5,-17.8,-19.8441,20,270,8.7
350.5,1.1,-17.8,-19.9364,19,270,8.2
351.5,0.6,-17.2,-19.1945,21,250,9.8
352.5,0,-17.8,-19.6991,21,270,7.2
353.5,-1.2,-18.4,-20.174,22,270,7.2
354.5,-1.7,-18.9,-20.597,22,280,6.1
355.5,-2.3,-17.8,-19.6342,25,280,6.1
356.5,-3.4,-18.4,-20.1271,26,340,5.6
357.5,-5,-17.8,-19.1174,32,340,6.6
358.5,-6.7,-18.4,-19.5845,35,350,5.1
359.5,-7.3,-18.9,-20.1195,35,360,7.2
360.5,-8.4,-23.4,-24.8789,25,330,4.1
361.5,-8.9,-20.6,-21.8764,34,10,3
362.5,-10.6,-21.7,-22.7483,36,20,3.6
363.5,-10.6,-20.6,-21.5559,40,30,4.1
364.5,-11.2,-18.9,-19.7768,49,30,5.6
365.5,-11.2,-18.9,-19.7768,49,50,4.1
366.5,-11.2,-20,-21.0148,44,40,4.6
367.5,-10.6,-21.2,-22.4394,37,50,5.6
368.5,-8.9,-18.9,-20.0165,40,60,7.7
369.5,-7.3,-21.2,-22.6627,28,60,6.6
370.5,-5.6,-18.9,-20.3918,30,50,6.6
371.5,-4.5,-16.7,-17.9656,34,50,7.7
372.5,-3.3,-17.8,-19.6045,27,80,5.1
373.5,-2.8,-17.8,-19.6098,26,40,3.6
374.5,-2.8,-16.2,-17.5528,31,80,5.1
375.5,-3.9,-15.6,-17.0898,35,120,3
376.5,-3.4,-20,-22.0365,22,90,5.1
377.5,-3.9,-19.5,-21.0079,25,90,3
378.5,-4.4,-20,-21.9015,24,70,3.1
379.5,-4.4,-18.3,-19.7333,29,50,4.1
380.5,-3.9,-19.4,-21.0079,25,50,4.1
381.5,-4.5,-18.4,-19.8206,29,70,4.6
382.5,-3.9,-16.7,-18.1471,32,60,4.1
383.5,-4.5,-16.7,-17.9656,34,40,3.6
384.5,-4.5,-16.7,-17.9656,34,50,3.6
385.5,-4.5,-15.6,-16.9666,37,60,3.6
386.5,-3.9,-11.2,-12.0584,53,40,4.1
387.5,-3.9,-10,-10.7205,59,40,4.1
388.5,-3.9,-6.7,-6.99707,79,10,4.1
389.5,-3.9,-9.5,-10.0964,62,360,4.1
390.5,-3.9,-8.9,-9.49854,65,30,4.6
391.5,-3.4,-8.9,-9.62255,62,360,3.6
392.5,-3.4,-11.2,-12.0708,51,30,4.1
393.5,-1.7,-8.4,-9.31254,56,60,2.5
394.5,-0.6,-7.3,-8.05537,57,20,1.5
395.5,1.6,-6.7,-7.43767,51,90,2.5
396.5,4.4,-2.8,-3.13512,58,110,5.6
397.5,7.7,1.6,1.53945,65,150,3
398.5,11.1,5,4.98861,66,150,4.1
399.5,14.4,7.2,7.21058,62,150,5.6
400.5,16.1,12.7,12.6464,80,180,7.7
401.5,2.7,1.6,1.53191,92,320,8.7
402.5,3.3,2.7,2.72384,96,230,1.5
403.5,3.3,2.7,2.72384,96,190,1
404.5,4.4,3.8,3.81858,96,150,2
405.5,5,4.4,4.41569,96,290,10.2
406.5,5.5,5.5,5.5,100,280,7.7
407.5,5.5,5.5,5.5,100,280,4.1
408.5,5,5,5,100,290,4.6
409.5,3.8,3.8,3.8,100,280,5.6
410.5,2.7,2.7,2.7,100,290,4.6
411.5,1.6,1.6,1.6,100,290,3
412.5,1.1,1.1,1.1,100,270,3.6
413.5,0.5,0.5,0.5,100,270,3.6
414.5,0,0,0,100,260,2.5
415.5,1.6,0.5,0.442547,92,270,3.6
416.5,4.4,2.2,2.26566,86,250,2.5
417.5,5.5,2.2,2.15067,79,280,5.1
418.5,6.6,2.7,2.67439,76,280,5.1
419.5,8.3,2.2,2.10967,65,250,4.1
420.5,9.4,3.3,3.37082,66,250,3.6
421.5,10,3.3,3.28201,63,260,6.1
422.5,10,-2.8,-3.31611,39,270,7.2
423.5,8.8,-5.6,-6.19594,34,270,9.7
424.5,7.7,-5.6,-6.42411,36,250,8.7
425.5,5.5,-7.3,-8.37916,36,270,5.6
426.5,4.4,-7.8,-8.66868,38,270,7.2
427.5,1.6,-7.3,-8.21799,48,330,6.6
428.5,-0.6,-9.5,-10.5069,47,350,7.7
429.5,-3.4,-17.3,-18.8606,29,350,7.2
430.5,-5.6,-22.8,-24.4186,21,340,6.1
431.5,-7.3,-18.9,-20.1195,35,340,5.1
432.5,-7.8,-19.5,-20.8979,34,360,6.6
433.5,-8.9,-18.9,-20.0165,40,360,6.6
434.5,-10,-20,-21.0124,40,360,6.6
435.5,-10,-18.9,-19.9168,44,360,5.6
436.5,-11.2,-17.8,-18.4323,55,360,5.6
437.5,-11.7,-17.8,-18.4836,57,10,6.6
438.5,-11.7,-18.4,-19.1147,54,10,6.6
439.5,-11.7,-17.8,-18.4836,57,360,5.1
440.5,-10,-17.8,-18.6662,49,20,6.1
441.5,-9.5,-18.9,-19.9979,42,10,6.1
442.5,-8.4,-19.5,-20.7784,36,30,6.1
443.5,-7.3,-19.5,-20.7959,33,40,4.6
444.5,-6.7,-19.5,-20.9819,31,60,4.6
445.5,-5,-19.5,-21.077,27,40,4.1
446.5,-5,-19.5,-21.077,27,70,4.1
447.5,-4.5,-18.9,-20.6437,27,50,3
448.5,-5.6,-18.4,-19.6469,32,70,5.1
449.5,-6.7,-18.4,-19.5845,35,100,3
450.5,-7.3,-18.4,-19.4768,37,30,2.5
451.5,-8.4,-15,-15.8093,55,60,2.5
452.5,-8.4,-14.5,-15.1705,58,70,2.5
453.5,-8.4,-13.9,-14.5606,61,30,2.5
454.5,-7.8,-13.9,-14.6055,58,20,2.5
455.5,-9.5,-12.8,-13.2566,74,40,2.5
456.5,-9.5,-12.8,-13.2566,74,50,2.5
457.5,-9.5,-12.8,-13.2566,74,30,3.6
458.5,-9.5,-12.8,-13.2566,74,50,3.6
459.5,-8.9,-12.8,-13.1855,71,30,3.6
460.5,-8.9,-12.8,-13.1855,71,20,3
461.5,-10,-12.8,-13.0952,78,60,2.5
462.5,-10,-12.8,-13.0952,78,40,3
463.5,-9.5,-12.3,-12.6088,78,20,4.1
464.5,-6.7,-12.3,-12.951,61,50,4.1
465.5,-3.9,-12.8,-13.8016,46,40,5.1
466.5,-1.7,-13.4,-14.7916,36,70,4.1
467.5,-1.2,-13.9,-15.398,33,70,4.6
468.5,1.1,-13.4,-14.9399,29,40,2.5
469.5,1.6,-13.9,-15.3686,27,360,3.6
470.5,2.2,-13.9,-15.3064,26,60,2.5
471.5,3.3,-13.9,-15.3297,24,110,2
472.5,2.7,-14.5,-16.3498,23,20,2
473.5,-0.6,-14.5,-16.0148,30,70,2
474.5,-1.7,-12.3,-13.5091,40,20,3
475.5,-0.6,-10.6,-11.9124,42,30,2
476.5,0,-8.4,-9.42838,49,30,1.5
477.5,0.5,-10,-11.2166,41,20,2.5
478.5,0.5,-9.5,-10.6199,43,30,3
479.5,0,-8.9,-9.9561,47,30,3
480.5,0,-8.9,-9.9561,47,20,3
481.5,0,-8.9,-9.9561,47,50,3.6
482.5,-0.6,-9.5,-10.5069,47,40,4.1
483.5,-0.6,-10,-11.0524,45,30,6.6
484.5,-1.2,-10,-11.0579,47,40,6.1
485.5,-3.9,-10.6,-11.3735,56,30,3.6
486.5,-4.5,-10,-10.665,62,30,4.1
487.5,-5,-10,-10.5466,65,40,2.5
488.5,-1.2,-8.9,-9.78588,52,30,5.1
489.5,0.5,-10,-11.2166,41,40,6.6
490.5,1.6,-10,-11.1761,38,20,6.1
491.5,2.7,-9.5,-10.5264,37,30,5.6
492.5,3.3,-8.9,-9.9907,37,10,4.6
493.5,4.4,-8.4,-9.35744,36,50,4.6
494.5,4.4,-8.4,-9.35744,36,60,5.1
495.5,5,-8.9,-9.92869,33,360,3.6
496.5,4.4,-10,-11.2409,31,320,3.6
497.5,0.5,-10.6,-11.8397,39,80,2.5
498.5,-0.6,-8.9,-9.98178,49,40,1.5
499.5,-1.2,-8.4,-9.30734,54,250,1.5
500.5,-2.8,-8.4,-9.05404,62,80,0.5
501.5,-3.4,-7.8,-8.25898,69,200,0.5
502.5,-5,-8.4,-8.90494,74,30,2
503.5,-4.5,-7.8,-8.24959,75,200,1
504.5,-5,-7.8,-8.06819,79,210,1.5
505.5,-4.5,-7.8,-8.24959,75,210,2
506.5,-6.2,-8.9,-9.23684,79,210,1
507.5,-6.2,-8.9,-9.23684,79,210,1
508.5,-5,-7.8,-8.06819,79,230,2
509.5,-5,-7.3,-7.58846,82,190,2
510.5,-5,-7.8,-8.06819,79,210,2.5
511.5,-3.9,-6.7,-6.99707,79,230,4.1
512.5,0,-2.8,-3.20055,79,230,4.6
513.5,3.3,-6.2,-6.92851,47,250,4.6
514.5,6.1,-6.2,-7.14784,38,250,3.6
515.5,8.8,-6.2,-6.98469,32,210,2.5
516.5,10.5,-6.2,-6.78183,29,230,3.6
517.5,11.6,-7.3,-8.2821,24,220,2
518.5,12.7,-8.4,-9.68351,20,210,2
519.5,13.3,-7.8,-8.5638,21,200,3.6
520.5,11.6,-8.4,-9.39224,22,210,3.6
521.5,8.3,-8.4,-9.5966,27,180,2
522.5,5,-8.4,-9.5508,34,270,0.5
523.5,2.7,-6.7,-7.47872,47,340,1
524.5,1.6,-6.2,-6.93979,53,270,1
525.5,0,-6.2,-7.04651,59,260,1
526.5,-1.2,-6.2,-6.92701,65,290,0.5
527.5,-1.7,-6.2,-6.81872,68,270,0.5
528.5,-2.3,-6.7,-7.20423,69,130,0.5
529.5,-2.8,-6.7,-7.13384,72,200,2.5
530.5,-2.3,-6.2,-6.65214,72,330,1
531.5,-3.9,-7.3,-7.66875,75,290,1
532.5,-3.9,-7.3,-7.66875,75,220,1.5
533.5,-4.5,-7.8,-8.24959,75,330,1
534.5,-3.9,-7.3,-7.66875,75,0,0
535.5,-5.6,-8.4,-8.81517,78,10,1.5
536.5,1.6,-3.9,-4.46736,64,260,1
537.5,6.6,-4.5,-5.08277,43,260,1
538.5,9.4,-5.6,-6.45915,32,60,1.5
539.5,11.1,-6.2,-7.19117,27,260,2
540.5,12.2,-6.7,-7.77409,24,230,3
