,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"May 6, 09:00 pm",0,26.3,0,0,0,0,0,26.3,0,0,1,0,0,5.3
"May 6, 10:00 pm",0,25.8,0,0,0,0,0,25.8,0,0,1,0,0,5.3
"May 6, 11:00 pm",0,25.2,0,0,0,0,0,25.2,0,0,1,0,0,8.2
"May 7, 12:00 am",0,24.6,0,0,0,0,0,24.6,0,0,1,0,0,8.2
"May 7, 01:00 am",0,24.1,0,0,0,0,0,24.1,0,0,1,0,0,8.2
"May 7, 02:00 am",0,23.5,0,0,0,0,0,23.5,0,0,1,0,0,4.7
"May 7, 03:00 am",0,23,0,0,0,0,0,23,0,0,1,0,0,4.7
"May 7, 04:00 am",0,22.6,0,0,0,0,0,22.6,0,0,1,0,0,4.7
"May 7, 05:00 am",0,22.3,93.2956,0,3.30736,1,1,20.9574,0.944345,0,1,2,0.944345,4.2
"May 7, 06:00 am",42.8605,21.9,82.9239,0,66.3349,20,20,20.937,18.9387,0.0428605,1,1,18.9387,4.2
"May 7, 07:00 am",172.648,22,68.975,0,198.651,60,60,21.8975,56.9676,0.172648,1,1,56.9676,4.2
"May 7, 08:00 am",282.446,22,54.8407,0,310.708,94,94,22.6669,89.4212,0.282446,1,1,89.4212,4.3
"May 7, 09:00 am",375.959,22.1,40.5957,0,406.231,123,123,23.4271,117.327,0.37596,1,1,117.327,4.3
"May 7, 10:00 am",441.151,22,26.2835,0,472.871,143,143,23.7943,136.808,0.441151,1,1,136.808,4.3
"May 7, 11:00 am",985.613,21.9,11.9406,20,1030.95,291,309,25.8285,301.132,0.985613,1,1,301.13,7.2
"May 7, 12:00 pm",534.432,21.7,2.53943,1,568.291,170,171,23.6306,164.289,0.534432,1,1,164.289,7.2
"May 7, 01:00 pm",470.383,22.6,16.8233,0,502.765,152,152,24.1077,145.67,0.470384,1,1,145.67,7.2
"May 7, 02:00 pm",411.674,23.5,31.1575,0,442.734,135,135,25.321,129.01,0.411674,1,1,129.01,3.7
"May 7, 03:00 pm",424.996,24.4,45.4459,0,456.354,140,140,26.3049,133.597,0.424996,1,1,133.597,3.7
"May 7, 04:00 pm",580.246,24,59.6517,9,615.185,185,190,26.9616,180.893,0.580246,1,1,180.656,3.7
"May 7, 05:00 pm",275.177,23.7,73.7241,0,303.286,93,93,24.4686,88.0224,0.275177,1,1,88.0224,5.5
"May 7, 06:00 pm",136.839,23.3,87.5599,81,162.13,52,63,23.2091,49.4561,0.136839,1,1,46.7785,5.5
"May 7, 07:00 pm",0,22.8,95.426,9,3.38438,1,1,21.7419,0.969846,0,1,3,0.969846,5.5
"May 7, 08:00 pm",0,22.3,0,0,0,0,0,22.3,0,0,1,0,0,1.8
"May 7, 09:00 pm",0,21.7,0,0,0,0,0,21.7,0,0,1,0,0,1.8
"May 7, 10:00 pm",0,21.3,0,0,0,0,0,21.3,0,0,1,0,0,1.8
"May 7, 11:00 pm",0,20.9,0,0,0,0,0,20.9,0,0,1,0,0,1.6
"May 8, 12:00 am",0,20.6,0,0,0,0,0,20.6,0,0,1,0,0,1.6
"May 8, 01:00 am",0,20.2,0,0,0,0,0,20.2,0,0,1,0,0,1.6
"May 8, 02:00 am",0,19.9,0,0,0,0,0,19.9,0,0,1,0,0,1.8
"May 8, 03:00 am",0,19.5,0,0,0,0,0,19.5,0,0,1,0,0,1.8
"May 8, 04:00 am",0,18.9,0,0,0,0,0,18.9,0,0,1,0,0,1.8
"May 8, 05:00 am",0,18.3,93.3087,0,6.74994,2,2,16.587,1.88922,0,1,2,1.88922,2.5
"May 8, 06:00 am",57.5027,17.7,82.8399,0,81.2548,24,24,16.5131,22.7345,0.0575027,1,1,22.7345,2.5
"May 8, 07:00 am",175.45,19,68.907,0,201.51,60,60,18.792,56.9679,0.17545,1,1,56.9679,2.5
"May 8, 08:00 am",306.868,20.4,54.7871,0,335.648,101,101,21.5656,96.1066,0.306868,1,1,96.1066,1.1
"May 8, 09:00 am",650.389,21.7,40.5557,5,687.019,206,210,26.4027,201.245,0.650389,1,1,201.217,1.1
"May 8, 10:00 am",437.228,22.4,26.2577,0,468.859,143,143,25.6021,136.803,0.437228,1,1,136.803,1.1
"May 8, 11:00 am",474.456,23.2,11.9357,1,506.931,153,154,25.2878,147.693,0.474456,1,1,147.693,4.3
"May 8, 12:00 pm",635.688,23.9,2.63784,4,671.959,201,205,27.078,197.437,0.635688,1,1,197.437,4.3
"May 8, 01:00 pm",611.368,24.1,16.839,3,647.051,195,198,27.2267,190.254,0.611368,1,1,190.253,4.3
"May 8, 02:00 pm",1548.02,24.3,31.1563,138,1610.29,379,493,38.4089,500.323,1.54802,1,1,500.033,1.1
"May 8, 03:00 pm",1216.55,24.5,45.4309,104,1268.48,325,397,36.7344,391.529,1.21655,1,1,390.611,1.1
"May 8, 04:00 pm",1349.18,24.4,59.6227,405,1405.12,243,458,37.7548,445.56,1.34918,1,1,434.896,1.1
"May 8, 05:00 pm",391.995,24.4,73.6799,26,422.619,126,135,28.3239,126.369,0.391995,1,1,124.914,1.2
"May 8, 06:00 pm",141.803,24.3,87.4992,86,167.192,54,66,24.4901,51.4243,0.141803,1,1,48.5288,1.2
"May 8, 07:00 pm",0,23.9,95.4535,10,3.37796,1,1,22.1517,0.969846,0,1,3,0.969846,1.2
"May 8, 08:00 pm",0,23.4,0,0,0,0,0,23.4,0,0,1,0,0,0.7
"May 8, 09:00 pm",0,23,0,0,0,0,0,23,0,0,1,0,0,0.7
"May 8, 10:00 pm",0,22.6,0,0,0,0,0,22.6,0,0,1,0,0,0.7
"May 8, 11:00 pm",0,22.1,0,0,0,0,0,22.1,0,0,1,0,0,2.2
"May 9, 12:00 am",0,21.7,0,0,0,0,0,21.7,0,0,1,0,0,2.2
"May 9, 01:00 am",0,21.2,0,0,0,0,0,21.2,0,0,1,0,0,2.2
"May 9, 02:00 am",0,20.8,0,0,0,0,0,20.8,0,0,1,0,0,2.6
"May 9, 03:00 am",0,20.4,0,0,0,0,0,20.4,0,0,1,0,0,2.6
