,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Dec 4, 05:00 pm",0,5.6,79.841,0,3.65471,1,1,4.48674,0.969846,0,1,3,0.969846,7.2
"Dec 4, 06:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,8.2
"Dec 4, 07:00 pm",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,8.2
"Dec 4, 08:00 pm",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,6.2
"Dec 4, 09:00 pm",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,5.2
"Dec 4, 10:00 pm",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,4.6
"Dec 4, 11:00 pm",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,4.1
"Dec 5, 12:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,3.1
"Dec 5, 01:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,3.6
"Dec 5, 02:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,3.6
"Dec 5, 03:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,3.6
"Dec 5, 04:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Dec 5, 05:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,3.1
"Dec 5, 06:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,4.1
"Dec 5, 07:00 am",20.381,5.6,76.6854,1,43.4329,12,12,4.67917,11.5964,0.020381,1,2,11.5352,7.7
"Dec 5, 08:00 am",353.339,3.3,67.0056,2,383.117,94,95,3.67062,101.395,0.353339,1,1,101.313,10.3
"Dec 5, 09:00 am",675.454,2.8,55.6894,1,712.698,179,180,4.65163,189.282,0.675454,1,1,189.262,7.7
"Dec 5, 10:00 am",956.476,2.2,46.2513,1,1001.01,252,253,4.92498,266.147,0.956476,1,1,266.137,9.3
"Dec 5, 11:00 am",1094.34,2.2,40.0828,1,1142.71,289,289,5.26602,304.262,1.09434,1,1,304.257,10.3
"Dec 5, 12:00 pm",1098.73,2.2,38.7884,1,1147.23,291,292,5.3059,305.518,1.09873,1,1,305.513,10.3
"Dec 5, 01:00 pm",911.425,1.1,42.8139,1,954.742,243,244,3.53539,252.337,0.911425,1,1,252.33,10.3
"Dec 5, 02:00 pm",761.599,0.6,50.9077,2,801.001,201,202,2.47987,210.776,0.761599,1,1,210.748,10.3
"Dec 5, 03:00 pm",1060.54,-0.6,61.4695,379,1107.96,96,198,2.39658,302.664,1.06054,1,1,291.406,10.3
"Dec 5, 04:00 pm",524.936,-1.7,73.3798,470,558.574,23,73,-0.0260961,171.432,0.524936,1,1,145.415,8.2
"Dec 5, 05:00 pm",0,-2.8,79.7943,0,3.78134,1,1,-3.59615,0.969846,0,1,3,0.969846,10.3
"Dec 5, 06:00 pm",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,9.3
