,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 8, 10:00 am",2722.11,17.7,30.3772,708,2829.36,207,772,29.6295,842.878,2.72211,1,1,841.523,8.2
"Apr 8, 11:00 am",3012.96,20.7,15.8118,706,3133.41,255,879,36.6492,964.646,3.01296,1,1,964.483,6.6
"Apr 8, 12:00 pm",2792.12,23.7,3.90232,550,2902.48,323,826,38.8023,903.074,2.79212,1,1,903.07,6.6
"Apr 8, 01:00 pm",2529.17,25,14.7883,443,2628.12,359,752,38.6278,817.074,2.52917,1,1,816.99,6.6
"Apr 8, 02:00 pm",2488.75,26.3,29.327,583,2586.01,269,739,37.6055,800.778,2.48875,1,1,799.794,8.5
"Apr 8, 03:00 pm",2218.52,27.6,44.0235,706,2304.87,192,667,37.7452,718.843,2.21852,1,1,713.341,8.5
"Apr 8, 04:00 pm",1233.78,27.5,58.7355,343,1286.22,215,386,32.9874,397.334,1.23378,1,1,388.827,8.5
"Apr 8, 05:00 pm",702.544,27.4,73.4141,481,740.46,108,250,30.2095,247.507,0.702544,1,1,220.847,9.7
"Apr 8, 06:00 pm",64.9781,27.2,86.687,102,88.8727,26,36,27.0422,30.2953,0.0649781,1,3,26.1084,9.7
"Apr 8, 07:00 pm",0,25,0,0,0,0,0,25,0,0,1,0,0,9.7
"Apr 8, 08:00 pm",0,22.8,0,0,0,0,0,22.8,0,0,1,0,0,12
"Apr 8, 09:00 pm",0,20.6,0,0,0,0,0,20.6,0,0,1,0,0,12
"Apr 8, 10:00 pm",0,19.1,0,0,0,0,0,19.1,0,0,1,0,0,12
"Apr 8, 11:00 pm",0,17.5,0,0,0,0,0,17.5,0,0,1,0,0,10.9
"Apr 9, 12:00 am",0,16,0,0,0,0,0,16,0,0,1,0,0,10.9
"Apr 9, 01:00 am",0,15.6,0,0,0,0,0,15.6,0,0,1,0,0,10.9
"Apr 9, 02:00 am",0,15.2,0,0,0,0,0,15.2,0,0,1,0,0,9.9
"Apr 9, 03:00 am",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,9.9
"Apr 9, 04:00 am",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,9.9
"Apr 9, 05:00 am",0,14.9,0,0,0,0,0,14.9,0,0,1,0,0,10.7
"Apr 9, 06:00 am",1.21239,14.9,87.2335,0,23.9075,7,7,14.1796,6.61934,0.00121239,1,2,6.61934,10.7
"Apr 9, 07:00 am",171.066,16.4,74.348,0,197.038,58,58,16.2735,55.0702,0.171066,1,1,55.0702,10.7
"Apr 9, 08:00 am",518.278,17.8,59.6723,0,551.761,163,163,19.0894,156.198,0.518278,1,1,156.198,9.1
"Apr 9, 09:00 am",1013.17,19.2,44.9576,34,1059.27,284,307,22.6199,305.076,1.01317,1,1,304.788,9.1
